ar;kod;namn;kommunvalkrets_kod;kommunvalkrets;lokal;adress1;adress2;adress3;postort;tillganglighet;status;x_rt90;y_rt90;latitud;longitud;koord_kalla;valdag;dag;oppetpass;aktiv_rd;aktiv_rf;aktiv_kf;aktiv_eu;valdag_eu;kommun_klar;lokal_klar;valnamnd;hemsida;telnr;kalla_fil
2014;14801034;Majorna-Linné, Majorna;148004;Göteborg, Väster;Carl Johans församlingshem;Samlingssalen;Carl Johans Kyrkoplan 1;;;;E;6403451;1268521;57.696186;11.922217;RT90 2,5 gon V (X, Y i källan), WGS84 omräknad med pyproj EPSG:3021 till 4326;2014-09-14;2014-09-14;08:00-20:00;J;J;J;N;;J;J;Valnämnden i Göteborgs kommun;www.goteborg.se;031 365 0000;vallokal (1).xls
2014;14801035;Majorna-Linné, Marieberg;148004;Göteborg, Väster;Studium/Styrmansgatan;Kaféet;Styrmansgatan 21;;;;E;6403349;1268887;57.695461;11.928438;RT90 2,5 gon V (X, Y i källan), WGS84 omräknad med pyproj EPSG:3021 till 4326;2014-09-14;2014-09-14;08:00-20:00;J;J;J;N;;J;J;Valnämnden i Göteborgs kommun;www.goteborg.se;031 365 0000;vallokal (1).xls
2014;14801036;Majorna-Linné, Slottsskogsgatan m fl;148004;Göteborg, Väster;Dalheimers hus;Dalheimersalen;Slottskogsgatan 12;;;;E;6402732;1268270;57.689616;11.918709;RT90 2,5 gon V (X, Y i källan), WGS84 omräknad med pyproj EPSG:3021 till 4326;2014-09-14;2014-09-14;08:00-20:00;J;J;J;N;;J;J;Valnämnden i Göteborgs kommun;www.goteborg.se;031 365 0000;vallokal (1).xls
2014;14801041;Majorna-Linné, Djurgårdsgatan m fl;148003;Göteborg, Centrum;Karl Johansskolan;Matsal våning  1;Koopmansgatan 14-16;;;;E;6403283;1268969;57.694912;11.929873;RT90 2,5 gon V (X, Y i källan), WGS84 omräknad med pyproj EPSG:3021 till 4326;2014-09-14;2014-09-14;08:00-20:00;J;J;J;N;;J;J;Valnämnden i Göteborgs kommun;www.goteborg.se;031 365 0000;vallokal (1).xls
2014;14801042;Majorna-Linné, Gatenhielmska;148003;Göteborg, Centrum;Karl Johansskolan;Matsal våning 1;Koopmansgatan 14-16;;;;E;6403283;1268969;57.694912;11.929873;RT90 2,5 gon V (X, Y i källan), WGS84 omräknad med pyproj EPSG:3021 till 4326;2014-09-14;2014-09-14;08:00-20:00;J;J;J;N;;J;J;Valnämnden i Göteborgs kommun;www.goteborg.se;031 365 0000;vallokal (1).xls
2014;14801043;Majorna-Linné, Karl Johans torg;148003;Göteborg, Centrum;Majornas samverkansförening;Aktivitetshus, samlingssal;Klareborgsgatan 10;;;;E;6403249;1268905;57.694574;11.928835;RT90 2,5 gon V (X, Y i källan), WGS84 omräknad med pyproj EPSG:3021 till 4326;2014-09-14;2014-09-14;08:00-20:00;J;J;J;N;;J;J;Valnämnden i Göteborgs kommun;www.goteborg.se;031 365 0000;vallokal (1).xls
2014;14801044;Majorna-Linné, Söderlingska ängen;148003;Göteborg, Centrum;Karl Johansskolan;Matsal våning 1;Koopmansgatan 14-16;;;;E;6403283;1268969;57.694912;11.929873;RT90 2,5 gon V (X, Y i källan), WGS84 omräknad med pyproj EPSG:3021 till 4326;2014-09-14;2014-09-14;08:00-20:00;J;J;J;N;;J;J;Valnämnden i Göteborgs kommun;www.goteborg.se;031 365 0000;vallokal (1).xls
2014;14801051;Majorna-Linné, Masthugget, Nedre;148003;Göteborg, Centrum;Fjällskolan;Matsal;Fjällgatan 40;;;;E;6403265;1269522;57.695034;11.939143;RT90 2,5 gon V (X, Y i källan), WGS84 omräknad med pyproj EPSG:3021 till 4326;2014-09-14;2014-09-14;08:00-20:00;J;J;J;N;;J;J;Valnämnden i Göteborgs kommun;www.goteborg.se;031 365 0000;vallokal (1).xls
2014;14801052;Majorna-Linné, Masthugget, Övre;148003;Göteborg, Centrum;Fjällskolan;Matsal;Fjällgatan 40;;;;E;6403265;1269522;57.695034;11.939143;RT90 2,5 gon V (X, Y i källan), WGS84 omräknad med pyproj EPSG:3021 till 4326;2014-09-14;2014-09-14;08:00-20:00;J;J;J;N;;J;J;Valnämnden i Göteborgs kommun;www.goteborg.se;031 365 0000;vallokal (1).xls
2014;14801053;Majorna-Linné, Masthuggstorget;148003;Göteborg, Centrum;Hagaskolan;Lancestersalen, matsal;Skolgatan 22;;;;E;6403470;1270679;57.697461;11.958305;RT90 2,5 gon V (X, Y i källan), WGS84 omräknad med pyproj EPSG:3021 till 4326;2014-09-14;2014-09-14;08:00-20:00;J;J;J;N;;J;J;Valnämnden i Göteborgs kommun;www.goteborg.se;031 365 0000;vallokal (1).xls
