ar;val;kod;namn;valkrets;giltiga;blanka;ogiltiga_ovriga;ogiltiga;rostande;rostberattigade;valdeltagande;kalla_fil
2018;kf;14805231;Askim-Frölunda-Högsbo, Askim;;1043;2;2;4;1047;1191;87.91;slutresultat_1480K.xml
2018;kf;14805232;Askim-Frölunda-Högsbo, Hovås, Norra;;1005;3;2;5;1010;1147;88.06;slutresultat_1480K.xml
2018;kf;14805233;Askim-Frölunda-Högsbo, Hult;;1096;8;0;8;1104;1185;93.16;slutresultat_1480K.xml
2018;kf;14805234;Askim-Frölunda-Högsbo, Pilegården;;981;20;0;20;1001;1252;79.95;slutresultat_1480K.xml
2018;kf;14805235;Askim-Frölunda-Högsbo, Sisjön, N;;236;4;0;4;240;282;85.11;slutresultat_1480K.xml
2018;kf;14805236;Askim-Frölunda-Högsbo, Sisjön, S;;1110;9;0;9;1119;1190;94.03;slutresultat_1480K.xml
2018;kf;14805237;Askim-Frölunda-Högsbo, Sisjön, V;;1282;12;0;12;1294;1495;86.56;slutresultat_1480K.xml
2018;kf;14805241;Askim-Frölunda-Högsbo, Hovås, Södra;;983;0;2;2;985;1108;88.90;slutresultat_1480K.xml
2018;kf;14805242;Askim-Frölunda-Högsbo, Trollåsen;;1299;0;1;1;1300;1440;90.28;slutresultat_1480K.xml
2018;kf;14805251;Askim-Frölunda-Högsbo, Billdal, N;;1151;4;1;5;1156;1271;90.95;slutresultat_1480K.xml
2018;kf;14805252;Askim-Frölunda-Högsbo, Billdal, S;;956;3;2;5;961;1053;91.26;slutresultat_1480K.xml
2018;kf;14805253;Askim-Frölunda-Högsbo, Brottkärr;;1118;5;1;6;1124;1220;92.13;slutresultat_1480K.xml
2018;kf;14805254;Askim-Frölunda-Högsbo, Lindås;;1130;5;0;5;1135;1214;93.49;slutresultat_1480K.xml
2018;kf;14805255;Askim-Frölunda-Högsbo, Lyckhem;;1162;5;1;6;1168;1267;92.19;slutresultat_1480K.xml
2018;kf;14805256;Askim-Frölunda-Högsbo, Nygård;;1134;4;0;4;1138;1230;92.52;slutresultat_1480K.xml
2018;kf;14805257;Askim-Frölunda-Högsbo, Skintebo;;1109;4;0;4;1113;1196;93.06;slutresultat_1480K.xml
2018;kf;14805258;Askim-Frölunda-Högsbo, Uggleberget;;412;1;0;1;413;455;90.77;slutresultat_1480K.xml
2018;kf;14806011;Angered, Lövgärdet, Nedre;;1171;0;1;1;1172;2195;53.39;slutresultat_1480K.xml
2018;kf;14806012;Angered, Lövgärdet, Övre;;1082;0;0;0;1082;1814;59.65;slutresultat_1480K.xml
2018;kf;14806013;Angered, Lövgärdets Centrum;;755;6;1;7;762;1352;56.36;slutresultat_1480K.xml
2018;kf;14806021;Angered, Rannebergen, Norra;;1194;9;1;10;1204;1780;67.64;slutresultat_1480K.xml
2018;kf;14806022;Angered, Rannebergen, Södra;;1056;4;0;4;1060;1721;61.59;slutresultat_1480K.xml
2018;kf;14806031;Angered, Gårdsten, Norra;;673;2;1;3;676;1642;41.17;slutresultat_1480K.xml
2018;kf;14806032;Angered, Gårdsten, Södra;;576;2;2;4;580;1021;56.81;slutresultat_1480K.xml
2018;kf;14806033;Angered, Gårdsten, Västra;;1043;6;3;9;1052;2171;48.46;slutresultat_1480K.xml
2018;kf;14806034;Angered, Gårdsten, Östra;;870;5;0;5;875;1606;54.48;slutresultat_1480K.xml
2018;kf;14806041;Angered, Angereds Centrum;;1125;6;1;7;1132;1643;68.90;slutresultat_1480K.xml
2018;kf;14806042;Angered, Trägårdsgärdet;;853;4;0;4;857;1285;66.69;slutresultat_1480K.xml
2018;kf;14806051;Angered, Agnesberg;;530;8;0;8;538;783;68.71;slutresultat_1480K.xml
2018;kf;14806061;Angered, Hammarkullen, Centrum;;808;7;3;10;818;1422;57.52;slutresultat_1480K.xml
2018;kf;14806062;Angered, Hammarkullen, Västra;;956;6;0;6;962;1418;67.84;slutresultat_1480K.xml
2018;kf;14806063;Angered, Hammarkullen, Östra;;721;5;1;6;727;1260;57.70;slutresultat_1480K.xml
2018;kf;14806064;Angered, Sandeslätt;;910;6;1;7;917;1345;68.18;slutresultat_1480K.xml
2018;kf;14806101;Angered, Gunnilse-Linnarhult;;1323;6;1;7;1330;1674;79.45;slutresultat_1480K.xml
2018;kf;14806111;Angered, Bergum;;1052;12;1;13;1065;1275;83.53;slutresultat_1480K.xml
2018;kf;14806112;Angered, Björsared;;854;8;1;9;863;1074;80.35;slutresultat_1480K.xml
2018;kf;14806113;Angered, Olofstorp;;1032;13;0;13;1045;1279;81.70;slutresultat_1480K.xml
2018;kf;14806121;Angered, Bläsebo;;841;2;1;3;844;1440;58.61;slutresultat_1480K.xml
2018;kf;14806122;Angered, Hjällbo, Norra;;924;9;1;10;934;1532;60.97;slutresultat_1480K.xml
2018;kf;14806123;Angered, Hjällbo, Södra;;623;2;1;3;626;1093;57.27;slutresultat_1480K.xml
2018;kf;14806124;Angered, Skolspåret;;678;5;2;7;685;1123;61.00;slutresultat_1480K.xml
2018;kf;14806131;Angered, Eriksbo;;1083;13;3;16;1099;1917;57.33;slutresultat_1480K.xml
2018;kf;14807011;Västra Hisingen, Biskopsgården, N;;1209;6;2;8;1217;2318;52.50;slutresultat_1480K.xml
2018;kf;14807012;Västra Hisingen, Svarte Mosse;;664;4;0;4;668;1118;59.75;slutresultat_1480K.xml
2018;kf;14807021;Västra Hisingen, Länsmansgården, C;;891;8;1;9;900;1460;61.64;slutresultat_1480K.xml
2018;kf;14807022;Västra Hisingen, Länsmansgården, N;;894;5;2;7;901;1349;66.79;slutresultat_1480K.xml
2018;kf;14807023;Västra Hisingen, Länsmansgården, S;;711;9;0;9;720;1185;60.76;slutresultat_1480K.xml
2018;kf;14807031;Västra Hisingen, Länsmansgården, Ö;;866;8;0;8;874;1513;57.77;slutresultat_1480K.xml
2018;kf;14807032;Västra Hisingen, Svartedalen, Norra;;873;8;1;9;882;1538;57.35;slutresultat_1480K.xml
2018;kf;14807041;Västra Hisingen, Andalen;;1140;11;0;11;1151;1231;93.50;slutresultat_1480K.xml
2018;kf;14807042;Västra Hisingen, Gossbydal-Trånget;;1195;7;1;8;1203;1280;93.98;slutresultat_1480K.xml
2018;kf;14807043;Västra Hisingen, Hjuvik;;1387;9;0;9;1396;1498;93.19;slutresultat_1480K.xml
2018;kf;14807044;Västra Hisingen, Hällsvik;;1129;5;0;5;1134;1210;93.72;slutresultat_1480K.xml
2018;kf;14807051;Västra Hisingen, Amhult-Arendal;;1146;16;0;16;1162;1362;85.32;slutresultat_1480K.xml
2018;kf;14807052;Västra Hisingen, Domarringen m fl;;1107;7;0;7;1114;1220;91.31;slutresultat_1480K.xml
2018;kf;14807053;Västra Hisingen, Nolered;;1277;10;2;12;1289;1386;93.00;slutresultat_1480K.xml
2018;kf;14807054;Västra Hisingen, Torslanda;;1278;13;0;13;1291;1388;93.01;slutresultat_1480K.xml
2018;kf;14807055;Västra Hisingen, Torslanda Torg;;1025;9;1;10;1035;1248;82.93;slutresultat_1480K.xml
2018;kf;14807056;Västra Hisingen, Tumlehed;;1199;6;0;6;1205;1320;91.29;slutresultat_1480K.xml
2018;kf;14807061;Västra Hisingen, Björlanda;;1052;5;3;8;1060;1198;88.48;slutresultat_1480K.xml
2018;kf;14807062;Västra Hisingen, Kvisljungeby;;1057;10;1;11;1068;1163;91.83;slutresultat_1480K.xml
2018;kf;14807063;Västra Hisingen, Lilleby;;1204;5;1;6;1210;1354;89.36;slutresultat_1480K.xml
2018;kf;14807064;Västra Hisingen, Nolvik;;1005;5;1;6;1011;1114;90.75;slutresultat_1480K.xml
2018;kf;14807065;Västra Hisingen, Älvegården m fl;;988;0;2;2;990;1089;90.91;slutresultat_1480K.xml
2018;kf;14807081;Västra Hisingen, Biskopsgården, S;;870;5;3;8;878;1382;63.53;slutresultat_1480K.xml
2018;kf;14807082;Västra Hisingen, Treröset;;685;4;1;5;690;1183;58.33;slutresultat_1480K.xml
2018;kf;14807083;Västra Hisingen, Vårväderstorget;;984;4;0;4;988;1718;57.51;slutresultat_1480K.xml
2018;kf;14807084;Västra Hisingen, Väderlekstorget;;947;7;3;10;957;1639;58.39;slutresultat_1480K.xml
2018;kf;14807091;Västra Hisingen, Jättesten;;982;15;3;18;1000;1308;76.45;slutresultat_1480K.xml
2018;kf;14807092;Västra Hisingen, Kärrmossen;;1064;1;2;3;1067;1323;80.65;slutresultat_1480K.xml
2018;kf;14807093;Västra Hisingen, Svartedalen, Södra;;596;8;1;9;605;1128;53.63;slutresultat_1480K.xml
2018;kf;14807094;Västra Hisingen, Önskevädersg. m fl;;686;4;0;4;690;1150;60.00;slutresultat_1480K.xml
