val;kod_2014;namn_2014;indelning;kod_2010;namn_2010;matchning
rd;14805091;Askim-Frölunda-Högsbo, Kavås;Modifierad;;;ingen FGVAL
rd;14805092;Askim-Frölunda-Högsbo, Kaverös, N;Modifierad;;;ingen FGVAL
rd;14805093;Askim-Frölunda-Högsbo, Kaverös, S;Modifierad;;;ingen FGVAL
rd;14805101;Askim-Frölunda-Högsbo, Flatås, V;Oförändrad;14801022;Högsbo, Västra Flatås;exakt
rd;14805111;Askim-Frölunda-Högsbo, Högsbohöjd, N;Oförändrad;14801032;Högsbo, Norra Högsbohöjd;exakt
rd;14805112;Askim-Frölunda-Högsbo, Högsbohöjd, S;Oförändrad;14801031;Högsbo, Södra Högsbohöjd;exakt
rd;14805121;Askim-Frölunda-Högsbo, Högsbo;Oförändrad;14801041;Högsbo, Högsbo;exakt
rd;14805122;Askim-Frölunda-Högsbo, Högsbotorp, V;Oförändrad;14801042;Högsbo, Västra Högsbotorp;exakt
rd;14805123;Askim-Frölunda-Högsbo, Högsbotorp, Ö;Oförändrad;14801044;Högsbo, Östra Högsbotorp;exakt
rd;14805124;Askim-Frölunda-Högsbo, Marklandsg.;Oförändrad;14801043;Högsbo, Marklandsgatan m fl;exakt
rd;14805131;Askim-Frölunda-Högsbo, Spinetten;Oförändrad;14801212;Frölunda, Spinetten;exakt
rd;14805132;Askim-Frölunda-Högsbo, Tofta;Oförändrad;14801211;Frölunda, Tofta;exakt
rd;14805141;Askim-Frölunda-Högsbo, Ruddalen;Oförändrad;14801221;Frölunda, Ruddalen;exakt
rd;14805151;Askim-Frölunda-Högsbo, Järnbrott, V;Oförändrad;14801231;Frölunda, Västra Järnbrott;exakt
rd;14805152;Askim-Frölunda-Högsbo, Järnbrott, Ö;Oförändrad;14801232;Frölunda, Östra Järnbrott;exakt
rd;14805161;Askim-Frölunda-Högsbo, Flatås, Ö;Oförändrad;14801021;Högsbo, Östra Flatås;exakt
rd;14805171;Askim-Frölunda-Högsbo, Frölunda;Modifierad;;;ingen FGVAL
rd;14805172;Askim-Frölunda-Högsbo, Frölunda Torg;Oförändrad;14801241;Frölunda, Frölunda torg;exakt
rd;14805173;Askim-Frölunda-Högsbo, Gånglåten;Modifierad;;;ingen FGVAL
rd;14805174;Askim-Frölunda-Högsbo, Mandolingatan;Oförändrad;14801243;Frölunda, Frölunda;exakt
rd;14805181;Västra Göteborg, Korsåsen;Oförändrad;14801441;Tynnered, Korsåsen;exakt
rd;14805182;Västra Göteborg, Ängås;Oförändrad;14801442;Tynnered, Ängås;exakt
rd;14805191;Västra Göteborg, Önnered, Västra;Oförändrad;14801451;Tynnered, Västra Önnered;exakt
rd;14805192;Västra Göteborg, Önnered, Östra;Oförändrad;14801452;Tynnered, Östra Önnered;exakt
rd;14805201;Västra Göteborg, Grevegården;Oförändrad;14801461;Tynnered, Grevegården;exakt
rd;14805202;Västra Göteborg, Skattegården;Oförändrad;14801462;Tynnered, Skattegården;exakt
rd;14805211;Västra Göteborg, Näset, Norra;Oförändrad;14801472;Tynnered, Norra Näset;exakt
rd;14805212;Västra Göteborg, Näset, Södra;Oförändrad;14801471;Tynnered, Södra Näset;exakt
rd;14805213;Västra Göteborg, Åkered;Oförändrad;14801473;Tynnered, Åkered;exakt
rd;14805221;Västra Göteborg, Opaltorget, Norra;Oförändrad;14801482;Tynnered, Norra Opaltorget;exakt
rd;14805222;Västra Göteborg, Opaltorget, Södra;Oförändrad;14801481;Tynnered, Södra Opaltorget;exakt
rd;14805231;Askim-Frölunda-Högsbo, Askim;Oförändrad;14801313;Askim, Askim;exakt
rd;14805232;Askim-Frölunda-Högsbo, Hovås, Norra;Oförändrad;14801316;Askim, Norra Hovås;exakt
rd;14805233;Askim-Frölunda-Högsbo, Hult;Oförändrad;14801311;Askim, Hult;exakt
rd;14805234;Askim-Frölunda-Högsbo, Pilegården;Oförändrad;14801312;Askim, Pilegården;exakt
rd;14805235;Askim-Frölunda-Högsbo, Sisjön, Norra;Oförändrad;14801314;Askim, Norra Sisjön;exakt
rd;14805236;Askim-Frölunda-Högsbo, Sisjön, Södra;Oförändrad;14801315;Askim, Södra Sisjön;exakt
rd;14805241;Askim-Frölunda-Högsbo, Hovås, Södra;Oförändrad;14801321;Askim, Södra Hovås;exakt
rd;14805242;Askim-Frölunda-Högsbo, Trollåsen;Oförändrad;14801322;Askim, Trollåsen;exakt
rd;14805251;Askim-Frölunda-Högsbo, Billdal;Modifierad;;;ingen FGVAL
rd;14805252;Askim-Frölunda-Högsbo, Brottkärr;Oförändrad;14801334;Askim, Brottkärr;exakt
rd;14805253;Askim-Frölunda-Högsbo, Lindås;Modifierad;;;ingen FGVAL
rd;14805254;Askim-Frölunda-Högsbo, Lyckhem;Oförändrad;14801335;Askim, Lyckhem;exakt
rd;14805255;Askim-Frölunda-Högsbo, Nygård;Oförändrad;14801332;Askim, Nygård;exakt
rd;14805256;Askim-Frölunda-Högsbo, Skintebo;Oförändrad;14801333;Askim, Skintebo;exakt
rd;14806011;Angered, Lövgärdet, Nedre;Oförändrad;14800113;Gunnared, Nedre Lövgärdet;exakt
rd;14806012;Angered, Lövgärdet, Övre;Oförändrad;14800112;Gunnared, Övre Lövgärdet;exakt
rd;14806013;Angered, Lövgärdets Centrum;Oförändrad;14800111;Gunnared, Lövgärdets Centrum;exakt
rd;14806021;Angered, Rannebergen, Norra;Oförändrad;14800122;Gunnared, Norra Rannebergen;exakt
rd;14806022;Angered, Rannebergen, Södra;Oförändrad;14800121;Gunnared, Södra Rannebergen;exakt
rd;14806031;Angered, Gårdsten, Norra;Oförändrad;14800132;Gunnared, Norra Gårdsten;exakt
rd;14806032;Angered, Gårdsten, Södra;Oförändrad;14800134;Gunnared, Södra Gårdsten;exakt
rd;14806033;Angered, Gårdsten, Västra;Oförändrad;14800131;Gunnared, Västra Gårdsten;exakt
rd;14806034;Angered, Gårdsten, Östra;Oförändrad;14800133;Gunnared, Östra Gårdsten;exakt
rd;14806041;Angered, Angereds Centrum;Oförändrad;14800141;Gunnared, Angereds Centrum;exakt
rd;14806042;Angered, Trägårdsgärdet;Oförändrad;14800142;Gunnared, Trädgårdsgärdet;exakt
rd;14806051;Angered, Agnesberg;Oförändrad;14800211;Lärjedalen, Agnesberg;exakt
rd;14806061;Angered, Hammarkullen, Västra;Oförändrad;14800221;Lärjedalen, Västra Hammarkullen;exakt
rd;14806062;Angered, Hammarkullen, Östra;Modifierad;;;ingen FGVAL
rd;14806063;Angered, Sandeslätt;Modifierad;;;ingen FGVAL
rd;14806101;Angered, Gunnilse-Linnarhult;Oförändrad;14800231;Lärjedalen, Gunnilse-Linnarhult;exakt
rd;14806111;Angered, Björsared-Knipared;Oförändrad;14800251;Lärjedalen, Björsared-Knipared;exakt
rd;14806112;Angered, Olofstorp;Oförändrad;14800252;Lärjedalen, Olofstorp;exakt
rd;14806121;Angered, Bläsebo;Oförändrad;14800264;Lärjedalen, Bläsebo;exakt
rd;14806122;Angered, Hjällbo, Norra;Oförändrad;14800263;Lärjedalen, Norra Hjällbo;exakt
rd;14806123;Angered, Hjällbo, Södra;Oförändrad;14800261;Lärjedalen, Södra Hjällbo;exakt
rd;14806124;Angered, Skolspåret;Oförändrad;14800262;Lärjedalen, Skolspåret;exakt
rd;14806131;Angered, Eriksbo;Modifierad;;;ingen FGVAL
rd;14807011;Västra Hisingen, Biskopsgården, N;Modifierad;;;ingen FGVAL
rd;14807012;Västra Hisingen, Svarte Mosse;Modifierad;;;ingen FGVAL
rd;14807021;Västra Hisingen, Länsmansgården, C;Oförändrad;14801722;Biskopsgården, Länsmansgårdens Centr;exakt
rd;14807022;Västra Hisingen, Länsmansgården, N;Oförändrad;14801723;Biskopsgården, Norra Länsmansgården;exakt
rd;14807023;Västra Hisingen, Länsmansgården, S;Oförändrad;14801721;Biskopsgården, Södra Länsmansgården;exakt
