ar;val;niva;kod;parti_kalla;parti;mandat;varav_utjamning;mandat_2002;roster;andel;mandat_totalt;kalla_fil
2006;rd;Västernorrlands län;2226;V;V;1;0;1;10229;6.67;9;slutresultat_00R.xml
2006;rd;Västernorrlands län;2226;MP;MP;0;0;0;5871;3.83;9;slutresultat_00R.xml
2006;rd;Västernorrlands län;2226;ÖVR;ÖVR;0;0;0;7324;4.77;9;slutresultat_00R.xml
2006;rd;Västmanlands län;1923;M;M;2;0;1;34533;23.29;8;slutresultat_00R.xml
2006;rd;Västmanlands län;1923;C;C;1;0;1;10186;6.87;8;slutresultat_00R.xml
2006;rd;Västmanlands län;1923;FP;L;1;0;1;12076;8.14;8;slutresultat_00R.xml
2006;rd;Västmanlands län;1923;KD;KD;0;0;1;8502;5.73;8;slutresultat_00R.xml
2006;rd;Västmanlands län;1923;S;S;4;0;5;59014;39.79;8;slutresultat_00R.xml
2006;rd;Västmanlands län;1923;V;V;1;1;1;9211;6.21;8;slutresultat_00R.xml
2006;rd;Västmanlands län;1923;MP;MP;0;0;0;6308;4.25;8;slutresultat_00R.xml
2006;rd;Västmanlands län;1923;ÖVR;ÖVR;0;0;0;8469;5.71;8;slutresultat_00R.xml
2006;rd;Göteborgs kommun;1416;M;M;5;0;3;78679;26.88;17;slutresultat_00R.xml
2006;rd;Göteborgs kommun;1416;C;C;1;0;0;13076;4.47;17;slutresultat_00R.xml
2006;rd;Göteborgs kommun;1416;FP;L;2;0;4;29981;10.24;17;slutresultat_00R.xml
2006;rd;Göteborgs kommun;1416;KD;KD;1;0;2;19698;6.73;17;slutresultat_00R.xml
2006;rd;Göteborgs kommun;1416;S;S;5;0;6;84693;28.93;17;slutresultat_00R.xml
2006;rd;Göteborgs kommun;1416;V;V;2;0;2;25407;8.68;17;slutresultat_00R.xml
2006;rd;Göteborgs kommun;1416;MP;MP;2;1;1;24694;8.44;17;slutresultat_00R.xml
2006;rd;Göteborgs kommun;1416;ÖVR;ÖVR;0;0;0;16498;5.64;17;slutresultat_00R.xml
2006;rd;Västra Götalands läns norra;1418;M;M;2;0;1;34427;21.19;9;slutresultat_00R.xml
2006;rd;Västra Götalands läns norra;1418;C;C;1;0;1;14471;8.91;9;slutresultat_00R.xml
2006;rd;Västra Götalands läns norra;1418;FP;L;1;0;1;12095;7.45;9;slutresultat_00R.xml
2006;rd;Västra Götalands läns norra;1418;KD;KD;1;0;1;13123;8.08;9;slutresultat_00R.xml
2006;rd;Västra Götalands läns norra;1418;S;S;4;0;4;62574;38.52;9;slutresultat_00R.xml
2006;rd;Västra Götalands läns norra;1418;V;V;1;1;1;9386;5.78;9;slutresultat_00R.xml
2006;rd;Västra Götalands läns norra;1418;MP;MP;1;1;1;7789;4.80;9;slutresultat_00R.xml
2006;rd;Västra Götalands läns norra;1418;ÖVR;ÖVR;0;0;0;8567;5.27;9;slutresultat_00R.xml
2006;rd;Västra Götalands läns södra;1419;M;M;2;0;1;27238;24.05;6;slutresultat_00R.xml
2006;rd;Västra Götalands läns södra;1419;C;C;1;0;1;10726;9.47;6;slutresultat_00R.xml
2006;rd;Västra Götalands läns södra;1419;FP;L;0;0;1;7373;6.51;6;slutresultat_00R.xml
2006;rd;Västra Götalands läns södra;1419;KD;KD;1;1;1;9093;8.03;6;slutresultat_00R.xml
2006;rd;Västra Götalands läns södra;1419;S;S;3;0;3;40429;35.69;6;slutresultat_00R.xml
