kod_2018;kod_2022;procent;jamforbart;namn_2018;namn_2022;avvikelse;kalla_fil
14802105;14800303;;ja;Örgryte-Härlanda, Munkebäck, Norra;Östra Centrum Munkebäck Norra;2018-kod i kolumnen Jämförbart i källan;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800304;;nej;;Östra Centrum Munkebäck Södra;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800305;;nej;;Östra Centrum Kålltorp Norra;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800306;;nej;;Östra Centrum Torpa;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800307;;nej;;Östra Centrum Björkekärr Norra;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800308;;nej;;Östra Centrum Smörslätten;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800309;;nej;;Östra Centrum Björkekärr Östra;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800310;;nej;;Östra Centrum Robertshöjd m fl;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800311;;nej;;Östra Centrum Björkekärr Västra;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800312;;nej;;Östra Centrum Kålltorp Östra;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800313;;nej;;Östra Centrum Solrosparken;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800314;;nej;;Östra Centrum Kålltorp Västra;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800315;;nej;;Östra Centrum Kålltorp Södra;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800316;;nej;;Östra Centrum Björkekärr Södra;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
14802043;14800317;;ja;Örgryte-Härlanda, Kallebäck, Östra;Östra Centrum Kallebäck Östra;2018-kod i kolumnen Jämförbart i källan;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800318;;nej;;Östra Centrum Kallebäck Västra;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800319;;nej;;Östra Centrum Kallebäck Norra;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
14802053;14800320;;ja;Örgryte-Härlanda, Skår, Södra;Östra Centrum Skår Södra;2018-kod i kolumnen Jämförbart i källan;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800321;;nej;;Östra Centrum Jakobsdal;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800322;;nej;;Östra Centrum Skår Norra;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800323;;nej;;Östra Centrum Stora Torp;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800324;;nej;;Östra Centrum Lilla Torp;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800325;;nej;;Östra Centrum Bö;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800326;;nej;;Östra Centrum Örgryte;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800327;;nej;;Östra Centrum Prästgårdsängen m fl;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800328;;nej;;Östra Centrum Kärralund Södra;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800329;;nej;;Östra Centrum Kärralund Norra;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800330;;nej;;Östra Centrum Härlanda;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
14802085;14800331;;ja;Örgryte-Härlanda, Lunden, Nya;Östra Centrum Lunden Nya;2018-kod i kolumnen Jämförbart i källan;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800332;;nej;;Östra Centrum Danska Vägen m fl;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
14802086;14800333;;ja;Örgryte-Härlanda, Nobelplatsen;Östra Centrum Nobelplatsen;2018-kod i kolumnen Jämförbart i källan;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800334;;nej;;Östra Centrum Sankt Pauli;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800335;;nej;;Östra Centrum Lunden Gamla;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
14802088;14800336;;ja;Örgryte-Härlanda, Överås;Östra Centrum Överås;2018-kod i kolumnen Jämförbart i källan;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800337;;nej;;Östra Centrum Gubbero;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800338;;nej;;Östra Centrum Gubberoparken;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800339;;nej;;Östra Centrum Redbergsplatsen;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800340;;nej;;Östra Centrum Olskroken;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800341;;nej;;Östra Centrum Redberget;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800342;;nej;;Östra Centrum Bagaregården;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800343;;nej;;Östra Centrum Redbergslid;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800344;;nej;;Östra Centrum Ånäs;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800345;;nej;;Östra Centrum Strömmensberg Västra;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800346;;nej;;Östra Centrum Strömmensberg Östra;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
14801163;14800401;;ja;Centrum, Otterhällan;Centrum Otterhällan;2018-kod i kolumnen Jämförbart i källan;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800402;;nej;;Centrum Inom Vallgraven;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800403;;nej;;Centrum Nordstan;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800404;;nej;;Centrum Stampen Västra;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800405;;nej;;Centrum Odinsgatan m fl;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800406;;nej;;Centrum Stampen Östra;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
14801171;14800407;;ja;Centrum, Friggagatan m fl;Centrum Friggagatan m fl;2018-kod i kolumnen Jämförbart i källan;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800408;;nej;;Centrum Svingeln;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
14801172;14800409;;ja;Centrum, Gårda, Norra;Centrum Gårda Norra;2018-kod i kolumnen Jämförbart i källan;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
14801182;14800410;;ja;Centrum, Gårda, Södra;Centrum Gårda Södra;2018-kod i kolumnen Jämförbart i källan;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800411;;nej;;Centrum Bohusgatan m fl;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800412;;nej;;Centrum Sten Sturegatan m fl;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800413;;nej;;Centrum Heden;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800414;;nej;;Centrum Hedås;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800415;;nej;;Centrum Götaplatsen;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800416;;nej;;Centrum Carlandersplatsen;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800417;;nej;;Centrum Eklanda Östra;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800418;;nej;;Centrum Eklanda Norra;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
14801116;14800419;;ja;Centrum, Johanneberg, Övre;Centrum Johanneberg Övre;2018-kod i kolumnen Jämförbart i källan;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
14801115;14800420;;ja;Centrum, Johanneberg, Östra;Centrum Johanneberg Östra;2018-kod i kolumnen Jämförbart i källan;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800421;;nej;;Centrum Eklanda Södra;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800422;;nej;;Centrum Kristinehöjd Västra;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800423;;nej;;Centrum Olofshöjd;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800424;;nej;;Centrum Kristinehöjd Östra;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800425;;nej;;Centrum Getebergsäng;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800426;;nej;;Centrum Krokslätt Norra;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800427;;nej;;Centrum Krokslätt Södra;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
14801101;14800428;;ja;Centrum, Fredriksdal;Centrum Fredriksdal;2018-kod i kolumnen Jämförbart i källan;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
14801100;14800429;;ja;Centrum, Framnäs;Centrum Framnäs;2018-kod i kolumnen Jämförbart i källan;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
14801108;14800430;;ja;Centrum, Mossen;Centrum Mossen;2018-kod i kolumnen Jämförbart i källan;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800431;;nej;;Centrum Fridkullagatan m fl;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800432;;nej;;Centrum Guldheden Östra;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800433;;nej;;Centrum Doktor Forselius Backe m fl;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800434;;nej;;Centrum Guldheden Södra;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800435;;nej;;Centrum Guldheden Vattentornet;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800436;;nej;;Centrum Doktor Fries Torg;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
14801134;14800437;;ja;Centrum, Guldheden, Centrala;Centrum Guldheden Västra;2018-kod i kolumnen Jämförbart i källan;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
14801135;14800438;;ja;Centrum, Guldheden, Norra;Centrum Guldheden Norra;2018-kod i kolumnen Jämförbart i källan;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
14801137;14800439;;ja;Centrum, Landala Egnahem;Centrum Landala Egnahem;2018-kod i kolumnen Jämförbart i källan;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800440;;nej;;Centrum Landalagången m fl;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
14801114;14800441;;ja;Centrum, Johanneberg, Västra;Centrum Johanneberg Västra;2018-kod i kolumnen Jämförbart i källan;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800442;;nej;;Centrum Johanneberg Nedre;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800443;;nej;;Centrum Lorensberg;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800444;;nej;;Centrum Vasastaden Södra;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800445;;nej;;Centrum Kapellplatsen;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800446;;nej;;Centrum Landalabergen m fl;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
14801151;14800447;;ja;Centrum, Fogelbergsparken;Centrum Fogelbergsparken;2018-kod i kolumnen Jämförbart i källan;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
14801154;14800448;;ja;Centrum, Vasastaden, Södra;Centrum Vasastaden Västra;2018-kod i kolumnen Jämförbart i källan;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800449;;nej;;Centrum Vasastaden Östra;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800450;;nej;;Centrum Valand;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800451;;nej;;Centrum Vasastaden Norra;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
14801094;14800501;;ja;Majorna-Linné, Långgatorna;Västra Centrum Långgatorna;2018-kod i kolumnen Jämförbart i källan;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
14801053;14800502;;ja;Majorna-Linné, Masthuggstorget;Västra Centrum Masthuggstorget;2018-kod i kolumnen Jämförbart i källan;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
14801057;14800503;;ja;Majorna-Linné, Stigberget;Västra Centrum Stigberget;2018-kod i kolumnen Jämförbart i källan;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800504;;nej;;Västra Centrum Masthugget Övre;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800505;;nej;;Västra Centrum Masthugget Nedre;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800506;;nej;;Västra Centrum Oscar Fredrik;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
14801055;14800507;;ja;Majorna-Linné, Sjömansgatan m fl;Västra Centrum Sjömansgatan m fl;2018-kod i kolumnen Jämförbart i källan;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800508;;nej;;Västra Centrum Vegastaden;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
14801056;14800509;;ja;Majorna-Linné, Slottsskogen;Västra Centrum Slottsskogen;2018-kod i kolumnen Jämförbart i källan;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800510;;nej;;Västra Centrum Linnéplatsen;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800511;;nej;;Västra Centrum Sveaplan;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800512;;nej;;Västra Centrum Kommendantsängen;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
;14800513;;nej;;Västra Centrum Linné;;jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx
