kod_2022;namn_2022;kod_2018_troligast;namn_2018;typ;belagg;kalla
14800111;Nordöstra Göteborg, Sandeslätt;14806064;Angered, Sandeslätt;omritad;ej markerad som jämförbar i kolumnen Jämförbart i Göteborgs stads fil (mappning_2018_2022.csv). geometri geo_overlap_2018_2022.csv: 14806064 (Angered, Sandeslätt) täcker 46.1 procent av det nya distriktet, 3.6 procent av det gamla ligger där, 3 källor över 5 procent;geometri + mappning_2018_2022.csv
14800112;Nordöstra Göteborg, Hammarkullen V;14806062;Angered, Hammarkullen, Västra;omritad;ej markerad som jämförbar i kolumnen Jämförbart i Göteborgs stads fil (mappning_2018_2022.csv). geometri geo_overlap_2018_2022.csv: 14806062 (Angered, Hammarkullen, Västra) täcker 78.4 procent av det nya distriktet, 14.6 procent av det gamla ligger där, 2 källor över 5 procent;geometri + mappning_2018_2022.csv
14800113;Nordöstra Göteborg, Eriksbo Västra;14806131;Angered, Eriksbo;omritad;ej markerad som jämförbar i kolumnen Jämförbart i Göteborgs stads fil (mappning_2018_2022.csv). geometri geo_overlap_2018_2022.csv: 14806131 (Angered, Eriksbo) täcker 57.9 procent av det nya distriktet, 32.9 procent av det gamla ligger där, 2 källor över 5 procent;geometri + mappning_2018_2022.csv
14800114;Nordöstra Göteborg, Bläsebo;14806121;Angered, Bläsebo;omritad;ej markerad som jämförbar i kolumnen Jämförbart i Göteborgs stads fil (mappning_2018_2022.csv). geometri geo_overlap_2018_2022.csv: 14806121 (Angered, Bläsebo) täcker 76.1 procent av det nya distriktet, 61.2 procent av det gamla ligger där, 3 källor över 5 procent;geometri + mappning_2018_2022.csv
14800115;Nordöstra Göteborg, Hjällbo Norra;14806122;Angered, Hjällbo, Norra;omritad;ej markerad som jämförbar i kolumnen Jämförbart i Göteborgs stads fil (mappning_2018_2022.csv). geometri geo_overlap_2018_2022.csv: 14806122 (Angered, Hjällbo, Norra) täcker 83.8 procent av det nya distriktet, 54.7 procent av det gamla ligger där, 3 källor över 5 procent;geometri + mappning_2018_2022.csv
14800116;Nordöstra Göteborg, Skolspåret;14806124;Angered, Skolspåret;omritad;ej markerad som jämförbar i kolumnen Jämförbart i Göteborgs stads fil (mappning_2018_2022.csv). geometri geo_overlap_2018_2022.csv: 14806124 (Angered, Skolspåret) täcker 62.1 procent av det nya distriktet, 76.3 procent av det gamla ligger där, 3 källor över 5 procent;geometri + mappning_2018_2022.csv
14800117;Nordöstra Göteborg, Hjällbo Södra;14806123;Angered, Hjällbo, Södra;omritad;ej markerad som jämförbar i kolumnen Jämförbart i Göteborgs stads fil (mappning_2018_2022.csv). geometri geo_overlap_2018_2022.csv: 14806123 (Angered, Hjällbo, Södra) täcker 95.6 procent av det nya distriktet, 94.6 procent av det gamla ligger där, 1 källor över 5 procent;geometri + mappning_2018_2022.csv
14800118;Nordöstra Göteborg, Agnesberg;14806051;Angered, Agnesberg;omritad;ej markerad som jämförbar i kolumnen Jämförbart i Göteborgs stads fil (mappning_2018_2022.csv). geometri geo_overlap_2018_2022.csv: 14806051 (Angered, Agnesberg) täcker 69.8 procent av det nya distriktet, 99.6 procent av det gamla ligger där, 3 källor över 5 procent;geometri + mappning_2018_2022.csv
14800119;Nordöstra Göteborg, Gårdsten Västra;14806033;Angered, Gårdsten, Västra;delad;ej markerad som jämförbar i kolumnen Jämförbart i Göteborgs stads fil (mappning_2018_2022.csv). geometri geo_overlap_2018_2022.csv: 14806033 (Angered, Gårdsten, Västra) täcker 100.0 procent av det nya distriktet, 92.7 procent av det gamla ligger där, 1 källor över 5 procent;geometri + mappning_2018_2022.csv
14800120;Nordöstra Göteborg, Gårdsten Södra;14806032;Angered, Gårdsten, Södra;delad;ej markerad som jämförbar i kolumnen Jämförbart i Göteborgs stads fil (mappning_2018_2022.csv). geometri geo_overlap_2018_2022.csv: 14806032 (Angered, Gårdsten, Södra) täcker 100.0 procent av det nya distriktet, 79.1 procent av det gamla ligger där, 1 källor över 5 procent;geometri + mappning_2018_2022.csv
14800121;Nordöstra Göteborg, Gårdsten Centrum;14806034;Angered, Gårdsten, Östra;omritad;ej markerad som jämförbar i kolumnen Jämförbart i Göteborgs stads fil (mappning_2018_2022.csv). geometri geo_overlap_2018_2022.csv: 14806034 (Angered, Gårdsten, Östra) täcker 50.8 procent av det nya distriktet, 22.0 procent av det gamla ligger där, 2 källor över 5 procent;geometri + mappning_2018_2022.csv
14800122;Nordöstra Göteborg, Gårdsten Östra;14806034;Angered, Gårdsten, Östra;omritad;ej markerad som jämförbar i kolumnen Jämförbart i Göteborgs stads fil (mappning_2018_2022.csv). geometri geo_overlap_2018_2022.csv: 14806034 (Angered, Gårdsten, Östra) täcker 94.2 procent av det nya distriktet, 70.9 procent av det gamla ligger där, 2 källor över 5 procent;geometri + mappning_2018_2022.csv
14800123;Nordöstra Göteborg, Gårdstensdalen;14806033;Angered, Gårdsten, Västra;omritad;ej markerad som jämförbar i kolumnen Jämförbart i Göteborgs stads fil (mappning_2018_2022.csv). geometri geo_overlap_2018_2022.csv: 14806033 (Angered, Gårdsten, Västra) täcker 52.4 procent av det nya distriktet, 7.3 procent av det gamla ligger där, 2 källor över 5 procent;geometri + mappning_2018_2022.csv
14800124;Nordöstra Göteborg, Gårdsten Norra;14806031;Angered, Gårdsten, Norra;omritad;ej markerad som jämförbar i kolumnen Jämförbart i Göteborgs stads fil (mappning_2018_2022.csv). geometri geo_overlap_2018_2022.csv: 14806031 (Angered, Gårdsten, Norra) täcker 83.7 procent av det nya distriktet, 78.7 procent av det gamla ligger där, 3 källor över 5 procent;geometri + mappning_2018_2022.csv
14800125;Nordöstra Göteborg, Lövgärdet C;14806013;Angered, Lövgärdets Centrum;delad;ej markerad som jämförbar i kolumnen Jämförbart i Göteborgs stads fil (mappning_2018_2022.csv). geometri geo_overlap_2018_2022.csv: 14806013 (Angered, Lövgärdets Centrum) täcker 99.9 procent av det nya distriktet, 88.9 procent av det gamla ligger där, 1 källor över 5 procent;geometri + mappning_2018_2022.csv
14800126;Nordöstra Göteborg, Senapsgatan m fl;14806011;Angered, Lövgärdet, Nedre;omritad;ej markerad som jämförbar i kolumnen Jämförbart i Göteborgs stads fil (mappning_2018_2022.csv). geometri geo_overlap_2018_2022.csv: 14806011 (Angered, Lövgärdet, Nedre) täcker 50.7 procent av det nya distriktet, 0.7 procent av det gamla ligger där, 2 källor över 5 procent;geometri + mappning_2018_2022.csv
14800127;Nordöstra Göteborg, Mejramgatan m fl;14806012;Angered, Lövgärdet, Övre;omritad;ej markerad som jämförbar i kolumnen Jämförbart i Göteborgs stads fil (mappning_2018_2022.csv). geometri geo_overlap_2018_2022.csv: 14806012 (Angered, Lövgärdet, Övre) täcker 83.0 procent av det nya distriktet, 13.5 procent av det gamla ligger där, 2 källor över 5 procent;geometri + mappning_2018_2022.csv
14800128;Nordöstra Göteborg, Lövgärdet Övre;14806012;Angered, Lövgärdet, Övre;delad;ej markerad som jämförbar i kolumnen Jämförbart i Göteborgs stads fil (mappning_2018_2022.csv). geometri geo_overlap_2018_2022.csv: 14806012 (Angered, Lövgärdet, Övre) täcker 100.0 procent av det nya distriktet, 86.5 procent av det gamla ligger där, 1 källor över 5 procent;geometri + mappning_2018_2022.csv
14800129;Nordöstra Göteborg, Lövgärdet Nedre;14806011;Angered, Lövgärdet, Nedre;omritad;ej markerad som jämförbar i kolumnen Jämförbart i Göteborgs stads fil (mappning_2018_2022.csv). geometri geo_overlap_2018_2022.csv: 14806011 (Angered, Lövgärdet, Nedre) täcker 100.0 procent av det nya distriktet, 98.7 procent av det gamla ligger där, 1 källor över 5 procent OBS geometrin är i praktiken 1:1 (14806011 täcker 100.0 procent av 2022-distriktet, 98.7 procent av 2018-distriktet ligger där) trots att källan inte markerar distriktet som jämförbart;geometri + mappning_2018_2022.csv
14800130;Nordöstra Göteborg, Trädgårdsgärdet;14806042;Angered, Trägårdsgärdet;omritad;ej markerad som jämförbar i kolumnen Jämförbart i Göteborgs stads fil (mappning_2018_2022.csv). geometri geo_overlap_2018_2022.csv: 14806042 (Angered, Trägårdsgärdet) täcker 96.0 procent av det nya distriktet, 64.6 procent av det gamla ligger där, 1 källor över 5 procent;geometri + mappning_2018_2022.csv
14800131;Nordöstra Göteborg, Titteridamm;14806042;Angered, Trägårdsgärdet;omritad;ej markerad som jämförbar i kolumnen Jämförbart i Göteborgs stads fil (mappning_2018_2022.csv). geometri geo_overlap_2018_2022.csv: 14806042 (Angered, Trägårdsgärdet) täcker 78.5 procent av det nya distriktet, 31.9 procent av det gamla ligger där, 2 källor över 5 procent;geometri + mappning_2018_2022.csv
14800132;Nordöstra Göteborg, Rannebergen S;14806022;Angered, Rannebergen, Södra;omritad;ej markerad som jämförbar i kolumnen Jämförbart i Göteborgs stads fil (mappning_2018_2022.csv). geometri geo_overlap_2018_2022.csv: 14806022 (Angered, Rannebergen, Södra) täcker 90.6 procent av det nya distriktet, 61.6 procent av det gamla ligger där, 2 källor över 5 procent;geometri + mappning_2018_2022.csv
14800133;Nordöstra Göteborg, Rannebergen C;14806022;Angered, Rannebergen, Södra;omritad;ej markerad som jämförbar i kolumnen Jämförbart i Göteborgs stads fil (mappning_2018_2022.csv). geometri geo_overlap_2018_2022.csv: 14806022 (Angered, Rannebergen, Södra) täcker 73.3 procent av det nya distriktet, 37.0 procent av det gamla ligger där, 2 källor över 5 procent;geometri + mappning_2018_2022.csv
14800134;Nordöstra Göteborg, Rannebergen N;14806021;Angered, Rannebergen, Norra;delad;ej markerad som jämförbar i kolumnen Jämförbart i Göteborgs stads fil (mappning_2018_2022.csv). geometri geo_overlap_2018_2022.csv: 14806021 (Angered, Rannebergen, Norra) täcker 100.0 procent av det nya distriktet, 97.6 procent av det gamla ligger där, 1 källor över 5 procent;geometri + mappning_2018_2022.csv
14800201;Östra Göteborg, Rymdtorget;14803064;Östra Göteborg, Rymdtorget;delad;ej markerad som jämförbar i kolumnen Jämförbart i Göteborgs stads fil (mappning_2018_2022.csv). geometri geo_overlap_2018_2022.csv: 14803064 (Östra Göteborg, Rymdtorget) täcker 99.4 procent av det nya distriktet, 97.1 procent av det gamla ligger där, 1 källor över 5 procent;geometri + mappning_2018_2022.csv
14800202;Östra Göteborg, Gärdsmosse;14803052;Östra Göteborg, Gärdsmosse;delad;ej markerad som jämförbar i kolumnen Jämförbart i Göteborgs stads fil (mappning_2018_2022.csv). geometri geo_overlap_2018_2022.csv: 14803052 (Östra Göteborg, Gärdsmosse) täcker 99.3 procent av det nya distriktet, 96.5 procent av det gamla ligger där, 1 källor över 5 procent;geometri + mappning_2018_2022.csv
14800203;Östra Göteborg, Tellusgatan m fl;14803062;Östra Göteborg, Bergsjön, Östra;omritad;ej markerad som jämförbar i kolumnen Jämförbart i Göteborgs stads fil (mappning_2018_2022.csv). geometri geo_overlap_2018_2022.csv: 14803062 (Östra Göteborg, Bergsjön, Östra) täcker 89.8 procent av det nya distriktet, 37.8 procent av det gamla ligger där, 2 källor över 5 procent;geometri + mappning_2018_2022.csv
14800204;Östra Göteborg, Bergsjön Östra;14803062;Östra Göteborg, Bergsjön, Östra;omritad;ej markerad som jämförbar i kolumnen Jämförbart i Göteborgs stads fil (mappning_2018_2022.csv). geometri geo_overlap_2018_2022.csv: 14803062 (Östra Göteborg, Bergsjön, Östra) täcker 91.4 procent av det nya distriktet, 61.2 procent av det gamla ligger där, 2 källor över 5 procent;geometri + mappning_2018_2022.csv
14800205;Östra Göteborg, Bergsjön Norra;14803051;Östra Göteborg, Bergsjön, Norra;identisk;Göteborgs stad jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx: kolumnen Jämförbart pekar på 2018-distrikt 14803051, geometri 100.0/99.7 procent. geometri geo_overlap_2018_2022.csv: 14803051 (Östra Göteborg, Bergsjön, Norra) täcker 100.0 procent av det nya distriktet, 99.7 procent av det gamla ligger där, 1 källor över 5 procent;mappning_2018_2022.csv (Goteborgs stad) + geometri
14800206;Östra Göteborg, Siriusgatan Östra;14803054;Östra Göteborg, Siriusgatan;omritad;ej markerad som jämförbar i kolumnen Jämförbart i Göteborgs stads fil (mappning_2018_2022.csv). geometri geo_overlap_2018_2022.csv: 14803054 (Östra Göteborg, Siriusgatan) täcker 55.9 procent av det nya distriktet, 36.9 procent av det gamla ligger där, 2 källor över 5 procent;geometri + mappning_2018_2022.csv
14800207;Östra Göteborg, Siriusgatan Västra;14803054;Östra Göteborg, Siriusgatan;delad;ej markerad som jämförbar i kolumnen Jämförbart i Göteborgs stads fil (mappning_2018_2022.csv). geometri geo_overlap_2018_2022.csv: 14803054 (Östra Göteborg, Siriusgatan) täcker 100.0 procent av det nya distriktet, 62.6 procent av det gamla ligger där, 1 källor över 5 procent;geometri + mappning_2018_2022.csv
14800208;Östra Göteborg, Gärdsås;14803053;Östra Göteborg, Gärdsås;identisk;Göteborgs stad jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx: kolumnen Jämförbart pekar på 2018-distrikt 14803053, geometri 99.5/99.9 procent. geometri geo_overlap_2018_2022.csv: 14803053 (Östra Göteborg, Gärdsås) täcker 99.5 procent av det nya distriktet, 99.9 procent av det gamla ligger där, 1 källor över 5 procent;mappning_2018_2022.csv (Goteborgs stad) + geometri
14800209;Östra Göteborg, Bergsjön Södra;14803061;Östra Göteborg, Bergsjön, Södra;delad;ej markerad som jämförbar i kolumnen Jämförbart i Göteborgs stads fil (mappning_2018_2022.csv). geometri geo_overlap_2018_2022.csv: 14803061 (Östra Göteborg, Bergsjön, Södra) täcker 99.7 procent av det nya distriktet, 94.5 procent av det gamla ligger där, 1 källor över 5 procent;geometri + mappning_2018_2022.csv
14800210;Östra Göteborg, Komettorget;14803063;Östra Göteborg, Komettorget;omritad;ej markerad som jämförbar i kolumnen Jämförbart i Göteborgs stads fil (mappning_2018_2022.csv). geometri geo_overlap_2018_2022.csv: 14803063 (Östra Göteborg, Komettorget) täcker 91.4 procent av det nya distriktet, 67.0 procent av det gamla ligger där, 2 källor över 5 procent;geometri + mappning_2018_2022.csv
14800211;Östra Göteborg, Zenitgatan m fl;14803063;Östra Göteborg, Komettorget;omritad;ej markerad som jämförbar i kolumnen Jämförbart i Göteborgs stads fil (mappning_2018_2022.csv). geometri geo_overlap_2018_2022.csv: 14803063 (Östra Göteborg, Komettorget) täcker 75.7 procent av det nya distriktet, 31.5 procent av det gamla ligger där, 2 källor över 5 procent;geometri + mappning_2018_2022.csv
14800212;Östra Göteborg, Fjällbo;14803021;Östra Göteborg, Fjällbo;delad;ej markerad som jämförbar i kolumnen Jämförbart i Göteborgs stads fil (mappning_2018_2022.csv). geometri geo_overlap_2018_2022.csv: 14803021 (Östra Göteborg, Fjällbo) täcker 100.0 procent av det nya distriktet, 72.5 procent av det gamla ligger där, 1 källor över 5 procent;geometri + mappning_2018_2022.csv
14800213;Östra Göteborg, Utbynäs;14803023;Östra Göteborg, Utbynäs;delad;ej markerad som jämförbar i kolumnen Jämförbart i Göteborgs stads fil (mappning_2018_2022.csv). geometri geo_overlap_2018_2022.csv: 14803023 (Östra Göteborg, Utbynäs) täcker 99.9 procent av det nya distriktet, 90.5 procent av det gamla ligger där, 1 källor över 5 procent;geometri + mappning_2018_2022.csv
14800214;Östra Göteborg, Utby;14803022;Östra Göteborg, Utby;omritad;ej markerad som jämförbar i kolumnen Jämförbart i Göteborgs stads fil (mappning_2018_2022.csv). geometri geo_overlap_2018_2022.csv: 14803022 (Östra Göteborg, Utby) täcker 47.7 procent av det nya distriktet, 42.6 procent av det gamla ligger där, 3 källor över 5 procent;geometri + mappning_2018_2022.csv
14800215;Östra Göteborg, Kamgatan m fl;14803022;Östra Göteborg, Utby;omritad;ej markerad som jämförbar i kolumnen Jämförbart i Göteborgs stads fil (mappning_2018_2022.csv). geometri geo_overlap_2018_2022.csv: 14803022 (Östra Göteborg, Utby) täcker 92.8 procent av det nya distriktet, 57.3 procent av det gamla ligger där, 2 källor över 5 procent;geometri + mappning_2018_2022.csv
14800216;Östra Göteborg, Kviberg Östra;14803016;Östra Göteborg, Kviberg, Östra;delad;ej markerad som jämförbar i kolumnen Jämförbart i Göteborgs stads fil (mappning_2018_2022.csv). geometri geo_overlap_2018_2022.csv: 14803016 (Östra Göteborg, Kviberg, Östra) täcker 99.0 procent av det nya distriktet, 84.8 procent av det gamla ligger där, 1 källor över 5 procent;geometri + mappning_2018_2022.csv
14800217;Östra Göteborg, Kvibergsnäs;14803016;Östra Göteborg, Kviberg, Östra;omritad;ej markerad som jämförbar i kolumnen Jämförbart i Göteborgs stads fil (mappning_2018_2022.csv). geometri geo_overlap_2018_2022.csv: 14803016 (Östra Göteborg, Kviberg, Östra) täcker 80.3 procent av det nya distriktet, 14.7 procent av det gamla ligger där, 2 källor över 5 procent;geometri + mappning_2018_2022.csv
14800218;Östra Göteborg, Bellevue Park;14803011;Östra Göteborg, Bellevue;omritad;ej markerad som jämförbar i kolumnen Jämförbart i Göteborgs stads fil (mappning_2018_2022.csv). geometri geo_overlap_2018_2022.csv: 14803011 (Östra Göteborg, Bellevue) täcker 54.7 procent av det nya distriktet, 46.0 procent av det gamla ligger där, 3 källor över 5 procent;geometri + mappning_2018_2022.csv
14800219;Östra Göteborg, Bellevue;14803011;Östra Göteborg, Bellevue;omritad;ej markerad som jämförbar i kolumnen Jämförbart i Göteborgs stads fil (mappning_2018_2022.csv). geometri geo_overlap_2018_2022.csv: 14803011 (Östra Göteborg, Bellevue) täcker 84.1 procent av det nya distriktet, 52.7 procent av det gamla ligger där, 2 källor över 5 procent;geometri + mappning_2018_2022.csv
14800220;Östra Göteborg, Gamlestaden Norra;14803013;Östra Göteborg, Gamlestaden, Norra;delad;ej markerad som jämförbar i kolumnen Jämförbart i Göteborgs stads fil (mappning_2018_2022.csv). geometri geo_overlap_2018_2022.csv: 14803013 (Östra Göteborg, Gamlestaden, Norra) täcker 100.0 procent av det nya distriktet, 78.0 procent av det gamla ligger där, 1 källor över 5 procent;geometri + mappning_2018_2022.csv
14800221;Östra Göteborg, Gamlestaden Södra;14803014;Östra Göteborg, Gamlestaden, Södra;identisk;Göteborgs stad jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx: kolumnen Jämförbart pekar på 2018-distrikt 14803014, geometri 98.4/100.0 procent. geometri geo_overlap_2018_2022.csv: 14803014 (Östra Göteborg, Gamlestaden, Södra) täcker 98.4 procent av det nya distriktet, 100.0 procent av det gamla ligger där, 1 källor över 5 procent;mappning_2018_2022.csv (Goteborgs stad) + geometri
14800222;Östra Göteborg, Nylöse;14803017;Östra Göteborg, Nylöse;identisk;Göteborgs stad jamforelser-2018-och-2022-valdistrikt-och-uppsamlingsdistrikt-v2.xlsx: kolumnen Jämförbart pekar på 2018-distrikt 14803017, geometri 100.0/100.0 procent. geometri geo_overlap_2018_2022.csv: 14803017 (Östra Göteborg, Nylöse) täcker 100.0 procent av det nya distriktet, 100.0 procent av det gamla ligger där, 1 källor över 5 procent;mappning_2018_2022.csv (Goteborgs stad) + geometri
14800223;Östra Göteborg, Kviberg Västra;14803015;Östra Göteborg, Kviberg, Västra;delad;ej markerad som jämförbar i kolumnen Jämförbart i Göteborgs stads fil (mappning_2018_2022.csv). geometri geo_overlap_2018_2022.csv: 14803015 (Östra Göteborg, Kviberg, Västra) täcker 100.0 procent av det nya distriktet, 94.6 procent av det gamla ligger där, 1 källor över 5 procent;geometri + mappning_2018_2022.csv
14800224;Östra Göteborg, Kortedala Södra;14803034;Östra Göteborg, Kortedala, Södra;delad;ej markerad som jämförbar i kolumnen Jämförbart i Göteborgs stads fil (mappning_2018_2022.csv). geometri geo_overlap_2018_2022.csv: 14803034 (Östra Göteborg, Kortedala, Södra) täcker 99.9 procent av det nya distriktet, 88.0 procent av det gamla ligger där, 1 källor över 5 procent;geometri + mappning_2018_2022.csv
14800225;Östra Göteborg, Månadsparken;14803033;Östra Göteborg, Kortedala Centrum;omritad;ej markerad som jämförbar i kolumnen Jämförbart i Göteborgs stads fil (mappning_2018_2022.csv). geometri geo_overlap_2018_2022.csv: 14803033 (Östra Göteborg, Kortedala Centrum) täcker 88.3 procent av det nya distriktet, 73.9 procent av det gamla ligger där, 2 källor över 5 procent;geometri + mappning_2018_2022.csv
14800226;Östra Göteborg, Gregorianska G. m fl;14803032;Östra Göteborg, Gregorianska g. m fl;omritad;ej markerad som jämförbar i kolumnen Jämförbart i Göteborgs stads fil (mappning_2018_2022.csv). geometri geo_overlap_2018_2022.csv: 14803032 (Östra Göteborg, Gregorianska g. m fl) täcker 82.9 procent av det nya distriktet, 67.9 procent av det gamla ligger där, 2 källor över 5 procent;geometri + mappning_2018_2022.csv
14800227;Östra Göteborg, Kortedala Västra;14803035;Östra Göteborg, Kortedala, Västra;delad;ej markerad som jämförbar i kolumnen Jämförbart i Göteborgs stads fil (mappning_2018_2022.csv). geometri geo_overlap_2018_2022.csv: 14803035 (Östra Göteborg, Kortedala, Västra) täcker 100.0 procent av det nya distriktet, 95.3 procent av det gamla ligger där, 1 källor över 5 procent;geometri + mappning_2018_2022.csv
14800228;Östra Göteborg, Kortedala Torg;14803032;Östra Göteborg, Gregorianska g. m fl;omritad;ej markerad som jämförbar i kolumnen Jämförbart i Göteborgs stads fil (mappning_2018_2022.csv). geometri geo_overlap_2018_2022.csv: 14803032 (Östra Göteborg, Gregorianska g. m fl) täcker 57.0 procent av det nya distriktet, 32.0 procent av det gamla ligger där, 2 källor över 5 procent;geometri + mappning_2018_2022.csv
14800229;Östra Göteborg, Förstamajgatan m fl;14803031;Östra Göteborg, Förstamajgatan m fl;omritad;ej markerad som jämförbar i kolumnen Jämförbart i Göteborgs stads fil (mappning_2018_2022.csv). geometri geo_overlap_2018_2022.csv: 14803031 (Östra Göteborg, Förstamajgatan m fl) täcker 82.5 procent av det nya distriktet, 77.1 procent av det gamla ligger där, 2 källor över 5 procent;geometri + mappning_2018_2022.csv
14800230;Östra Göteborg, Kortedala Östra;14803036;Östra Göteborg, Kortedala, Östra;omritad;ej markerad som jämförbar i kolumnen Jämförbart i Göteborgs stads fil (mappning_2018_2022.csv). geometri geo_overlap_2018_2022.csv: 14803036 (Östra Göteborg, Kortedala, Östra) täcker 88.1 procent av det nya distriktet, 89.9 procent av det gamla ligger där, 2 källor över 5 procent;geometri + mappning_2018_2022.csv
14800231;Östra Göteborg, Månadsgatorna m fl;14803044;Östra Göteborg, Månadsgatorna m fl;omritad;ej markerad som jämförbar i kolumnen Jämförbart i Göteborgs stads fil (mappning_2018_2022.csv). geometri geo_overlap_2018_2022.csv: 14803044 (Östra Göteborg, Månadsgatorna m fl) täcker 88.8 procent av det nya distriktet, 79.7 procent av det gamla ligger där, 3 källor över 5 procent;geometri + mappning_2018_2022.csv
14800232;Östra Göteborg, Adventsparken Östra;14803042;Östra Göteborg, Adventsparken, Ö;delad;ej markerad som jämförbar i kolumnen Jämförbart i Göteborgs stads fil (mappning_2018_2022.csv). geometri geo_overlap_2018_2022.csv: 14803042 (Östra Göteborg, Adventsparken, Ö) täcker 100.0 procent av det nya distriktet, 74.5 procent av det gamla ligger där, 1 källor över 5 procent;geometri + mappning_2018_2022.csv
14800233;Östra Göteborg, Adventsparken Västra;14803041;Östra Göteborg, Adventsparken, V;omritad;ej markerad som jämförbar i kolumnen Jämförbart i Göteborgs stads fil (mappning_2018_2022.csv). geometri geo_overlap_2018_2022.csv: 14803041 (Östra Göteborg, Adventsparken, V) täcker 87.6 procent av det nya distriktet, 45.6 procent av det gamla ligger där, 2 källor över 5 procent;geometri + mappning_2018_2022.csv
