ar;val;kod;namn;ogiltiga_ej_anmalda;blanka;ogiltiga_ovriga;kalla_fil
2018;rf;14804101;Norra Hisingen, Aröd;2;7;0;2018_L_per_valdistrikt.xlsx
2018;rf;14804102;Norra Hisingen, Brunnsbo, Norra;2;18;0;2018_L_per_valdistrikt.xlsx
2018;rf;14804103;Norra Hisingen, Brunnsbo, Södra;1;9;0;2018_L_per_valdistrikt.xlsx
2018;rf;14804104;Norra Hisingen, Tingstad;2;8;0;2018_L_per_valdistrikt.xlsx
2018;rf;14804121;Norra Hisingen, Backa Röd;0;16;0;2018_L_per_valdistrikt.xlsx
2018;rf;14804122;Norra Hisingen, Backa, Norra;0;8;1;2018_L_per_valdistrikt.xlsx
2018;rf;14804123;Norra Hisingen, Backa, Södra;2;14;0;2018_L_per_valdistrikt.xlsx
2018;rf;14804124;Norra Hisingen, Bällskär;0;11;1;2018_L_per_valdistrikt.xlsx
2018;rf;14804125;Norra Hisingen, Wadköpingsgatan m fl;1;9;0;2018_L_per_valdistrikt.xlsx
2018;rf;14804131;Norra Hisingen, Backadalen;2;16;0;2018_L_per_valdistrikt.xlsx
2018;rf;14804132;Norra Hisingen, Bäckebol;2;18;1;2018_L_per_valdistrikt.xlsx
2018;rf;14804133;Norra Hisingen, Selma Lagerlöfs torg;0;8;3;2018_L_per_valdistrikt.xlsx
2018;rf;14804134;Norra Hisingen, Skälltorp;0;26;0;2018_L_per_valdistrikt.xlsx
2018;rf;14804135;Norra Hisingen, Åketorp;0;15;0;2018_L_per_valdistrikt.xlsx
2018;rf;14804141;Lundby, Bräcke, Norra;0;15;1;2018_L_per_valdistrikt.xlsx
2018;rf;14804142;Lundby, Bräcke, Södra;0;14;1;2018_L_per_valdistrikt.xlsx
2018;rf;14804143;Lundby, Kyrkbyn;4;20;0;2018_L_per_valdistrikt.xlsx
2018;rf;14804144;Lundby, Lundby, Norra;2;11;1;2018_L_per_valdistrikt.xlsx
2018;rf;14804145;Lundby, Lundby, Södra;2;18;0;2018_L_per_valdistrikt.xlsx
2018;rf;14804151;Lundby, Brämaregården, Norra;0;20;2;2018_L_per_valdistrikt.xlsx
2018;rf;14804152;Lundby, Brämaregården, Södra;2;7;0;2018_L_per_valdistrikt.xlsx
2018;rf;14804153;Lundby, Porslinsfabriken;2;15;2;2018_L_per_valdistrikt.xlsx
2018;rf;14804154;Lundby, Rambergsstaden, Norra;3;20;0;2018_L_per_valdistrikt.xlsx
2018;rf;14804155;Lundby, Rambergsstaden, Södra;0;17;1;2018_L_per_valdistrikt.xlsx
2018;rf;14804156;Lundby, Rambergsstaden, Östra;0;23;1;2018_L_per_valdistrikt.xlsx
2018;rf;14804161;Lundby, Eriksberg, Västra;0;11;2;2018_L_per_valdistrikt.xlsx
2018;rf;14804162;Lundby, Eriksberg, Östra;18;0;0;2018_L_per_valdistrikt.xlsx
2018;rf;14804163;Lundby, Färjenäs;0;5;0;2018_L_per_valdistrikt.xlsx
2018;rf;14804164;Lundby, Pölsebo-Bratterås;0;20;0;2018_L_per_valdistrikt.xlsx
2018;rf;14804165;Lundby, Sannegården, Västra;0;9;0;2018_L_per_valdistrikt.xlsx
2018;rf;14804166;Lundby, Södhallsberget;0;6;1;2018_L_per_valdistrikt.xlsx
2018;rf;14804171;Lundby, Lindholmen;0;16;0;2018_L_per_valdistrikt.xlsx
2018;rf;14804172;Lundby, Lundbyvassen;0;13;0;2018_L_per_valdistrikt.xlsx
2018;rf;14804173;Lundby, Sannegården, Östra;0;4;0;2018_L_per_valdistrikt.xlsx
2018;rf;14805011;Västra Göteborg, Björnekulla;1;11;0;2018_L_per_valdistrikt.xlsx
2018;rf;14805012;Västra Göteborg, Fiskebäck,;0;7;1;2018_L_per_valdistrikt.xlsx
2018;rf;14805013;Västra Göteborg, Källängen;0;9;0;2018_L_per_valdistrikt.xlsx
2018;rf;14805014;Västra Göteborg, Osberget;0;6;0;2018_L_per_valdistrikt.xlsx
2018;rf;14805015;Västra Göteborg, Påvelund;0;7;0;2018_L_per_valdistrikt.xlsx
2018;rf;14805021;Västra Göteborg, Långedrag;0;3;1;2018_L_per_valdistrikt.xlsx
2018;rf;14805031;Västra Göteborg, Hagen;0;12;0;2018_L_per_valdistrikt.xlsx
2018;rf;14805032;Västra Göteborg, Nya Varvet;1;16;0;2018_L_per_valdistrikt.xlsx
2018;rf;14805033;Västra Göteborg, Tångudden;0;8;0;2018_L_per_valdistrikt.xlsx
2018;rf;14805041;Västra Göteborg, Ekebäck;0;11;0;2018_L_per_valdistrikt.xlsx
2018;rf;14805042;Västra Göteborg, Grimmered;0;7;1;2018_L_per_valdistrikt.xlsx
2018;rf;14805043;Västra Göteborg, Kungsten;2;7;0;2018_L_per_valdistrikt.xlsx
2018;rf;14805051;Västra Göteborg, Brännö-Asperö;0;2;0;2018_L_per_valdistrikt.xlsx
2018;rf;14805052;Västra Göteborg, Donsö-Vrångö;0;9;1;2018_L_per_valdistrikt.xlsx
2018;rf;14805053;Västra Göteborg, Styrsö-Köpstadsö;1;7;0;2018_L_per_valdistrikt.xlsx
2018;rf;14805061;Västra Göteborg, Bratthammar;0;14;0;2018_L_per_valdistrikt.xlsx
2018;rf;14805071;Västra Göteborg, Guldringen m fl;0;22;2;2018_L_per_valdistrikt.xlsx
2018;rf;14805072;Västra Göteborg, Tynnered, Norra;2;18;2;2018_L_per_valdistrikt.xlsx
2018;rf;14805081;Västra Göteborg, Tynnered Södra;1;13;0;2018_L_per_valdistrikt.xlsx
2018;rf;14805082;Västra Göteborg, Tynnered, Östra;3;17;0;2018_L_per_valdistrikt.xlsx
2018;rf;14805091;Askim-Frölunda-Högsbo, Kaverös, N;3;8;0;2018_L_per_valdistrikt.xlsx
2018;rf;14805092;Askim-Frölunda-Högsbo, Kaverös, S;0;15;0;2018_L_per_valdistrikt.xlsx
2018;rf;14805093;Askim-Frölunda-Högsbo, Kavås;0;22;0;2018_L_per_valdistrikt.xlsx
2018;rf;14805101;Askim-Frölunda-Högsbo, Flatås, S;1;15;0;2018_L_per_valdistrikt.xlsx
2018;rf;14805102;Askim-Frölunda-Högsbo, Flatås, V;0;5;1;2018_L_per_valdistrikt.xlsx
2018;rf;14805103;Askim-Frölunda-Högsbo, Flatås, Ö;2;21;0;2018_L_per_valdistrikt.xlsx
2018;rf;14805111;Askim-Frölunda-Högsbo, Högsbohöjd, N;5;20;2;2018_L_per_valdistrikt.xlsx
2018;rf;14805112;Askim-Frölunda-Högsbo, Högsbohöjd, S;1;16;1;2018_L_per_valdistrikt.xlsx
2018;rf;14805121;Askim-Frölunda-Högsbo, Högsbo;2;5;2;2018_L_per_valdistrikt.xlsx
2018;rf;14805122;Askim-Frölunda-Högsbo, Högsbotorp, S;1;10;1;2018_L_per_valdistrikt.xlsx
2018;rf;14805123;Askim-Frölunda-Högsbo, Högsbotorp, V;0;7;2;2018_L_per_valdistrikt.xlsx
2018;rf;14805124;Askim-Frölunda-Högsbo, Högsbotorp, Ö;2;16;0;2018_L_per_valdistrikt.xlsx
2018;rf;14805125;Askim-Frölunda-Högsbo, Marklandsgat.;2;7;0;2018_L_per_valdistrikt.xlsx
2018;rf;14805131;Askim-Frölunda-Högsbo, Spinetten;1;9;2;2018_L_per_valdistrikt.xlsx
2018;rf;14805132;Askim-Frölunda-Högsbo, Tofta;1;18;1;2018_L_per_valdistrikt.xlsx
2018;rf;14805141;Askim-Frölunda-Högsbo, Altplatsen;1;10;0;2018_L_per_valdistrikt.xlsx
2018;rf;14805142;Askim-Frölunda-Högsbo, Ruddalen;1;14;1;2018_L_per_valdistrikt.xlsx
2018;rf;14805151;Askim-Frölunda-Högsbo, Järnbrott, S;1;7;0;2018_L_per_valdistrikt.xlsx
