kod_2014;namn_2014;kod_2010_troligast;namn_2010;typ;belagg
14801104;Centrum, Getebergsäng;14800717;Centrum, Getebergsäng;omritad;ingen FGVAL i källan, det vill säga Valmyndigheten anger distriktet som ändrat (INDELNING=Modifierad), geometri geo_overlap_2010_2014.csv: 14800717 (Centrum, Getebergsäng) täcker 85.2 procent av det nya distriktet, 100.0 procent av det gamla ligger där, 2 källor över 5 procent
14801105;Centrum, Kristinehöjd;14800715;Centrum, Krokslätt;omritad;ingen FGVAL i källan, det vill säga Valmyndigheten anger distriktet som ändrat (INDELNING=Modifierad), geometri geo_overlap_2010_2014.csv: 14800715 (Centrum, Krokslätt) täcker 51.2 procent av det nya distriktet, 7.7 procent av det gamla ligger där, 2 källor över 5 procent
14801106;Centrum, Krokslätt;14800715;Centrum, Krokslätt;delad;ingen FGVAL i källan, det vill säga Valmyndigheten anger distriktet som ändrat (INDELNING=Modifierad), geometri geo_overlap_2010_2014.csv: 14800715 (Centrum, Krokslätt) täcker 100.0 procent av det nya distriktet, 92.3 procent av det gamla ligger där, 1 källor över 5 procent
14801107;Centrum, Mossen;14800712;Centrum, Mossen;delad;ingen FGVAL i källan, det vill säga Valmyndigheten anger distriktet som ändrat (INDELNING=Modifierad), geometri geo_overlap_2010_2014.csv: 14800712 (Centrum, Mossen) täcker 100.0 procent av det nya distriktet, 79.5 procent av det gamla ligger där, 1 källor över 5 procent
14801108;Centrum, Olofshöjd;14800714;Centrum, Olofshöjd;identisk;FGVAL kf+rd ger var för sig identisk vektor, kf: M,C,L,KD,S,V,MP,SD = 155,53,56,13,115,71,149,14 (summa 626) mot 2010 14800714, geometri 100.0/100.0 procent, namn lika
14801111;Centrum, Eklanda;14800723;Centrum, Eklanda;identisk;FGVAL kf+rd ger var för sig identisk vektor, kf: M,C,L,KD,S,V,MP,SD = 463,55,138,44,230,47,173,37 (summa 1187) mot 2010 14800723, geometri 100.0/100.0 procent, namn lika
14801112;Centrum, Johanneberg, Nedre;14800721;Centrum, Nedre Johanneberg;namnbyte;FGVAL kf+rd ger var för sig identisk vektor, kf: M,C,L,KD,S,V,MP,SD = 701,51,218,41,177,55,177,38 (summa 1458) mot 2010 14800721, geometri 100.0/100.0 procent, namn olika
14801113;Centrum, Johanneberg, Södra;14800724;Centrum, Södra Johanneberg;namnbyte;FGVAL kf+rd ger var för sig identisk vektor, kf: M,C,L,KD,S,V,MP,SD = 403,43,108,48,221,54,134,41 (summa 1052) mot 2010 14800724, geometri 100.0/100.0 procent, namn olika
14801114;Centrum, Johanneberg, Övre;14800722;Centrum, Övre Johanneberg;namnbyte;FGVAL kf+rd ger var för sig identisk vektor, kf: M,C,L,KD,S,V,MP,SD = 368,48,139,51,197,61,150,34 (summa 1048) mot 2010 14800722, geometri 100.0/100.0 procent, namn olika
14801121;Centrum, Landala;14800732;Centrum, Landala;identisk;FGVAL kf+rd ger var för sig identisk vektor, kf: M,C,L,KD,S,V,MP,SD = 423,38,138,33,184,38,135,29 (summa 1018) mot 2010 14800732, geometri 100.0/100.0 procent, namn lika
14801122;Centrum, Landalabergen m fl;14800731;Centrum, Landalabergen m fl;omritad;ingen FGVAL i källan, det vill säga Valmyndigheten anger distriktet som ändrat (INDELNING=Modifierad), geometri geo_overlap_2010_2014.csv: 14800731 (Centrum, Landalabergen m fl) täcker 97.2 procent av det nya distriktet, 89.8 procent av det gamla ligger där, 1 källor över 5 procent
14801123;Centrum, Landalagången m fl;14800733;Centrum, Landalagången m fl;omritad;ingen FGVAL i källan, det vill säga Valmyndigheten anger distriktet som ändrat (INDELNING=Modifierad), geometri geo_overlap_2010_2014.csv: 14800733 (Centrum, Landalagången m fl) täcker 80.6 procent av det nya distriktet, 100.0 procent av det gamla ligger där, 2 källor över 5 procent
14801131;Centrum, Doktor Forselius gata m fl;14800746;Centrum, Doktor Forselius gata m fl;identisk;FGVAL kf+rd ger var för sig identisk vektor, kf: M,C,L,KD,S,V,MP,SD = 271,35,92,48,236,83,123,19 (summa 907) mot 2010 14800746, geometri 100.0/100.0 procent, namn lika
14801132;Centrum, Guldheden vattentornet;14800741;Centrum, Guldheden vattentornet;identisk;FGVAL kf+rd ger var för sig identisk vektor, kf: M,C,L,KD,S,V,MP,SD = 258,38,108,28,300,126,216,67 (summa 1141) mot 2010 14800741, geometri 100.0/100.0 procent, namn lika
14801133;Centrum, Guldheden, Centrala;14800742;Centrum, Centrala Guldheden;namnbyte;FGVAL kf+rd ger var för sig identisk vektor, kf: M,C,L,KD,S,V,MP,SD = 189,18,80,23,252,109,138,43 (summa 852) mot 2010 14800742, geometri 100.0/100.0 procent, namn olika
14801134;Centrum, Guldheden, Norra;14800743;Centrum, Norra Guldheden;namnbyte;FGVAL kf+rd ger var för sig identisk vektor, kf: M,C,L,KD,S,V,MP,SD = 393,61,194,45,175,61,174,28 (summa 1131) mot 2010 14800743, geometri 100.0/98.2 procent, namn olika
14801135;Centrum, Guldheden, Södra;14800745;Centrum, Södra Guldheden;namnbyte;FGVAL kf+rd ger var för sig identisk vektor, kf: M,C,L,KD,S,V,MP,SD = 245,26,106,63,234,116,166,32 (summa 988) mot 2010 14800745, geometri 100.0/100.0 procent, namn olika
14801136;Centrum, Landala Egnahem;14800744;Centrum, Landala Egnahem;identisk;FGVAL kf+rd ger var för sig identisk vektor, kf: M,C,L,KD,S,V,MP,SD = 276,47,156,35,196,79,139,35 (summa 963) mot 2010 14800744, geometri 100.0/100.0 procent, namn lika
14801141;Centrum, Lorensberg;14800751;Centrum, Lorensberg;identisk;FGVAL kf+rd ger var för sig identisk vektor, kf: M,C,L,KD,S,V,MP,SD = 678,30,175,44,140,45,83,25 (summa 1220) mot 2010 14800751, geometri 100.0/100.0 procent, namn lika
14801151;Centrum, Valand;14800763;Centrum, Valand;identisk;FGVAL kf+rd ger var för sig identisk vektor, kf: M,C,L,KD,S,V,MP,SD = 417,23,117,33,118,29,58,36 (summa 831) mot 2010 14800763, geometri 100.0/100.0 procent, namn lika
14801152;Centrum, Vasastaden, Norra;14800762;Centrum, Norra Vasastaden;namnbyte;FGVAL kf+rd ger var för sig identisk vektor, kf: M,C,L,KD,S,V,MP,SD = 492,33,126,76,168,57,126,38 (summa 1116) mot 2010 14800762, geometri 100.0/100.0 procent, namn olika
14801153;Centrum, Vasastaden, Södra;14800761;Centrum, Södra Vasastaden;namnbyte;FGVAL kf+rd ger var för sig identisk vektor, kf: M,C,L,KD,S,V,MP,SD = 546,47,162,54,222,53,148,31 (summa 1263) mot 2010 14800761, geometri 100.0/100.0 procent, namn olika
14801154;Centrum, Vasastaden, Östra;14800764;Centrum, Östra Vasastaden;namnbyte;FGVAL kf+rd ger var för sig identisk vektor, kf: M,C,L,KD,S,V,MP,SD = 604,48,109,28,153,44,94,51 (summa 1131) mot 2010 14800764, geometri 100.0/100.0 procent, namn olika
14801161;Centrum, Inom Vallgraven;14800771;Centrum, Inom Vallgraven;identisk;FGVAL kf+rd ger var för sig identisk vektor, kf: M,C,L,KD,S,V,MP,SD = 555,44,148,42,223,65,156,28 (summa 1261) mot 2010 14800771, geometri 100.0/100.0 procent, namn lika
14801162;Centrum, Nordstan-Otterhällan;14800772;Centrum, Nordstan-Otterhällan;identisk;FGVAL kf+rd ger var för sig identisk vektor, kf: M,C,L,KD,S,V,MP,SD = 447,27,135,38,273,99,153,65 (summa 1237) mot 2010 14800772, geometri 100.0/100.0 procent, namn lika
14801171;Centrum, Friggagatan-Stampen;14800783;Centrum, Friggagatan-Stampen;identisk;FGVAL kf+rd ger var för sig identisk vektor, kf: M,C,L,KD,S,V,MP,SD = 367,29,128,34,279,57,111,50 (summa 1055) mot 2010 14800783, geometri 100.0/100.0 procent, namn lika
14801172;Centrum, Gullbergsvass-Svingeln;14800782;Centrum, Gullbergsvass-Svingeln;delad;ingen FGVAL i källan, det vill säga Valmyndigheten anger distriktet som ändrat (INDELNING=Modifierad), geometri geo_overlap_2010_2014.csv: 14800782 (Centrum, Gullbergsvass-Svingeln) täcker 100.0 procent av det nya distriktet, 89.3 procent av det gamla ligger där, 1 källor över 5 procent
14801173;Centrum, Gårda, Norra;14800782;Centrum, Gullbergsvass-Svingeln;delad;ingen FGVAL i källan, det vill säga Valmyndigheten anger distriktet som ändrat (INDELNING=Modifierad), geometri geo_overlap_2010_2014.csv: 14800782 (Centrum, Gullbergsvass-Svingeln) täcker 100.0 procent av det nya distriktet, 10.7 procent av det gamla ligger där, 1 källor över 5 procent
14801174;Centrum, Odinsgatan-Stampen;14800781;Centrum, Odinsgatan-Stampen;identisk;FGVAL kf+rd ger var för sig identisk vektor, kf: M,C,L,KD,S,V,MP,SD = 438,29,158,34,282,66,118,59 (summa 1184) mot 2010 14800781, geometri 100.0/100.0 procent, namn lika
14801181;Centrum, Bohusgatan m fl;14800793;Centrum, Norra Heden-Gårda;delad;ingen FGVAL i källan, det vill säga Valmyndigheten anger distriktet som ändrat (INDELNING=Modifierad), geometri geo_overlap_2010_2014.csv: 14800793 (Centrum, Norra Heden-Gårda) täcker 100.0 procent av det nya distriktet, 27.1 procent av det gamla ligger där, 1 källor över 5 procent
14801182;Centrum, Gårda, Södra;14800791;Centrum, Hedås-Gårda;omritad;ingen FGVAL i källan, det vill säga Valmyndigheten anger distriktet som ändrat (INDELNING=Modifierad), geometri geo_overlap_2010_2014.csv: 14800791 (Centrum, Hedås-Gårda) täcker 58.9 procent av det nya distriktet, 90.0 procent av det gamla ligger där, 2 källor över 5 procent
14801183;Centrum, Heden;14800793;Centrum, Norra Heden-Gårda;omritad;ingen FGVAL i källan, det vill säga Valmyndigheten anger distriktet som ändrat (INDELNING=Modifierad), geometri geo_overlap_2010_2014.csv: 14800793 (Centrum, Norra Heden-Gårda) täcker 84.0 procent av det nya distriktet, 31.4 procent av det gamla ligger där, 2 källor över 5 procent
14801184;Centrum, Hedås;14800791;Centrum, Hedås-Gårda;delad;ingen FGVAL i källan, det vill säga Valmyndigheten anger distriktet som ändrat (INDELNING=Modifierad), geometri geo_overlap_2010_2014.csv: 14800791 (Centrum, Hedås-Gårda) täcker 100.0 procent av det nya distriktet, 10.0 procent av det gamla ligger där, 1 källor över 5 procent
14802011;Örgryte-Härlanda, Gubbero;14800611;Örgryte, Gubbero;delad;ingen FGVAL i källan, det vill säga Valmyndigheten anger distriktet som ändrat (INDELNING=Modifierad), geometri geo_overlap_2010_2014.csv: 14800611 (Örgryte, Gubbero) täcker 100.0 procent av det nya distriktet, 70.9 procent av det gamla ligger där, 1 källor över 5 procent
14802012;Örgryte-Härlanda, Olskroken;14800612;Örgryte, Olskroken;identisk;FGVAL kf+rd ger var för sig identisk vektor, kf: M,C,L,KD,S,V,MP,SD = 233,15,55,25,384,101,92,51 (summa 956) mot 2010 14800612, geometri 100.0/100.0 procent, namn lika
14802013;Örgryte-Härlanda, Redberget;14800613;Örgryte, Redberget;delad;ingen FGVAL i källan, det vill säga Valmyndigheten anger distriktet som ändrat (INDELNING=Modifierad), geometri geo_overlap_2010_2014.csv: 14800613 (Örgryte, Redberget) täcker 100.0 procent av det nya distriktet, 70.3 procent av det gamla ligger där, 1 källor över 5 procent
14802014;Örgryte-Härlanda, Redbergsplatsen;14800611;Örgryte, Gubbero;omritad;ingen FGVAL i källan, det vill säga Valmyndigheten anger distriktet som ändrat (INDELNING=Modifierad), geometri geo_overlap_2010_2014.csv: 14800611 (Örgryte, Gubbero) täcker 50.8 procent av det nya distriktet, 29.1 procent av det gamla ligger där, 2 källor över 5 procent
14802021;Örgryte-Härlanda, Bagaregården;14800621;Örgryte, Bagaregården;identisk;FGVAL kf+rd ger var för sig identisk vektor, kf: M,C,L,KD,S,V,MP,SD = 200,31,86,20,212,70,144,36 (summa 799) mot 2010 14800621, geometri 100.0/100.0 procent, namn lika
14802022;Örgryte-Härlanda, Ånäs;14800622;Örgryte, Ånäs;identisk;FGVAL kf+rd ger var för sig identisk vektor, kf: M,C,L,KD,S,V,MP,SD = 239,29,71,25,208,76,159,29 (summa 836) mot 2010 14800622, geometri 100.0/100.0 procent, namn lika
14802031;Örgryte-Härlanda, Redbergslid;14800632;Örgryte, Redbergslid;identisk;FGVAL kf+rd ger var för sig identisk vektor, kf: M,C,L,KD,S,V,MP,SD = 266,29,104,29,333,90,159,59 (summa 1069) mot 2010 14800632, geometri 100.0/100.0 procent, namn lika
14802032;Örgryte-Härlanda, Strömmensberg;14800631;Örgryte, Strömmensberg;identisk;FGVAL kf+rd ger var för sig identisk vektor, kf: M,C,L,KD,S,V,MP,SD = 269,25,102,43,284,84,160,39 (summa 1006) mot 2010 14800631, geometri 100.0/100.0 procent, namn lika
14802041;Örgryte-Härlanda, Kallebäck, Västra;14800642;Örgryte, Östra Kallebäck;omritad;ingen FGVAL i källan, det vill säga Valmyndigheten anger distriktet som ändrat (INDELNING=Modifierad), geometri geo_overlap_2010_2014.csv: 14800642 (Örgryte, Östra Kallebäck) täcker 51.5 procent av det nya distriktet, 11.6 procent av det gamla ligger där, 2 källor över 5 procent
14802042;Örgryte-Härlanda, Kallebäck, Östra;14800642;Örgryte, Östra Kallebäck;omritad;ingen FGVAL i källan, det vill säga Valmyndigheten anger distriktet som ändrat (INDELNING=Modifierad), geometri geo_overlap_2010_2014.csv: 14800642 (Örgryte, Östra Kallebäck) täcker 95.6 procent av det nya distriktet, 88.4 procent av det gamla ligger där, 1 källor över 5 procent
14802051;Örgryte-Härlanda, Jakobsdal;14800652;Örgryte, Jakobsdal;identisk;FGVAL kf+rd ger var för sig identisk vektor, kf: M,C,L,KD,S,V,MP,SD = 493,36,139,33,133,37,85,23 (summa 979) mot 2010 14800652, geometri 100.0/100.0 procent, namn lika
14802052;Örgryte-Härlanda, Skår, Norra;14800653;Örgryte, Norra Skår;namnbyte;FGVAL kf+rd ger var för sig identisk vektor, kf: M,C,L,KD,S,V,MP,SD = 465,31,146,43,73,14,66,10 (summa 848) mot 2010 14800653, geometri 100.0/100.0 procent, namn olika
14802053;Örgryte-Härlanda, Skår, Södra;14800651;Örgryte, Södra Skår;namnbyte;FGVAL kf+rd ger var för sig identisk vektor, kf: M,C,L,KD,S,V,MP,SD = 521,26,147,30,83,16,60,15 (summa 898) mot 2010 14800651, geometri 100.0/100.0 procent, namn olika
14802061;Örgryte-Härlanda, Bö;14800662;Örgryte, Bö;identisk;FGVAL kf+rd ger var för sig identisk vektor, kf: M,C,L,KD,S,V,MP,SD = 329,27,123,35,121,30,78,12 (summa 755) mot 2010 14800662, geometri 100.0/100.0 procent, namn lika
14802062;Örgryte-Härlanda, Örgryte;14800661;Örgryte, Örgryte;identisk;FGVAL kf+rd ger var för sig identisk vektor, kf: M,C,L,KD,S,V,MP,SD = 436,18,106,35,70,10,61,11 (summa 747) mot 2010 14800661, geometri 100.0/100.0 procent, namn lika
14802071;Örgryte-Härlanda, Torp;14800671;Örgryte, Torp;identisk;FGVAL kf+rd ger var för sig identisk vektor, kf: M,C,L,KD,S,V,MP,SD = 552,49,218,58,275,53,170,36 (summa 1411) mot 2010 14800671, geometri 100.0/100.0 procent, namn lika
