ar;val;parti_kalla;parti;beteckning;farg;kalla_fil
2010;kf;Röp;RÖP;Rönningepartiet;#ffff33;slutresultat_00K.xml
2010;kf;SAFE;SAFE;Solidaritet, Arbete, Fred, Ekologi, SAFE;#9900ff;slutresultat_00K.xml
2010;kf;SB;SB;Samhällets bästa;#00ffcc;slutresultat_00K.xml
2010;kf;SBÄ;SBÄ;Salas bästa;#ffcc00;slutresultat_00K.xml
2010;kf;SFS;SFS;Sigtunapartiet Samling för Sigtuna;#6633cc;slutresultat_00K.xml
2010;kf;SiS;SIS;Sjukvårdspartiet i Svenljunga;#9900ff;slutresultat_00K.xml
2010;kf;SJP;SJP;Sjöbopartiet;#663300;slutresultat_00K.xml
2010;kf;SJPG;SJPG;Sjukvårdspartiet Gävleborg;#ffcc00;slutresultat_00K.xml
2010;kf;SJVB;SJVB;Sjukvårdspartiet Bollnäs;#cc9933;slutresultat_00K.xml
2010;kf;SJVG;SJVG;Sjukvårdspartiet Gävle;#ffcc33;slutresultat_00K.xml
2010;kf;SJVP;SJVP;Sjukvårdspartiet - Västernorrland;#ffff99;slutresultat_00K.xml
2010;kf;SjvV;SJVV;Sjukvårdspartiet i Värmland;#996600;slutresultat_00K.xml
2010;kf;Skbd;SKBD;Skinnskattebergsdemokraterna;#ff6666;slutresultat_00K.xml
2010;kf;SKL;SKL;Kommunlistan;#ffff00;slutresultat_00K.xml
2010;kf;SKP-P;SKP-P;Sveriges Kommunistiska Parti (SKP);;slutresultat_00K.xml
2010;kf;SKÅ;SKÅ;Skånepartiet;#ffccff;slutresultat_00K.xml
2010;kf;SköP;SKÖP;Skaftöpartiet;#339900;slutresultat_00K.xml
2010;kf;SL;SL;Sámelistu/Samelistan Partipolitiskt obunden;#ff00cc;slutresultat_00K.xml
2010;kf;SLS;SLS;Skåne läns sjukvårdsparti;#cccc33;slutresultat_00K.xml
2010;kf;SN;SN;Sorundanet;#666600;slutresultat_00K.xml
2010;kf;SocD;SOCD;Socialradikala Demokraterna;#ff00ff;slutresultat_00K.xml
2010;kf;SOCV;SOCV;Socialisterna Välfärdspartiet;;slutresultat_00K.xml
2010;kf;SoS;SOS;Solidaritet och Samverkan;;slutresultat_00K.xml
2010;kf;SP;SP;Staffanstorpspartiet;#666600;slutresultat_00K.xml
2010;kf;SPA;SPA;Sollentunapartiet;#ffff33;slutresultat_00K.xml
2010;kf;SPP;SPP;Sportpartiet;#cccc33;slutresultat_00K.xml
2010;kf;SPVG;SPVG;Sjukvårdspartiet - Västra Götaland;#3399ff;slutresultat_00K.xml
2010;kf;STOR;STOR;Storforsbygdens Väl;;slutresultat_00K.xml
2010;kf;STRP;STRP;Strängnäspartiet;#660000;slutresultat_00K.xml
2010;kf;StröP;STRÖP;Strömstadspartiet;#99ffff;slutresultat_00K.xml
2010;kf;SU;SU;Solidariskt Uddevalla;#ff0066;slutresultat_00K.xml
2010;kf;S-V;S-V;Socialisterna-Välfärdspartiet;#660000;slutresultat_00K.xml
2010;kf;SV;SV;Samernas Väl;#cc6600;slutresultat_00K.xml
2010;kf;SveKP;SVEKP;Sveriges Kommunistiska Parti (SKP);;slutresultat_00K.xml
2010;kf;SVP;SVP;Svenskarnas parti;#ffcc66;slutresultat_00K.xml
2010;kf;Södp;SÖDP;Södertäljepartiet;#ff66cc;slutresultat_00K.xml
2010;kf;SöP;SÖP;Sölvesborgspartiet;#009999;slutresultat_00K.xml
2010;kf;SÖS;SÖS;Söderslättspartiet;#ccff33;slutresultat_00K.xml
2010;kf;Tp;TP;Torsåspartiet;#99cc33;slutresultat_00K.xml
2010;kf;TrR;TRR;Trosa Radikaler (Vagnhärad - Västerljung - Trosa);#ff66ff;slutresultat_00K.xml
2010;kf;TS;TS;Trelleborgs Skolparti;;slutresultat_00K.xml
2010;kf;TuP;TUP;Tullingepartiet;#66ff33;slutresultat_00K.xml
2010;kf;UddP;UDDP;Uddevallapartiet;;slutresultat_00K.xml
2010;kf;USP;USP;Upplands sjukvårdsparti;#ffcc00;slutresultat_00K.xml
