kod_2014;namn_2014;kod_2018;namn_2018;procent_officiell;andel_av_2014_geo;andel_av_2018_geo;diff_geo_minus_officiell;status;indelning_2018
14801123;Centrum, Landalagången m fl;14801123;Centrum, Landalagången m fl;100.0;0.9293;1.0000;-0.0707;bada;O
14801123;Centrum, Landalagången m fl;14801137;Centrum, Landala Egnahem;;0.0707;0.0318;;bara_geo;M
14801131;Centrum, Doktor Forselius gata m fl;14801131;Centrum, Doktor Forselius Backe m fl;57.1;0.4713;0.6280;-0.0997;bada;M
14801131;Centrum, Doktor Forselius gata m fl;14801133;Centrum, Guldheden Östra;42.9;0.5263;0.5590;0.0973;bada;M
14801132;Centrum, Guldheden vattentornet;14801132;Centrum, Guldheden Vattentornet;79.6;0.8689;1.0000;0.0729;bada;M
14801132;Centrum, Guldheden vattentornet;14801131;Centrum, Doktor Forselius Backe m fl;20.4;0.1311;0.3720;-0.0729;bada;M
14801133;Centrum, Guldheden, Centrala;14801134;Centrum, Guldheden, Centrala;100.0;1.0000;1.0000;-0.0000;bada;O
14801134;Centrum, Guldheden, Norra;14801135;Centrum, Guldheden, Norra;78.2;0.8522;1.0000;0.0702;bada;M
14801134;Centrum, Guldheden, Norra;14801137;Centrum, Landala Egnahem;21.8;0.1478;0.2585;-0.0702;bada;M
14801135;Centrum, Guldheden, Södra;14801136;Centrum, Guldheden, Södra;100.0;1.0000;1.0000;-0.0000;bada;O
14801136;Centrum, Landala Egnahem;14801137;Centrum, Landala Egnahem;61.3;0.6935;0.7098;0.0805;bada;M
14801136;Centrum, Landala Egnahem;14801133;Centrum, Guldheden Östra;38.7;0.3065;0.4410;-0.0805;bada;M
14801141;Centrum, Lorensberg;14801141;Centrum, Lorensberg;83.9;0.8102;1.0000;-0.0288;bada;M
14801141;Centrum, Lorensberg;14801184;Centrum, Hedås;16.1;0.1898;0.5553;0.0288;bada;M
14801151;Centrum, Valand;14801152;Centrum, Valand;100.0;1.0000;1.0000;-0.0000;bada;O
14801152;Centrum, Vasastaden, Norra;14801153;Centrum, Vasastaden, Norra;86.2;0.8817;1.0000;0.0197;bada;M
14801152;Centrum, Vasastaden, Norra;14801151;Centrum, Fogelbergsparken;13.8;0.1183;0.2146;-0.0197;bada;M
14801153;Centrum, Vasastaden, Södra;14801151;Centrum, Fogelbergsparken;52.0;0.6596;0.7854;0.1396;bada;M
14801153;Centrum, Vasastaden, Södra;14801154;Centrum, Vasastaden, Södra;48.0;0.3404;0.5599;-0.1396;bada;M
14801154;Centrum, Vasastaden, Östra;14801155;Centrum, Vasastaden, Östra;73.7;0.7874;1.0000;0.0504;bada;M
14801154;Centrum, Vasastaden, Östra;14801154;Centrum, Vasastaden, Södra;26.3;0.2126;0.4401;-0.0504;bada;M
14801161;Centrum, Inom Vallgraven;14801161;Centrum, Inom Vallgraven;74.8;0.6918;1.0000;-0.0562;bada;M
14801161;Centrum, Inom Vallgraven;14801162;Centrum, Nordstan;10.8;0.2269;0.2114;0.1189;bada;M
14801161;Centrum, Inom Vallgraven;14801163;Centrum, Otterhällan;14.5;0.0813;0.1903;-0.0637;bada;M
14801162;Centrum, Nordstan-Otterhällan;14801162;Centrum, Nordstan;54.4;0.7100;0.7886;0.1660;bada;M
14801162;Centrum, Nordstan-Otterhällan;14801163;Centrum, Otterhällan;45.6;0.2900;0.8097;-0.1660;bada;M
14801171;Centrum, Friggagatan-Stampen;14801171;Centrum, Friggagatan m fl;79.2;0.6865;1.0000;-0.1055;bada;M
14801171;Centrum, Friggagatan-Stampen;14801174;Centrum, Stampen;20.8;0.3135;0.1081;0.1055;bada;M
14801172;Centrum, Gullbergsvass-Svingeln;14801173;Centrum, Odinsgatan m fl;1.5;0.8737;0.9284;0.8587;bada;M
14801172;Centrum, Gullbergsvass-Svingeln;14801175;Centrum, Svingeln;69.3;0.0743;1.0000;-0.6187;bada;M
14801172;Centrum, Gullbergsvass-Svingeln;14801174;Centrum, Stampen;29.2;0.0520;0.6828;-0.2400;bada;M
14801173;Centrum, Gårda, Norra;14801172;Centrum, Gårda, Norra;100.0;1.0000;1.0000;-0.0000;bada;O
14801174;Centrum, Odinsgatan-Stampen;14801173;Centrum, Odinsgatan m fl;69.3;0.8088;0.0716;0.1158;bada;M
14801174;Centrum, Odinsgatan-Stampen;14801174;Centrum, Stampen;30.7;0.1912;0.2091;-0.1158;bada;M
14801181;Centrum, Bohusgatan m fl;14801181;Centrum, Bohusgatan m fl;45.2;0.8800;0.4313;0.4280;bada;M
14801181;Centrum, Bohusgatan m fl;14801185;Centrum, Sten Sturegatan m fl;54.8;0.1200;0.5335;-0.4280;bada;M
14801182;Centrum, Gårda, Södra;14801182;Centrum, Gårda, Södra;85.5;0.9736;1.0000;0.1186;bada;M
14801182;Centrum, Gårda, Södra;14801185;Centrum, Sten Sturegatan m fl;14.5;0.0264;0.4665;-0.1186;bada;M
14801183;Centrum, Heden;14801183;Centrum, Heden;92.1;0.1597;1.0000;-0.7613;bada;M
14801183;Centrum, Heden;14801181;Centrum, Bohusgatan m fl;7.9;0.8403;0.5687;0.7613;bada;M
14801184;Centrum, Hedås;14801184;Centrum, Hedås;100.0;1.0000;0.4447;-0.0000;bada;M
14802011;Örgryte-Härlanda, Gubbero;14802011;Örgryte-Härlanda, Gubbero;100.0;1.0000;1.0000;-0.0000;bada;O
14802012;Örgryte-Härlanda, Olskroken;14802012;Örgryte-Härlanda, Olskroken;100.0;1.0000;1.0000;-0.0000;bada;O
14802013;Örgryte-Härlanda, Redberget;14802013;Örgryte-Härlanda, Redberget;100.0;1.0000;1.0000;-0.0000;bada;O
