kod_2014;namn_2014;kod_2018;namn_2018;procent_officiell;andel_av_2014_geo;andel_av_2018_geo;diff_geo_minus_officiell;status;indelning_2018
14803014;Östra Göteborg, Kviberg, Östra;14803012;Östra Göteborg, Bellevue Park;38.7;0.0784;1.0000;-0.3086;bada;M
14803015;Östra Göteborg, Nylöse;14803017;Östra Göteborg, Nylöse;66.3;0.9850;1.0000;0.3220;bada;M
14803015;Östra Göteborg, Nylöse;14803013;Östra Göteborg, Gamlestaden, Norra;33.7;0.0150;0.4326;-0.3220;bada;M
14803021;Östra Göteborg, Fjällbo;14803021;Östra Göteborg, Fjällbo;100.0;1.0000;1.0000;-0.0000;bada;O
14803022;Östra Göteborg, Utby;14803022;Östra Göteborg, Utby;100.0;1.0000;1.0000;-0.0000;bada;O
14803023;Östra Göteborg, Utbynäs;14803023;Östra Göteborg, Utbynäs;100.0;1.0000;1.0000;-0.0000;bada;O
14803031;Östra Göteborg, Gregorianska g. m fl;14803032;Östra Göteborg, Gregorianska g. m fl;100.0;1.0000;1.0000;-0.0000;bada;O
14803032;Östra Göteborg, Kortedala Centrum;14803033;Östra Göteborg, Kortedala Centrum;74.6;0.8626;1.0000;0.1166;bada;M
14803032;Östra Göteborg, Kortedala Centrum;14803031;Östra Göteborg, Förstamajgatan m fl;25.4;0.1374;0.1688;-0.1166;bada;M
14803033;Östra Göteborg, Kortedala, Södra;14803034;Östra Göteborg, Kortedala, Södra;100.0;1.0000;1.0000;-0.0000;bada;O
14803034;Östra Göteborg, Kortedala, Västra;14803035;Östra Göteborg, Kortedala, Västra;80.5;0.9208;1.0000;0.1158;bada;M
14803034;Östra Göteborg, Kortedala, Västra;14803031;Östra Göteborg, Förstamajgatan m fl;19.5;0.0792;0.2878;-0.1158;bada;M
14803035;Östra Göteborg, Kortedala, Östra;14803036;Östra Göteborg, Kortedala, Östra;73.9;0.8167;1.0000;0.0777;bada;M
14803035;Östra Göteborg, Kortedala, Östra;14803031;Östra Göteborg, Förstamajgatan m fl;26.1;0.1833;0.5434;-0.0777;bada;M
14803041;Östra Göteborg, Adventsparken;14803041;Östra Göteborg, Adventsparken, V;86.6;0.8808;0.9962;0.0148;bada;M
14803041;Östra Göteborg, Adventsparken;14803042;Östra Göteborg, Adventsparken, Ö;13.4;0.1192;0.2243;-0.0148;bada;M
14803042;Östra Göteborg, Kortedala, Norra;14803043;Östra Göteborg, Kortedala, Norra;44.5;0.9106;0.9522;0.4656;bada;M
14803042;Östra Göteborg, Kortedala, Norra;14803042;Östra Göteborg, Adventsparken, Ö;55.5;0.0886;0.7399;-0.4664;bada;M
14803043;Östra Göteborg, Månadsgatorna m fl;14803044;Östra Göteborg, Månadsgatorna m fl;79.5;0.8888;1.0000;0.0938;bada;M
14803043;Östra Göteborg, Månadsgatorna m fl;14803043;Östra Göteborg, Kortedala, Norra;20.5;0.1017;0.0478;-0.1033;bada;M
14803051;Östra Göteborg, Bergsjön, Norra;14803051;Östra Göteborg, Bergsjön, Norra;100.0;1.0000;1.0000;-0.0000;bada;O
14803052;Östra Göteborg, Gärdsmosse;14803052;Östra Göteborg, Gärdsmosse;100.0;1.0000;1.0000;-0.0000;bada;O
14803053;Östra Göteborg, Gärdsås;14803053;Östra Göteborg, Gärdsås;100.0;0.9992;1.0000;-0.0008;bada;O
14803054;Östra Göteborg, Siriusgatan;14803054;Östra Göteborg, Siriusgatan;100.0;1.0000;1.0000;-0.0000;bada;O
14803061;Östra Göteborg, Bergsjön, Södra;14803061;Östra Göteborg, Bergsjön, Södra;100.0;0.9796;0.9997;-0.0204;bada;O
14803061;Östra Göteborg, Bergsjön, Södra;14803063;Östra Göteborg, Komettorget;;0.0204;0.0583;;bara_geo;M
14803062;Östra Göteborg, Bergsjön, Östra;14803062;Östra Göteborg, Bergsjön, Östra;100.0;1.0000;1.0000;-0.0000;bada;O
14803063;Östra Göteborg, Komettorget;14803063;Östra Göteborg, Komettorget;68.1;0.7908;0.9417;0.1098;bada;M
14803063;Östra Göteborg, Komettorget;14803064;Östra Göteborg, Rymdtorget;31.9;0.2092;0.0875;-0.1098;bada;M
14803064;Östra Göteborg, Rymdtorget;14803064;Östra Göteborg, Rymdtorget;100.0;1.0000;0.9125;-0.0000;bada;M
14804021;Lundby, Bjurslätt;14804021;Lundby, Bjurslätt, Södra;76.1;0.7618;1.0000;0.0008;bada;M
14804021;Lundby, Bjurslätt;14804027;Lundby, Wieselgrensplatsen;23.9;0.2382;0.4759;-0.0008;bada;M
14804022;Lundby, Flunsås;14804022;Lundby, Flunsås;100.0;1.0000;1.0000;-0.0000;bada;O
14804023;Lundby, Kvillebäcken, Norra;14804023;Lundby, Kvillebäcken, Norra;100.0;1.0000;1.0000;-0.0000;bada;O
14804024;Lundby, Kvillebäcken, Södra;14804024;Lundby, Kvillebäcken, Södra;89.0;0.9208;1.0000;0.0308;bada;M
14804024;Lundby, Kvillebäcken, Södra;14804025;Lundby, Kvillebäcken, Östra;11.0;0.0792;0.1688;-0.0308;bada;M
14804025;Lundby, Kvillebäcken, Östra;14804026;Lundby, Penselgatan m fl;45.6;0.9570;1.0000;0.5010;bada;M
14804025;Lundby, Kvillebäcken, Östra;14804025;Lundby, Kvillebäcken, Östra;54.4;0.0166;0.8312;-0.5274;bada;M
14804025;Lundby, Kvillebäcken, Östra;14804028;Lundby, Vågmästarplatsen;;0.0264;1.0000;;bara_geo;N
14804026;Lundby, Wieselgrensplatsen;14804027;Lundby, Wieselgrensplatsen;100.0;1.0000;0.5241;-0.0000;bada;M
14804031;Lundby, Hilldedal;14804032;Lundby, Hilldedal;77.3;0.8284;1.0000;0.0554;bada;M
14804031;Lundby, Hilldedal;14804031;Lundby, Bjurslätt, Norra;22.7;0.1716;0.3944;-0.0554;bada;M
14804032;Lundby, Slätta Damm;14804033;Lundby, Slätta Damm;53.1;0.8363;1.0000;0.3053;bada;M
14804032;Lundby, Slätta Damm;14804031;Lundby, Bjurslätt, Norra;46.9;0.1637;0.6056;-0.3053;bada;M
14804041;Lundby, Kärrdalen;14804041;Lundby, Kärrdalen;100.0;1.0000;1.0000;-0.0000;bada;O
14804042;Lundby, Tolered, Norra;14804042;Lundby, Tolered, Norra;100.0;1.0000;1.0000;-0.0000;bada;O
14804043;Lundby, Tolered, Södra;14804043;Lundby, Tolered, Södra;100.0;1.0000;1.0000;-0.0000;bada;O
14804051;Norra Hisingen, Glöstorp;14804051;Norra Hisingen, Glöstorp;100.0;1.0000;0.9017;-0.0000;bada;O
14804052;Norra Hisingen, Gunnestorp;14804052;Norra Hisingen, Gunnestorp;74.7;0.9331;1.0000;0.1861;bada;M
14804052;Norra Hisingen, Gunnestorp;14804055;Norra Hisingen, Tuve, Södra;25.3;0.0669;0.0238;-0.1861;bada;M
14804053;Norra Hisingen, Norumshöjd;14804053;Norra Hisingen, Norumshöjd;96.8;0.6909;1.0000;-0.2771;bada;M
14804053;Norra Hisingen, Norumshöjd;14804054;Norra Hisingen, Tuve, Norra;3.2;0.3091;0.1736;0.2771;bada;M
14804054;Norra Hisingen, Tuve;14804055;Norra Hisingen, Tuve, Södra;65.5;0.7892;0.9762;0.1342;bada;M
14804054;Norra Hisingen, Tuve;14804054;Norra Hisingen, Tuve, Norra;34.5;0.2108;0.8264;-0.1342;bada;M
14804055;Norra Hisingen, Tången;14804056;Norra Hisingen, Tången;100.0;1.0000;1.0000;-0.0000;bada;O
14804061;Norra Hisingen, Säve;14804061;Norra Hisingen, Säve;82.3;0.8087;1.0000;-0.0143;bada;M
14804061;Norra Hisingen, Säve;14804081;Norra Hisingen, Rödbo;17.7;0.1906;0.2797;0.0136;bada;M
14804071;Norra Hisingen, Gerrebacka-Ingebäck;14804071;Norra Hisingen, Gerrebacka-Ingebäck;100.0;1.0000;1.0000;-0.0000;bada;O
14804072;Norra Hisingen, Kärra, Norra;14804072;Norra Hisingen, Kärra, Norra;100.0;1.0000;1.0000;-0.0000;bada;O
14804073;Norra Hisingen, Kärra, Södra;14804073;Norra Hisingen, Kärra, Södra;100.0;1.0000;1.0000;-0.0000;bada;O
14804074;Norra Hisingen, Kärra, Västra;14804074;Norra Hisingen, Kärra, Västra;100.0;1.0000;1.0000;-0.0000;bada;O
14804075;Norra Hisingen, Kärra, Östra;14804075;Norra Hisingen, Kärra, Östra;100.0;1.0000;1.0000;-0.0000;bada;O
14804076;Norra Hisingen, Mysterna-Svankälla;14804076;Norra Hisingen, Mysterna-Svankälla;100.0;1.0000;1.0000;-0.0000;bada;O
14804081;Norra Hisingen, Rödbo;14804081;Norra Hisingen, Rödbo;100.0;1.0000;0.7203;-0.0000;bada;M
14804091;Norra Hisingen, Skogome-Sankt Jörgen;14804092;Norra Hisingen, Skogome;43.0;0.8396;1.0000;0.4096;bada;M
14804091;Norra Hisingen, Skogome-Sankt Jörgen;14804091;Norra Hisingen, Sankt Jörgen;57.0;0.1604;1.0000;-0.4096;bada;M
14804101;Norra Hisingen, Aröd;14804101;Norra Hisingen, Aröd;48.8;0.8742;0.6781;0.3862;bada;M
14804101;Norra Hisingen, Aröd;14804104;Norra Hisingen, Tingstad;51.2;0.1164;0.0742;-0.3956;bada;M
14804102;Norra Hisingen, Backa-Tingstad;14804102;Norra Hisingen, Brunnsbo, Norra;62.7;0.3322;0.9647;-0.2948;bada;M
14804102;Norra Hisingen, Backa-Tingstad;14804104;Norra Hisingen, Tingstad;21.8;0.5032;0.9258;0.2852;bada;M
14804102;Norra Hisingen, Backa-Tingstad;14804101;Norra Hisingen, Aröd;11.5;0.1437;0.3219;0.0287;bada;M
14804102;Norra Hisingen, Backa-Tingstad;14804103;Norra Hisingen, Brunnsbo, Södra;4.0;0.0209;0.3511;-0.0191;bada;M
14804103;Norra Hisingen, Brunnsbo;14804103;Norra Hisingen, Brunnsbo, Södra;85.0;0.8130;0.6489;-0.0370;bada;M
14804103;Norra Hisingen, Brunnsbo;14804102;Norra Hisingen, Brunnsbo, Norra;15.0;0.1870;0.0258;0.0370;bada;M
14804121;Norra Hisingen, Backa;14804123;Norra Hisingen, Backa, Södra;50.7;0.4948;0.7952;-0.0122;bada;M
14804121;Norra Hisingen, Backa;14804122;Norra Hisingen, Backa, Norra;49.3;0.5052;0.3077;0.0122;bada;M
14804122;Norra Hisingen, Backa Röd;14804121;Norra Hisingen, Backa Röd;100.0;1.0000;1.0000;-0.0000;bada;O
14804123;Norra Hisingen, Bällskär;14804124;Norra Hisingen, Bällskär;76.3;0.6451;1.0000;-0.1179;bada;M
14804123;Norra Hisingen, Bällskär;14804122;Norra Hisingen, Backa, Norra;23.7;0.3549;0.6923;0.1179;bada;M
14804124;Norra Hisingen, Wadköpingsgatan;14804125;Norra Hisingen, Wadköpingsgatan m fl;77.1;0.6578;1.0000;-0.1132;bada;M
14804124;Norra Hisingen, Wadköpingsgatan;14804123;Norra Hisingen, Backa, Södra;22.9;0.3422;0.2048;0.1132;bada;M
14804131;Norra Hisingen, Backadalen;14804131;Norra Hisingen, Backadalen;64.6;0.8778;0.8777;0.2318;bada;M
14804131;Norra Hisingen, Backadalen;14804132;Norra Hisingen, Bäckebol;35.4;0.1222;0.0299;-0.2318;bada;M
14804132;Norra Hisingen, Bäckebol;14804132;Norra Hisingen, Bäckebol;100.0;1.0000;0.9701;-0.0000;bada;M
14804133;Norra Hisingen, Selma Lagerlöfs torg;14804133;Norra Hisingen, Selma Lagerlöfs torg;64.2;0.4824;0.2259;-0.1596;bada;M
14804133;Norra Hisingen, Selma Lagerlöfs torg;14804131;Norra Hisingen, Backadalen;35.8;0.5176;0.1223;0.1596;bada;M
14804134;Norra Hisingen, Skälltorp;14804134;Norra Hisingen, Skälltorp;73.2;0.4045;0.5074;-0.3275;bada;M
14804134;Norra Hisingen, Skälltorp;14804133;Norra Hisingen, Selma Lagerlöfs torg;26.8;0.5955;0.7741;0.3275;bada;M
14804135;Norra Hisingen, Åketorp;14804135;Norra Hisingen, Åketorp;80.8;0.7794;1.0000;-0.0286;bada;M
14804135;Norra Hisingen, Åketorp;14804134;Norra Hisingen, Skälltorp;19.2;0.2206;0.4926;0.0286;bada;M
14804141;Lundby, Bräcke, Norra;14804141;Lundby, Bräcke, Norra;100.0;1.0000;1.0000;-0.0000;bada;O
14804142;Lundby, Bräcke, Södra;14804142;Lundby, Bräcke, Södra;100.0;1.0000;1.0000;-0.0000;bada;O
14804143;Lundby, Kyrkbyn;14804143;Lundby, Kyrkbyn;100.0;1.0000;1.0000;-0.0000;bada;O
14804144;Lundby, Lundby, Norra;14804144;Lundby, Lundby, Norra;100.0;1.0000;1.0000;-0.0000;bada;O
14804145;Lundby, Lundby, Södra;14804145;Lundby, Lundby, Södra;100.0;1.0000;1.0000;-0.0000;bada;O
14804151;Lundby, Brämaregården, Norra;14804151;Lundby, Brämaregården, Norra;100.0;1.0000;0.8268;-0.0000;bada;M
14804152;Lundby, Brämaregården, Östra;14804152;Lundby, Brämaregården, Södra;78.1;0.8456;1.0000;0.0646;bada;M
14804152;Lundby, Brämaregården, Östra;14804151;Lundby, Brämaregården, Norra;21.9;0.1544;0.1732;-0.0646;bada;M
14804153;Lundby, Brämaregården-Rambergsstaden;14804156;Lundby, Rambergsstaden, Östra;100.0;1.0000;1.0000;-0.0000;bada;O
14804154;Lundby, Porslinsfabriken;14804153;Lundby, Porslinsfabriken;100.0;1.0000;1.0000;-0.0000;bada;O
14804155;Lundby, Rambergsstaden, Norra;14804154;Lundby, Rambergsstaden, Norra;100.0;1.0000;1.0000;-0.0000;bada;O
14804156;Lundby, Rambergsstaden, Västra;14804155;Lundby, Rambergsstaden, Södra;100.0;1.0000;1.0000;-0.0000;bada;O
14804161;Lundby, Eriksberg Sjöporten;14804161;Lundby, Eriksberg, Västra;66.8;0.4709;0.7761;-0.1971;bada;M
14804161;Lundby, Eriksberg Sjöporten;14804162;Lundby, Eriksberg, Östra;33.2;0.5291;0.4945;0.1971;bada;M
14804162;Lundby, Eriksberg, Västra;14804163;Lundby, Färjenäs;34.4;0.8244;1.0000;0.4804;bada;M
14804162;Lundby, Eriksberg, Västra;14804161;Lundby, Eriksberg, Västra;39.8;0.0747;0.2239;-0.3233;bada;M
14804162;Lundby, Eriksberg, Västra;14804164;Lundby, Pölsebo-Bratterås;25.8;0.1009;0.1902;-0.1571;bada;M
14804163;Lundby, Eriksberg, Östra;14804166;Lundby, Södhallsberget;100.0;1.0000;1.0000;-0.0000;bada;O
14804164;Lundby, Pölsebo-Bratterås;14804164;Lundby, Pölsebo-Bratterås;56.9;0.5906;0.8098;0.0216;bada;M
14804164;Lundby, Pölsebo-Bratterås;14804162;Lundby, Eriksberg, Östra;43.1;0.4094;0.5055;-0.0216;bada;M
14804165;Lundby, Sannegården;14804165;Lundby, Sannegården, Västra;100.0;1.0000;1.0000;-0.0000;bada;O
14804171;Lundby, Lindholmen;14804171;Lundby, Lindholmen;65.0;0.7628;0.4484;0.1128;bada;M
14804171;Lundby, Lindholmen;14804173;Lundby, Sannegården, Östra;35.0;0.2372;0.3174;-0.1128;bada;M
14804172;Lundby, Lundbyvassen;14804172;Lundby, Lundbyvassen;71.5;0.8106;1.0000;0.0956;bada;M
14804172;Lundby, Lundbyvassen;14804173;Lundby, Sannegården, Östra;24.6;0.0667;0.6826;-0.1793;bada;M
14804172;Lundby, Lundbyvassen;14804171;Lundby, Lindholmen;1.6;0.1227;0.5516;0.1067;bada;M
14804172;Lundby, Lundbyvassen;14801017;Majorna-Linné, Svalebo;2.3;;;;bara_officiell;M
14805011;Västra Göteborg, Björnekulla;14805011;Västra Göteborg, Björnekulla;70.9;0.6152;0.9687;-0.0938;bada;M
14805011;Västra Göteborg, Björnekulla;14805015;Västra Göteborg, Påvelund;29.1;0.3848;0.3893;0.0938;bada;M
14805012;Västra Göteborg, Fiskebäck, Norra;14805013;Västra Göteborg, Källängen;85.2;0.9246;0.9727;0.0726;bada;M
14805012;Västra Göteborg, Fiskebäck, Norra;14805014;Västra Göteborg, Osberget;14.8;0.0754;0.1495;-0.0726;bada;M
14805013;Västra Göteborg, Fiskebäck, Södra;14805012;Västra Göteborg, Fiskebäck,;93.9;0.9925;1.0000;0.0535;bada;M
14805013;Västra Göteborg, Fiskebäck, Södra;14805013;Västra Göteborg, Källängen;6.1;0.0075;0.0273;-0.0535;bara_officiell;M
14805014;Västra Göteborg, Påvelund;14805014;Västra Göteborg, Osberget;54.7;0.4370;0.8505;-0.1100;bada;M
14805014;Västra Göteborg, Påvelund;14805015;Västra Göteborg, Påvelund;43.4;0.5450;0.6107;0.1110;bada;M
14805014;Västra Göteborg, Påvelund;14805011;Västra Göteborg, Björnekulla;1.8;0.0180;0.0313;-0.0000;bada;M
14805021;Västra Göteborg, Långedrag;14805021;Västra Göteborg, Långedrag;100.0;1.0000;1.0000;-0.0000;bada;O
14805031;Västra Göteborg, Hagen;14805031;Västra Göteborg, Hagen;100.0;1.0000;1.0000;-0.0000;bada;O
14805032;Västra Göteborg, Nya Varvet;14805032;Västra Göteborg, Nya Varvet;100.0;1.0000;0.9959;-0.0000;bada;M
14805033;Västra Göteborg, Tångudden;14805033;Västra Göteborg, Tångudden;100.0;1.0000;1.0000;-0.0000;bada;O
14805041;Västra Göteborg, Ekebäck;14805043;Västra Göteborg, Kungsten;74.1;0.7845;1.0000;0.0435;bada;M
14805041;Västra Göteborg, Ekebäck;14805041;Västra Göteborg, Ekebäck;24.9;0.2076;0.3180;-0.0414;bada;M
14805041;Västra Göteborg, Ekebäck;14805032;Västra Göteborg, Nya Varvet;1.0;0.0078;0.0041;-0.0022;bara_officiell;M
14805042;Västra Göteborg, Grimmered;14805042;Västra Göteborg, Grimmered;68.0;0.7721;1.0000;0.0921;bada;M
14805042;Västra Göteborg, Grimmered;14805041;Västra Göteborg, Ekebäck;32.0;0.2279;0.5161;-0.0921;bada;M
14805051;Västra Göteborg, Brännö-Asperö;14805051;Västra Göteborg, Brännö-Asperö;100.0;1.0000;1.0000;-0.0000;bada;O
14805052;Västra Göteborg, Donsö-Vrångö;14805052;Västra Göteborg, Donsö-Vrångö;100.0;1.0000;1.0000;-0.0000;bada;O
14805053;Västra Göteborg, Styrsö-Köpstadsö;14805053;Västra Göteborg, Styrsö-Köpstadsö;100.0;1.0000;1.0000;-0.0000;bada;O
14805061;Västra Göteborg, Bratthammar;14805061;Västra Göteborg, Bratthammar;75.1;0.7709;1.0000;0.0199;bada;M
14805061;Västra Göteborg, Bratthammar;14805072;Västra Göteborg, Tynnered, Norra;16.0;0.1434;0.4706;-0.0166;bada;M
14805061;Västra Göteborg, Bratthammar;14805081;Västra Göteborg, Tynnered Södra;9.0;0.0856;0.3449;-0.0044;bada;M
14805071;Västra Göteborg, Beryllg.-Guldringen;14805071;Västra Göteborg, Guldringen m fl;65.3;0.4536;1.0000;-0.1994;bada;M
14805071;Västra Göteborg, Beryllg.-Guldringen;14805072;Västra Göteborg, Tynnered, Norra;34.7;0.5464;0.5294;0.1994;bada;M
14805081;Västra Göteborg, Tynnered;14805082;Västra Göteborg, Tynnered, Östra;71.6;0.5231;1.0000;-0.1929;bada;M
14805081;Västra Göteborg, Tynnered;14805081;Västra Göteborg, Tynnered Södra;28.4;0.4769;0.6551;0.1929;bada;M
14805091;Askim-Frölunda-Högsbo, Kavås;14805093;Askim-Frölunda-Högsbo, Kavås;100.0;1.0000;1.0000;-0.0000;bada;O
14805092;Askim-Frölunda-Högsbo, Kaverös, N;14805091;Askim-Frölunda-Högsbo, Kaverös, N;100.0;1.0000;1.0000;-0.0000;bada;O
14805093;Askim-Frölunda-Högsbo, Kaverös, S;14805092;Askim-Frölunda-Högsbo, Kaverös, S;100.0;1.0000;1.0000;-0.0000;bada;O
14805101;Askim-Frölunda-Högsbo, Flatås, V;14805102;Askim-Frölunda-Högsbo, Flatås, V;34.8;0.6864;1.0000;0.3384;bada;M
14805101;Askim-Frölunda-Högsbo, Flatås, V;14805101;Askim-Frölunda-Högsbo, Flatås, S;65.2;0.3136;0.8584;-0.3384;bada;M
14805111;Askim-Frölunda-Högsbo, Högsbohöjd, N;14805111;Askim-Frölunda-Högsbo, Högsbohöjd, N;80.4;0.7305;0.7612;-0.0735;bada;M
14805111;Askim-Frölunda-Högsbo, Högsbohöjd, N;14805041;Västra Göteborg, Ekebäck;19.6;0.2695;0.0914;0.0735;bada;M
14805112;Askim-Frölunda-Högsbo, Högsbohöjd, S;14805112;Askim-Frölunda-Högsbo, Högsbohöjd, S;87.6;0.9246;1.0000;0.0486;bada;M
14805112;Askim-Frölunda-Högsbo, Högsbohöjd, S;14805111;Askim-Frölunda-Högsbo, Högsbohöjd, N;12.4;0.0754;0.1156;-0.0486;bada;M
14805121;Askim-Frölunda-Högsbo, Högsbo;14805122;Askim-Frölunda-Högsbo, Högsbotorp, S;57.3;0.5390;0.7213;-0.0340;bada;M
14805121;Askim-Frölunda-Högsbo, Högsbo;14805121;Askim-Frölunda-Högsbo, Högsbo;42.7;0.4610;0.7265;0.0340;bada;M
14805122;Askim-Frölunda-Högsbo, Högsbotorp, V;14805123;Askim-Frölunda-Högsbo, Högsbotorp, V;76.1;0.7940;1.0000;0.0330;bada;M
14805122;Askim-Frölunda-Högsbo, Högsbotorp, V;14805122;Askim-Frölunda-Högsbo, Högsbotorp, S;23.9;0.2060;0.2787;-0.0330;bada;M
14805123;Askim-Frölunda-Högsbo, Högsbotorp, Ö;14805124;Askim-Frölunda-Högsbo, Högsbotorp, Ö;62.0;0.6161;0.6238;-0.0039;bada;M
14805123;Askim-Frölunda-Högsbo, Högsbotorp, Ö;14805121;Askim-Frölunda-Högsbo, Högsbo;26.3;0.2546;0.2735;-0.0084;bada;M
14805123;Askim-Frölunda-Högsbo, Högsbotorp, Ö;14805125;Askim-Frölunda-Högsbo, Marklandsgat.;11.7;0.1294;0.0917;0.0124;bada;M
14805124;Askim-Frölunda-Högsbo, Marklandsg.;14805125;Askim-Frölunda-Högsbo, Marklandsgat.;60.3;0.7753;0.9083;0.1723;bada;M
14805124;Askim-Frölunda-Högsbo, Marklandsg.;14805124;Askim-Frölunda-Högsbo, Högsbotorp, Ö;39.7;0.2247;0.3762;-0.1723;bada;M
14805131;Askim-Frölunda-Högsbo, Spinetten;14805131;Askim-Frölunda-Högsbo, Spinetten;100.0;1.0000;1.0000;-0.0000;bada;O
14805132;Askim-Frölunda-Högsbo, Tofta;14805132;Askim-Frölunda-Högsbo, Tofta;91.7;0.9930;1.0000;0.0760;bada;M
14805132;Askim-Frölunda-Högsbo, Tofta;14805152;Askim-Frölunda-Högsbo, Järnbrott, V;8.3;0.0070;0.0260;-0.0760;bara_officiell;M
14805141;Askim-Frölunda-Högsbo, Ruddalen;14805142;Askim-Frölunda-Högsbo, Ruddalen;51.6;0.8641;1.0000;0.3481;bada;M
14805141;Askim-Frölunda-Högsbo, Ruddalen;14805141;Askim-Frölunda-Högsbo, Altplatsen;48.4;0.0817;1.0000;-0.4023;bada;M
14805141;Askim-Frölunda-Högsbo, Ruddalen;14805041;Västra Göteborg, Ekebäck;;0.0258;0.0746;;bara_geo;M
14805141;Askim-Frölunda-Högsbo, Ruddalen;14805171;Askim-Frölunda-Högsbo, Frölunda;;0.0145;0.1183;;bara_geo;O
14805141;Askim-Frölunda-Högsbo, Ruddalen;14805111;Askim-Frölunda-Högsbo, Högsbohöjd, N;;0.0139;0.1232;;bara_geo;M
14805151;Askim-Frölunda-Högsbo, Järnbrott, V;14805152;Askim-Frölunda-Högsbo, Järnbrott, V;45.2;0.3592;0.9740;-0.0928;bada;M
14805151;Askim-Frölunda-Högsbo, Järnbrott, V;14805151;Askim-Frölunda-Högsbo, Järnbrott, S;33.5;0.4349;0.5262;0.0999;bada;M
14805151;Askim-Frölunda-Högsbo, Järnbrott, V;14805153;Askim-Frölunda-Högsbo, Järnbrott, Ö;21.2;0.2058;0.3314;-0.0062;bada;M
14805152;Askim-Frölunda-Högsbo, Järnbrott, Ö;14805153;Askim-Frölunda-Högsbo, Järnbrott, Ö;57.1;0.5147;0.6686;-0.0563;bada;M
14805152;Askim-Frölunda-Högsbo, Järnbrott, Ö;14805151;Askim-Frölunda-Högsbo, Järnbrott, S;42.9;0.4853;0.4738;0.0563;bada;M
14805161;Askim-Frölunda-Högsbo, Flatås, Ö;14805103;Askim-Frölunda-Högsbo, Flatås, Ö;82.5;0.9924;1.0000;0.1674;bada;M
14805161;Askim-Frölunda-Högsbo, Flatås, Ö;14805101;Askim-Frölunda-Högsbo, Flatås, S;17.5;0.0076;0.1416;-0.1674;bara_officiell;M
14805171;Askim-Frölunda-Högsbo, Frölunda;14805171;Askim-Frölunda-Högsbo, Frölunda;100.0;1.0000;0.8817;-0.0000;bada;O
14805172;Askim-Frölunda-Högsbo, Frölunda Torg;14805172;Askim-Frölunda-Högsbo, Frölunda Torg;100.0;1.0000;1.0000;-0.0000;bada;O
14805173;Askim-Frölunda-Högsbo, Gånglåten;14805173;Askim-Frölunda-Högsbo, Gånglåten;100.0;1.0000;1.0000;-0.0000;bada;O
14805174;Askim-Frölunda-Högsbo, Mandolingatan;14805174;Askim-Frölunda-Högsbo, Mandolingatan;100.0;1.0000;1.0000;-0.0000;bada;O
14805181;Västra Göteborg, Korsåsen;14805181;Västra Göteborg, Korsåsen;100.0;1.0000;1.0000;-0.0000;bada;O
14805182;Västra Göteborg, Ängås;14805182;Västra Göteborg, Ängås;100.0;1.0000;1.0000;-0.0000;bada;O
14805191;Västra Göteborg, Önnered, Västra;14805191;Västra Göteborg, Önnered, Västra;100.0;1.0000;1.0000;-0.0000;bada;O
14805192;Västra Göteborg, Önnered, Östra;14805192;Västra Göteborg, Önnered, Östra;100.0;1.0000;1.0000;-0.0000;bada;O
14805201;Västra Göteborg, Grevegården;14805201;Västra Göteborg, Grevegården;100.0;1.0000;0.7321;-0.0000;bada;O
14805202;Västra Göteborg, Skattegården;14805202;Västra Göteborg, Skattegården;100.0;0.8162;1.0000;-0.1838;bada;O
14805202;Västra Göteborg, Skattegården;14805201;Västra Göteborg, Grevegården;;0.1838;0.2679;;bara_geo;O
14805211;Västra Göteborg, Näset, Norra;14805211;Västra Göteborg, Näset, Norra;66.0;0.8087;0.9214;0.1487;bada;M
14805211;Västra Göteborg, Näset, Norra;14805213;Västra Göteborg, Välen;27.0;0.1656;0.4132;-0.1044;bada;M
14805211;Västra Göteborg, Näset, Norra;14805214;Västra Göteborg, Åkered;7.0;0.0257;0.0996;-0.0443;bada;M
14805212;Västra Göteborg, Näset, Södra;14805212;Västra Göteborg, Näset, Södra;76.8;0.9102;1.0000;0.1422;bada;M
14805212;Västra Göteborg, Näset, Södra;14805211;Västra Göteborg, Näset, Norra;15.6;0.0222;0.0786;-0.1338;bada;M
14805212;Västra Göteborg, Näset, Södra;14805213;Västra Göteborg, Välen;7.5;0.0676;0.5239;-0.0074;bada;M
14805213;Västra Göteborg, Åkered;14805214;Västra Göteborg, Åkered;68.4;0.9022;0.9004;0.2182;bada;M
14805213;Västra Göteborg, Åkered;14805213;Västra Göteborg, Välen;31.6;0.0978;0.0628;-0.2182;bada;M
14805221;Västra Göteborg, Opaltorget, Norra;14805221;Västra Göteborg, Opaltorget, Norra;100.0;1.0000;1.0000;-0.0000;bada;O
14805222;Västra Göteborg, Opaltorget, Södra;14805222;Västra Göteborg, Opaltorget, Södra;100.0;1.0000;1.0000;-0.0000;bada;O
14805231;Askim-Frölunda-Högsbo, Askim;14805231;Askim-Frölunda-Högsbo, Askim;100.0;1.0000;1.0000;-0.0000;bada;O
14805232;Askim-Frölunda-Högsbo, Hovås, Norra;14805232;Askim-Frölunda-Högsbo, Hovås, Norra;100.0;1.0000;1.0000;-0.0000;bada;O
14805233;Askim-Frölunda-Högsbo, Hult;14805233;Askim-Frölunda-Högsbo, Hult;100.0;1.0000;1.0000;-0.0000;bada;O
