ar;val;kod;namn;valkrets;giltiga;blanka;ogiltiga_ovriga;ogiltiga;rostande;rostberattigade;valdeltagande;kalla_fil
2022;rd;14800204;Östra Göteborg, Bergsjön Östra;Göteborgs kommun;458;1;1;2;460;876;52.51;Roster-per-distrikt-slutligt-antal-roster-inklusive-totalt-valdeltagande-riksdagsvalet-2022.xlsx flik roster_RD
2022;rd;14800205;Östra Göteborg, Bergsjön Norra;Göteborgs kommun;627;3;1;6;633;940;67.34;Roster-per-distrikt-slutligt-antal-roster-inklusive-totalt-valdeltagande-riksdagsvalet-2022.xlsx flik roster_RD
2022;rd;14800206;Östra Göteborg, Siriusgatan Östra;Göteborgs kommun;531;8;1;9;540;1056;51.14;Roster-per-distrikt-slutligt-antal-roster-inklusive-totalt-valdeltagande-riksdagsvalet-2022.xlsx flik roster_RD
2022;rd;14800207;Östra Göteborg, Siriusgatan Västra;Göteborgs kommun;502;8;0;8;510;953;53.52;Roster-per-distrikt-slutligt-antal-roster-inklusive-totalt-valdeltagande-riksdagsvalet-2022.xlsx flik roster_RD
2022;rd;14800208;Östra Göteborg, Gärdsås;Göteborgs kommun;593;5;1;7;600;930;64.52;Roster-per-distrikt-slutligt-antal-roster-inklusive-totalt-valdeltagande-riksdagsvalet-2022.xlsx flik roster_RD
2022;rd;14800209;Östra Göteborg, Bergsjön Södra;Göteborgs kommun;343;2;0;2;345;615;56.10;Roster-per-distrikt-slutligt-antal-roster-inklusive-totalt-valdeltagande-riksdagsvalet-2022.xlsx flik roster_RD
2022;rd;14800210;Östra Göteborg, Komettorget;Göteborgs kommun;413;3;0;3;416;819;50.79;Roster-per-distrikt-slutligt-antal-roster-inklusive-totalt-valdeltagande-riksdagsvalet-2022.xlsx flik roster_RD
2022;rd;14800211;Östra Göteborg, Zenitgatan m fl;Göteborgs kommun;588;6;3;10;598;1093;54.71;Roster-per-distrikt-slutligt-antal-roster-inklusive-totalt-valdeltagande-riksdagsvalet-2022.xlsx flik roster_RD
2022;rd;14800212;Östra Göteborg, Fjällbo;Göteborgs kommun;963;17;1;18;981;1280;76.64;Roster-per-distrikt-slutligt-antal-roster-inklusive-totalt-valdeltagande-riksdagsvalet-2022.xlsx flik roster_RD
2022;rd;14800213;Östra Göteborg, Utbynäs;Göteborgs kommun;804;5;0;5;809;964;83.92;Roster-per-distrikt-slutligt-antal-roster-inklusive-totalt-valdeltagande-riksdagsvalet-2022.xlsx flik roster_RD
2022;rd;14800214;Östra Göteborg, Utby;Göteborgs kommun;927;6;0;6;933;1037;89.97;Roster-per-distrikt-slutligt-antal-roster-inklusive-totalt-valdeltagande-riksdagsvalet-2022.xlsx flik roster_RD
2022;rd;14800215;Östra Göteborg, Kamgatan m fl;Göteborgs kommun;981;9;0;9;990;1071;92.44;Roster-per-distrikt-slutligt-antal-roster-inklusive-totalt-valdeltagande-riksdagsvalet-2022.xlsx flik roster_RD
2022;rd;14800216;Östra Göteborg, Kviberg Östra;Göteborgs kommun;777;5;0;5;782;1004;77.89;Roster-per-distrikt-slutligt-antal-roster-inklusive-totalt-valdeltagande-riksdagsvalet-2022.xlsx flik roster_RD
2022;rd;14800217;Östra Göteborg, Kvibergsnäs;Göteborgs kommun;1187;11;0;11;1198;1439;83.25;Roster-per-distrikt-slutligt-antal-roster-inklusive-totalt-valdeltagande-riksdagsvalet-2022.xlsx flik roster_RD
2022;rd;14800218;Östra Göteborg, Bellevue Park;Göteborgs kommun;833;5;0;5;838;1071;78.24;Roster-per-distrikt-slutligt-antal-roster-inklusive-totalt-valdeltagande-riksdagsvalet-2022.xlsx flik roster_RD
2022;rd;14800219;Östra Göteborg, Bellevue;Göteborgs kommun;757;6;1;7;764;1035;73.82;Roster-per-distrikt-slutligt-antal-roster-inklusive-totalt-valdeltagande-riksdagsvalet-2022.xlsx flik roster_RD
2022;rd;14800220;Östra Göteborg, Gamlestaden Norra;Göteborgs kommun;786;10;1;14;800;1068;74.91;Roster-per-distrikt-slutligt-antal-roster-inklusive-totalt-valdeltagande-riksdagsvalet-2022.xlsx flik roster_RD
2022;rd;14800221;Östra Göteborg, Gamlestaden Södra;Göteborgs kommun;890;9;0;9;899;1215;73.99;Roster-per-distrikt-slutligt-antal-roster-inklusive-totalt-valdeltagande-riksdagsvalet-2022.xlsx flik roster_RD
2022;rd;14800222;Östra Göteborg, Nylöse;Göteborgs kommun;758;11;1;13;771;1110;69.46;Roster-per-distrikt-slutligt-antal-roster-inklusive-totalt-valdeltagande-riksdagsvalet-2022.xlsx flik roster_RD
2022;rd;14800223;Östra Göteborg, Kviberg Västra;Göteborgs kommun;619;3;0;4;623;985;63.25;Roster-per-distrikt-slutligt-antal-roster-inklusive-totalt-valdeltagande-riksdagsvalet-2022.xlsx flik roster_RD
2022;rd;14800224;Östra Göteborg, Kortedala Södra;Göteborgs kommun;726;5;1;6;732;1038;70.52;Roster-per-distrikt-slutligt-antal-roster-inklusive-totalt-valdeltagande-riksdagsvalet-2022.xlsx flik roster_RD
2022;rd;14800225;Östra Göteborg, Månadsparken;Göteborgs kommun;527;5;1;6;533;884;60.29;Roster-per-distrikt-slutligt-antal-roster-inklusive-totalt-valdeltagande-riksdagsvalet-2022.xlsx flik roster_RD
2022;rd;14800226;Östra Göteborg, Gregorianska G. m fl;Göteborgs kommun;671;6;0;6;677;1010;67.03;Roster-per-distrikt-slutligt-antal-roster-inklusive-totalt-valdeltagande-riksdagsvalet-2022.xlsx flik roster_RD
2022;rd;14800227;Östra Göteborg, Kortedala Västra;Göteborgs kommun;647;5;3;8;655;914;71.66;Roster-per-distrikt-slutligt-antal-roster-inklusive-totalt-valdeltagande-riksdagsvalet-2022.xlsx flik roster_RD
2022;rd;14800228;Östra Göteborg, Kortedala Torg;Göteborgs kommun;517;8;0;9;526;876;60.05;Roster-per-distrikt-slutligt-antal-roster-inklusive-totalt-valdeltagande-riksdagsvalet-2022.xlsx flik roster_RD
2022;rd;14800229;Östra Göteborg, Förstamajgatan m fl;Göteborgs kommun;701;6;3;10;711;1194;59.55;Roster-per-distrikt-slutligt-antal-roster-inklusive-totalt-valdeltagande-riksdagsvalet-2022.xlsx flik roster_RD
