ar_fg;val;kod_2018;namn_2018;giltiga_2018;giltiga_fgval;rostande_2018;rostande_fgval;rostberattigade_2018;rostberattigade_fgval;valdeltagande_2018;valdeltagande_fgval;indelning
2014;rf;14803036;Östra Göteborg, Kortedala, Östra;832;;841;;1337;;62.90;;Modifierad
2014;rf;14803041;Östra Göteborg, Adventsparken, V;896;;910;;1358;;67.01;;Modifierad
2014;rf;14803042;Östra Göteborg, Adventsparken, Ö;698;;708;;1165;;60.77;;Modifierad
2014;rf;14803043;Östra Göteborg, Kortedala, Norra;767;;785;;1164;;67.44;;Modifierad
2014;rf;14803044;Östra Göteborg, Månadsgatorna m fl;928;;944;;1446;;65.28;;Modifierad
2014;rf;14803051;Östra Göteborg, Bergsjön, Norra;731;719;745;728;1126;1105;66.16;65.88;
2014;rf;14803052;Östra Göteborg, Gärdsmosse;767;653;777;660;1517;1442;51.22;45.77;
2014;rf;14803053;Östra Göteborg, Gärdsås;708;709;716;719;1039;1035;68.91;69.47;
2014;rf;14803054;Östra Göteborg, Siriusgatan;1121;1005;1131;1009;2005;1900;56.41;53.11;
2014;rf;14803061;Östra Göteborg, Bergsjön, Södra;916;794;918;798;1643;1614;55.87;49.44;
2014;rf;14803062;Östra Göteborg, Bergsjön, Östra;871;745;875;750;1669;1518;52.43;49.41;
2014;rf;14803063;Östra Göteborg, Komettorget;634;;641;;1124;;57.03;;Modifierad
2014;rf;14803064;Östra Göteborg, Rymdtorget;820;;825;;1636;;50.43;;Modifierad
2014;rf;14804021;Lundby, Bjurslätt, Södra;996;;1008;;1441;;69.95;;Modifierad
2014;rf;14804022;Lundby, Flunsås;1056;1068;1077;1083;1455;1530;74.02;70.78;
2014;rf;14804023;Lundby, Kvillebäcken, Norra;1071;1045;1093;1059;1478;1487;73.95;71.22;
2014;rf;14804024;Lundby, Kvillebäcken, Södra;1018;;1034;;1369;;75.53;;Modifierad
2014;rf;14804025;Lundby, Kvillebäcken, Östra;949;;963;;1244;;77.41;;Modifierad
2014;rf;14804026;Lundby, Penselgatan m fl;1046;;1068;;1341;;79.64;;Modifierad
2014;rf;14804027;Lundby, Wieselgrensplatsen;1138;;1159;;1687;;68.70;;Modifierad
2014;rf;14804028;Lundby, Vågmästarplatsen;376;;378;;458;;82.53;;Ny
2014;rf;14804031;Lundby, Bjurslätt, Norra;834;;854;;1155;;73.94;;Modifierad
2014;rf;14804032;Lundby, Hilldedal;1084;;1096;;1317;;83.22;;Modifierad
2014;rf;14804033;Lundby, Slätta Damm;757;;769;;966;;79.61;;Modifierad
2014;rf;14804041;Lundby, Kärrdalen;1279;1189;1295;1195;1496;1423;86.56;83.98;
2014;rf;14804042;Lundby, Tolered, Norra;991;959;996;966;1186;1210;83.98;79.83;
2014;rf;14804043;Lundby, Tolered, Södra;992;952;1006;970;1163;1162;86.50;83.48;
2014;rf;14804051;Norra Hisingen, Glöstorp;1087;961;1109;976;1425;1296;77.82;75.31;
2014;rf;14804052;Norra Hisingen, Gunnestorp;1006;;1026;;1198;;85.64;;Modifierad
2014;rf;14804053;Norra Hisingen, Norumshöjd;938;;953;;1463;;65.14;;Modifierad
2014;rf;14804054;Norra Hisingen, Tuve, Norra;635;;644;;777;;82.88;;Modifierad
2014;rf;14804055;Norra Hisingen, Tuve, Södra;1150;;1166;;1427;;81.71;;Modifierad
2014;rf;14804056;Norra Hisingen, Tången;1081;1106;1090;1121;1283;1270;84.96;88.27;
2014;rf;14804061;Norra Hisingen, Säve;1170;;1187;;1392;;85.27;;Modifierad
2014;rf;14804071;Norra Hisingen, Gerrebacka-Ingebäck;1252;1206;1262;1223;1442;1425;87.52;85.82;
2014;rf;14804072;Norra Hisingen, Kärra, Norra;895;921;908;927;1118;1144;81.22;81.03;
2014;rf;14804073;Norra Hisingen, Kärra, Södra;1111;1061;1130;1076;1360;1312;83.09;82.01;
2014;rf;14804074;Norra Hisingen, Kärra, Västra;1023;987;1040;1008;1264;1249;82.28;80.70;
2014;rf;14804075;Norra Hisingen, Kärra, Östra;1066;1056;1086;1074;1351;1353;80.38;79.38;
2014;rf;14804076;Norra Hisingen, Mysterna-Svankälla;1274;1190;1290;1208;1422;1357;90.72;89.02;
2014;rf;14804081;Norra Hisingen, Rödbo;875;;890;;1070;;83.18;;Modifierad
2014;rf;14804091;Norra Hisingen, Sankt Jörgen;929;;937;;1083;;86.52;;Modifierad
2014;rf;14804092;Norra Hisingen, Skogome;743;;753;;957;;78.68;;Modifierad
2014;rf;14804101;Norra Hisingen, Aröd;963;;972;;1224;;79.41;;Modifierad
2014;rf;14804102;Norra Hisingen, Brunnsbo, Norra;1026;;1046;;1342;;77.94;;Modifierad
2014;rf;14804103;Norra Hisingen, Brunnsbo, Södra;1063;;1073;;1536;;69.86;;Modifierad
2014;rf;14804104;Norra Hisingen, Tingstad;941;;951;;1403;;67.78;;Modifierad
2014;rf;14804121;Norra Hisingen, Backa Röd;805;761;821;771;1179;1250;69.64;61.68;
2014;rf;14804122;Norra Hisingen, Backa, Norra;909;;918;;1205;;76.18;;Modifierad
2014;rf;14804123;Norra Hisingen, Backa, Södra;769;;785;;1100;;71.36;;Modifierad
2014;rf;14804124;Norra Hisingen, Bällskär;1020;;1032;;1273;;81.07;;Modifierad
2014;rf;14804125;Norra Hisingen, Wadköpingsgatan m fl;858;;868;;1383;;62.76;;Modifierad
2014;rf;14804131;Norra Hisingen, Backadalen;880;;898;;1422;;63.15;;Modifierad
2014;rf;14804132;Norra Hisingen, Bäckebol;1023;;1044;;1543;;67.66;;Modifierad
2014;rf;14804133;Norra Hisingen, Selma Lagerlöfs torg;920;;931;;1299;;71.67;;Modifierad
2014;rf;14804134;Norra Hisingen, Skälltorp;1144;;1170;;1520;;76.97;;Modifierad
2014;rf;14804135;Norra Hisingen, Åketorp;1113;;1128;;1287;;87.65;;Modifierad
2014;rf;14804141;Lundby, Bräcke, Norra;1113;1098;1129;1114;1393;1365;81.05;81.61;
2014;rf;14804142;Lundby, Bräcke, Södra;932;886;947;898;1197;1188;79.11;75.59;
2014;rf;14804143;Lundby, Kyrkbyn;1178;1052;1202;1065;1580;1438;76.08;74.06;
2014;rf;14804144;Lundby, Lundby, Norra;933;877;947;897;1296;1221;73.07;73.46;
2014;rf;14804145;Lundby, Lundby, Södra;845;794;865;808;1113;1098;77.72;73.59;
2014;rf;14804151;Lundby, Brämaregården, Norra;1186;;1208;;1573;;76.80;;Modifierad
2014;rf;14804152;Lundby, Brämaregården, Södra;799;;808;;1112;;72.66;;Modifierad
2014;rf;14804153;Lundby, Porslinsfabriken;972;973;991;990;1261;1285;78.59;77.04;
2014;rf;14804154;Lundby, Rambergsstaden, Norra;913;934;936;949;1211;1247;77.29;76.10;
2014;rf;14804155;Lundby, Rambergsstaden, Södra;822;833;840;842;1364;1367;61.58;61.59;
2014;rf;14804156;Lundby, Rambergsstaden, Östra;1117;1086;1141;1101;1500;1488;76.07;73.99;
2014;rf;14804161;Lundby, Eriksberg, Västra;1212;;1225;;1442;;84.95;;Modifierad
2014;rf;14804162;Lundby, Eriksberg, Östra;1259;;1277;;1439;;88.74;;Modifierad
