kod_2018;namn_2018;indelning_officiell;klass_geo;antal_2014_stora;storsta_kod_2014;andel_av_2018;andel_av_2014;samma_kod_och_yta
14802051;Örgryte-Härlanda, Jakobsdal;O;identisk;1;14802051;1.0000;1.0000;ja
14802052;Örgryte-Härlanda, Skår, Norra;O;identisk;1;14802052;1.0000;1.0000;ja
14802053;Örgryte-Härlanda, Skår, Södra;O;identisk;1;14802053;1.0000;1.0000;ja
14802061;Örgryte-Härlanda, Bö;O;identisk;1;14802061;0.9946;1.0000;ja
14802062;Örgryte-Härlanda, Örgryte;O;identisk;1;14802062;1.0000;1.0000;ja
14802071;Örgryte-Härlanda, Stora Torp;M;delning;1;14802071;1.0000;0.3450;nej
14802072;Örgryte-Härlanda, Lilla Torp;M;delning;1;14802071;0.9867;0.6542;nej
14802081;Örgryte-Härlanda, Danska vägen m fl;M;omritning;2;14802085;0.7626;0.5884;nej
14802082;Örgryte-Härlanda, Kärralund, Norra;M;delning;1;14802081;1.0000;0.6059;nej
14802083;Örgryte-Härlanda, Kärralund, Södra;M;omritning;2;14802083;0.6028;0.6696;nej
14802084;Örgryte-Härlanda, Lunden, Gamla;M;omritning;2;14802082;0.5735;0.5217;nej
14802085;Örgryte-Härlanda, Lunden, Nya;M;omritning;2;14802083;0.8756;0.3304;nej
14802086;Örgryte-Härlanda, Nobelplatsen;M;delning;1;14802084;1.0000;0.7544;nej
14802087;Örgryte-Härlanda, Sankt Pauli;M;omritning;2;14802085;0.5930;0.4116;nej
14802088;Örgryte-Härlanda, Överås;M;delning;1;14802086;1.0000;0.7298;nej
14802091;Örgryte-Härlanda, Härlanda;O;identisk;1;14802091;1.0000;1.0000;ja
14802101;Örgryte-Härlanda, Kålltorp, Norra;M;omritning;2;14802106;0.5387;0.3864;nej
14802102;Örgryte-Härlanda, Kålltorp, Södra;O;identisk;1;14802102;1.0000;1.0000;ja
14802103;Örgryte-Härlanda, Kålltorp, Västra;M;omritning;2;14802103;0.8320;0.7481;nej
14802104;Örgryte-Härlanda, Kålltorp, Östra;M;omritning;3;14802104;0.6597;1.0000;nej
14802105;Örgryte-Härlanda, Munkebäck, Norra;O;identisk;1;14802105;1.0000;1.0000;ja
14802106;Örgryte-Härlanda, Munkebäck, Södra;M;omritning;2;14802106;0.9192;0.6136;nej
14802111;Örgryte-Härlanda, Fräntorp;M;identisk;1;14802111;0.9822;1.0000;ja
14802112;Örgryte-Härlanda, Torpa;M;delning;1;14802112;1.0000;0.9068;nej
14802121;Örgryte-Härlanda, Björkekärr, Norra;O;identisk;1;14802121;1.0000;1.0000;ja
14802122;Örgryte-Härlanda, Björkekärr, Södra;O;identisk;1;14802122;1.0000;0.9985;ja
14802123;Örgryte-Härlanda, Björkekärr, Västra;O;identisk;1;14802123;1.0000;1.0000;ja
14802124;Örgryte-Härlanda, Björkekärr, Östra;M;omritning;2;14802124;0.8373;1.0000;nej
14802125;Örgryte-Härlanda, Robertshöjd m fl;M;delning;1;14802125;1.0000;0.8590;nej
14803011;Östra Göteborg, Bellevue;M;omritning;2;14803011;0.7522;0.8141;nej
14803012;Östra Göteborg, Bellevue Park;M;delning;1;14803014;1.0000;0.0784;nej
14803013;Östra Göteborg, Gamlestaden, Norra;M;omritning;3;14803015;0.4326;0.0150;nej
14803014;Östra Göteborg, Gamlestaden, Södra;M;delning;1;14803012;1.0000;0.9026;nej
14803015;Östra Göteborg, Kviberg, Västra;M;delning;1;14803013;1.0000;0.9275;nej
14803016;Östra Göteborg, Kviberg, Östra;M;delning;1;14803014;1.0000;0.9216;nej
14803017;Östra Göteborg, Nylöse;M;identisk;1;14803015;1.0000;0.9850;nej
14803021;Östra Göteborg, Fjällbo;O;identisk;1;14803021;1.0000;1.0000;ja
14803022;Östra Göteborg, Utby;O;identisk;1;14803022;1.0000;1.0000;ja
14803023;Östra Göteborg, Utbynäs;O;identisk;1;14803023;1.0000;1.0000;ja
14803031;Östra Göteborg, Förstamajgatan m fl;M;omritning;3;14803035;0.5434;0.1833;nej
14803032;Östra Göteborg, Gregorianska g. m fl;O;identisk;1;14803031;1.0000;1.0000;nej
14803033;Östra Göteborg, Kortedala Centrum;M;delning;1;14803032;1.0000;0.8626;nej
14803034;Östra Göteborg, Kortedala, Södra;O;identisk;1;14803033;1.0000;1.0000;nej
14803035;Östra Göteborg, Kortedala, Västra;M;delning;1;14803034;1.0000;0.9208;nej
14803036;Östra Göteborg, Kortedala, Östra;M;delning;1;14803035;1.0000;0.8167;nej
14803041;Östra Göteborg, Adventsparken, V;M;delning;1;14803041;0.9962;0.8808;nej
14803042;Östra Göteborg, Adventsparken, Ö;M;omritning;3;14803042;0.7399;0.0886;nej
14803043;Östra Göteborg, Kortedala, Norra;M;omritning;2;14803042;0.9522;0.9106;nej
14803044;Östra Göteborg, Månadsgatorna m fl;M;delning;1;14803043;1.0000;0.8888;nej
14803051;Östra Göteborg, Bergsjön, Norra;O;identisk;1;14803051;1.0000;1.0000;ja
14803052;Östra Göteborg, Gärdsmosse;O;identisk;1;14803052;1.0000;1.0000;ja
14803053;Östra Göteborg, Gärdsås;O;identisk;1;14803053;1.0000;0.9992;ja
14803054;Östra Göteborg, Siriusgatan;O;identisk;1;14803054;1.0000;1.0000;ja
14803061;Östra Göteborg, Bergsjön, Södra;O;delning;1;14803061;0.9997;0.9796;nej
14803062;Östra Göteborg, Bergsjön, Östra;O;identisk;1;14803062;1.0000;1.0000;ja
14803063;Östra Göteborg, Komettorget;M;omritning;2;14803063;0.9417;0.7908;nej
14803064;Östra Göteborg, Rymdtorget;M;omritning;2;14803064;0.9125;1.0000;nej
14804021;Lundby, Bjurslätt, Södra;M;delning;1;14804021;1.0000;0.7618;nej
14804022;Lundby, Flunsås;O;identisk;1;14804022;1.0000;1.0000;ja
14804023;Lundby, Kvillebäcken, Norra;O;identisk;1;14804023;1.0000;1.0000;ja
14804024;Lundby, Kvillebäcken, Södra;M;delning;1;14804024;1.0000;0.9208;nej
14804025;Lundby, Kvillebäcken, Östra;M;omritning;2;14804025;0.8312;0.0166;nej
14804026;Lundby, Penselgatan m fl;M;delning;1;14804025;1.0000;0.9570;nej
14804027;Lundby, Wieselgrensplatsen;M;omritning;2;14804026;0.5241;1.0000;nej
14804028;Lundby, Vågmästarplatsen;N;delning;1;14804025;1.0000;0.0264;nej
14804031;Lundby, Bjurslätt, Norra;M;omritning;2;14804032;0.6056;0.1637;nej
14804032;Lundby, Hilldedal;M;delning;1;14804031;1.0000;0.8284;nej
14804033;Lundby, Slätta Damm;M;delning;1;14804032;1.0000;0.8363;nej
14804041;Lundby, Kärrdalen;O;identisk;1;14804041;1.0000;1.0000;ja
14804042;Lundby, Tolered, Norra;O;identisk;1;14804042;1.0000;1.0000;ja
14804043;Lundby, Tolered, Södra;O;identisk;1;14804043;1.0000;1.0000;ja
14804051;Norra Hisingen, Glöstorp;O;omritning;2;14804051;0.9017;1.0000;nej
14804052;Norra Hisingen, Gunnestorp;M;delning;1;14804052;1.0000;0.9331;nej
14804053;Norra Hisingen, Norumshöjd;M;delning;1;14804053;1.0000;0.6909;nej
14804054;Norra Hisingen, Tuve, Norra;M;omritning;2;14804054;0.8264;0.2108;nej
14804055;Norra Hisingen, Tuve, Södra;M;omritning;2;14804054;0.9762;0.7892;nej
14804056;Norra Hisingen, Tången;O;identisk;1;14804055;1.0000;1.0000;nej
14804061;Norra Hisingen, Säve;M;delning;1;14804061;1.0000;0.8087;nej
14804071;Norra Hisingen, Gerrebacka-Ingebäck;O;identisk;1;14804071;1.0000;1.0000;ja
14804072;Norra Hisingen, Kärra, Norra;O;identisk;1;14804072;1.0000;1.0000;ja
14804073;Norra Hisingen, Kärra, Södra;O;identisk;1;14804073;1.0000;1.0000;ja
14804074;Norra Hisingen, Kärra, Västra;O;identisk;1;14804074;1.0000;1.0000;ja
14804075;Norra Hisingen, Kärra, Östra;O;identisk;1;14804075;1.0000;1.0000;ja
14804076;Norra Hisingen, Mysterna-Svankälla;O;identisk;1;14804076;1.0000;1.0000;ja
14804081;Norra Hisingen, Rödbo;M;omritning;2;14804081;0.7203;1.0000;nej
14804091;Norra Hisingen, Sankt Jörgen;M;delning;1;14804091;1.0000;0.1604;nej
14804092;Norra Hisingen, Skogome;M;delning;1;14804091;1.0000;0.8396;nej
14804101;Norra Hisingen, Aröd;M;omritning;2;14804101;0.6781;0.8742;nej
14804102;Norra Hisingen, Brunnsbo, Norra;M;omritning;2;14804102;0.9647;0.3322;nej
14804103;Norra Hisingen, Brunnsbo, Södra;M;omritning;2;14804103;0.6489;0.8130;nej
14804104;Norra Hisingen, Tingstad;M;omritning;2;14804102;0.9258;0.5032;nej
14804121;Norra Hisingen, Backa Röd;O;identisk;1;14804122;1.0000;1.0000;nej
14804122;Norra Hisingen, Backa, Norra;M;omritning;2;14804123;0.6923;0.3549;nej
14804123;Norra Hisingen, Backa, Södra;M;omritning;2;14804121;0.7952;0.4948;nej
14804124;Norra Hisingen, Bällskär;M;delning;1;14804123;1.0000;0.6451;nej
14804125;Norra Hisingen, Wadköpingsgatan m fl;M;delning;1;14804124;1.0000;0.6578;nej
14804131;Norra Hisingen, Backadalen;M;omritning;2;14804131;0.8777;0.8778;nej
14804132;Norra Hisingen, Bäckebol;M;omritning;2;14804132;0.9701;1.0000;nej
14804133;Norra Hisingen, Selma Lagerlöfs torg;M;omritning;2;14804134;0.7741;0.5955;nej
14804134;Norra Hisingen, Skälltorp;M;omritning;2;14804134;0.5074;0.4045;nej
14804135;Norra Hisingen, Åketorp;M;delning;1;14804135;1.0000;0.7794;nej
14804141;Lundby, Bräcke, Norra;O;identisk;1;14804141;1.0000;1.0000;ja
14804142;Lundby, Bräcke, Södra;O;identisk;1;14804142;1.0000;1.0000;ja
14804143;Lundby, Kyrkbyn;O;identisk;1;14804143;1.0000;1.0000;ja
14804144;Lundby, Lundby, Norra;O;identisk;1;14804144;1.0000;1.0000;ja
14804145;Lundby, Lundby, Södra;O;identisk;1;14804145;1.0000;1.0000;ja
14804151;Lundby, Brämaregården, Norra;M;omritning;2;14804151;0.8268;1.0000;nej
14804152;Lundby, Brämaregården, Södra;M;delning;1;14804152;1.0000;0.8456;nej
14804153;Lundby, Porslinsfabriken;O;identisk;1;14804154;1.0000;1.0000;nej
14804154;Lundby, Rambergsstaden, Norra;O;identisk;1;14804155;1.0000;1.0000;nej
14804155;Lundby, Rambergsstaden, Södra;O;identisk;1;14804156;1.0000;1.0000;nej
14804156;Lundby, Rambergsstaden, Östra;O;identisk;1;14804153;1.0000;1.0000;nej
14804161;Lundby, Eriksberg, Västra;M;omritning;2;14804161;0.7761;0.4709;nej
14804162;Lundby, Eriksberg, Östra;M;omritning;2;14804164;0.5055;0.4094;nej
14804163;Lundby, Färjenäs;M;delning;1;14804162;1.0000;0.8244;nej
14804164;Lundby, Pölsebo-Bratterås;M;omritning;2;14804164;0.8098;0.5906;nej
14804165;Lundby, Sannegården, Västra;O;identisk;1;14804165;1.0000;1.0000;ja
14804166;Lundby, Södhallsberget;O;identisk;1;14804163;1.0000;1.0000;nej
14804171;Lundby, Lindholmen;M;omritning;2;14804172;0.5516;0.1227;nej
14804172;Lundby, Lundbyvassen;M;delning;1;14804172;1.0000;0.8106;nej
14804173;Lundby, Sannegården, Östra;M;omritning;2;14804172;0.6826;0.0667;nej
14805011;Västra Göteborg, Björnekulla;M;omritning;2;14805011;0.9687;0.6152;nej
14805012;Västra Göteborg, Fiskebäck,;M;identisk;1;14805013;1.0000;0.9925;nej
14805013;Västra Göteborg, Källängen;M;omritning;2;14805012;0.9727;0.9246;nej
14805014;Västra Göteborg, Osberget;M;omritning;2;14805014;0.8505;0.4370;nej
14805015;Västra Göteborg, Påvelund;M;omritning;2;14805014;0.6107;0.5450;nej
14805021;Västra Göteborg, Långedrag;O;identisk;1;14805021;1.0000;1.0000;ja
14805031;Västra Göteborg, Hagen;O;identisk;1;14805031;1.0000;1.0000;ja
14805032;Västra Göteborg, Nya Varvet;M;identisk;1;14805032;0.9959;1.0000;ja
14805033;Västra Göteborg, Tångudden;O;identisk;1;14805033;1.0000;1.0000;ja
14805041;Västra Göteborg, Ekebäck;M;omritning;4;14805042;0.5161;0.2279;nej
14805042;Västra Göteborg, Grimmered;M;delning;1;14805042;1.0000;0.7721;nej
