kod_2018;namn_2018;indelning_officiell;klass_geo;antal_2014_stora;storsta_kod_2014;andel_av_2018;andel_av_2014;samma_kod_och_yta
14805254;Askim-Frölunda-Högsbo, Lindås;M;delning;1;14805253;0.9994;0.8424;nej
14805255;Askim-Frölunda-Högsbo, Lyckhem;O;delning;1;14805254;1.0000;0.9658;nej
14805256;Askim-Frölunda-Högsbo, Nygård;O;omritning;2;14805255;0.9459;0.8699;nej
14805257;Askim-Frölunda-Högsbo, Skintebo;O;identisk;1;14805256;1.0000;1.0000;nej
14805258;Askim-Frölunda-Högsbo, Uggleberget;N;omritning;2;14805255;0.7965;0.1183;nej
14806011;Angered, Lövgärdet, Nedre;O;identisk;1;14806011;1.0000;1.0000;ja
14806012;Angered, Lövgärdet, Övre;O;identisk;1;14806012;1.0000;1.0000;ja
14806013;Angered, Lövgärdets Centrum;O;identisk;1;14806013;1.0000;1.0000;ja
14806021;Angered, Rannebergen, Norra;O;identisk;1;14806021;1.0000;1.0000;ja
14806022;Angered, Rannebergen, Södra;O;identisk;1;14806022;1.0000;1.0000;ja
14806031;Angered, Gårdsten, Norra;M;delning;1;14806031;1.0000;0.4185;nej
14806032;Angered, Gårdsten, Södra;O;omritning;2;14806032;0.8238;1.0000;nej
14806033;Angered, Gårdsten, Västra;M;omritning;2;14806033;0.5890;0.8673;nej
14806034;Angered, Gårdsten, Östra;O;identisk;1;14806034;1.0000;1.0000;ja
14806041;Angered, Angereds Centrum;O;identisk;1;14806041;1.0000;1.0000;ja
14806042;Angered, Trägårdsgärdet;O;identisk;1;14806042;1.0000;1.0000;ja
14806051;Angered, Agnesberg;O;identisk;1;14806051;1.0000;1.0000;ja
14806061;Angered, Hammarkullen, Centrum;M;delning;1;14806061;1.0000;0.0750;nej
14806062;Angered, Hammarkullen, Västra;M;omritning;2;14806061;0.9040;0.9250;nej
14806063;Angered, Hammarkullen, Östra;M;delning;1;14806062;1.0000;0.3203;nej
14806064;Angered, Sandeslätt;M;omritning;2;14806063;0.8437;0.9245;nej
14806101;Angered, Gunnilse-Linnarhult;O;identisk;1;14806101;1.0000;1.0000;ja
14806111;Angered, Bergum;M;omritning;2;14806111;0.9697;0.8838;nej
14806112;Angered, Björsared;M;delning;1;14806111;0.9999;0.1162;nej
14806113;Angered, Olofstorp;M;delning;1;14806112;1.0000;0.9114;nej
14806121;Angered, Bläsebo;O;identisk;1;14806121;1.0000;1.0000;ja
14806122;Angered, Hjällbo, Norra;O;delning;1;14806122;1.0000;0.8619;nej
14806123;Angered, Hjällbo, Södra;O;omritning;3;14806123;0.9352;1.0000;nej
14806124;Angered, Skolspåret;O;omritning;2;14806124;0.8454;0.7501;nej
14806131;Angered, Eriksbo;O;identisk;1;14806131;1.0000;1.0000;ja
14807011;Västra Hisingen, Biskopsgården, N;M;omritning;2;14807011;0.9080;0.7128;nej
14807012;Västra Hisingen, Svarte Mosse;M;omritning;2;14807012;0.9536;0.9879;nej
14807021;Västra Hisingen, Länsmansgården, C;O;identisk;1;14807021;1.0000;1.0000;ja
14807022;Västra Hisingen, Länsmansgården, N;O;identisk;1;14807022;1.0000;1.0000;ja
14807023;Västra Hisingen, Länsmansgården, S;O;identisk;1;14807023;1.0000;1.0000;ja
14807031;Västra Hisingen, Länsmansgården, Ö;M;omritning;2;14807032;0.8769;0.8946;nej
14807032;Västra Hisingen, Svartedalen, Norra;M;omritning;2;14807031;0.9449;0.9350;nej
14807041;Västra Hisingen, Andalen;M;delning;1;14807041;1.0000;0.9350;nej
14807042;Västra Hisingen, Gossbydal-Trånget;M;omritning;3;14807041;0.4751;0.0650;nej
14807043;Västra Hisingen, Hjuvik;M;delning;1;14807042;1.0000;0.9281;nej
14807044;Västra Hisingen, Hällsvik;M;delning;1;14807043;0.9972;0.7031;nej
14807051;Västra Hisingen, Amhult-Arendal;M;identisk;1;14807051;1.0000;0.9853;ja
14807052;Västra Hisingen, Domarringen m fl;M;omritning;2;14807054;0.7708;0.7492;nej
14807053;Västra Hisingen, Nolered;M;omritning;2;14807053;0.8479;0.8896;nej
14807054;Västra Hisingen, Torslanda;M;omritning;2;14807054;0.5352;0.2108;nej
14807055;Västra Hisingen, Torslanda Torg;M;omritning;3;14807053;0.5406;0.1104;nej
14807056;Västra Hisingen, Tumlehed;M;omritning;2;14807055;0.8342;0.9651;nej
14807061;Västra Hisingen, Björlanda;M;omritning;3;14807061;0.6105;0.7118;nej
14807062;Västra Hisingen, Kvisljungeby;M;delning;1;14807062;1.0000;0.3355;nej
14807063;Västra Hisingen, Lilleby;M;delning;1;14807063;1.0000;0.9600;nej
14807064;Västra Hisingen, Nolvik;M;delning;1;14807061;1.0000;0.2882;nej
14807065;Västra Hisingen, Älvegården m fl;M;omritning;2;14807064;0.7865;0.3263;nej
14807081;Västra Hisingen, Biskopsgården, S;M;identisk;1;14807081;0.9963;1.0000;ja
14807082;Västra Hisingen, Treröset;M;omritning;2;14807082;0.9181;0.6771;nej
14807083;Västra Hisingen, Vårväderstorget;M;delning;1;14807083;1.0000;0.8640;nej
14807084;Västra Hisingen, Väderlekstorget;M;omritning;2;14807084;0.8643;1.0000;nej
14807091;Västra Hisingen, Jättesten;M;omritning;2;14807091;0.6382;0.7654;nej
14807092;Västra Hisingen, Kärrmossen;M;delning;1;14807092;1.0000;0.8807;nej
14807093;Västra Hisingen, Svartedalen, Södra;M;omritning;2;14807093;0.7380;0.5762;nej
14807094;Västra Hisingen, Önskevädersg. m fl;M;delning;1;14807091;1.0000;0.2346;nej
