ar;val;kod;namn;kon;medborgarskap;aldersgrupp;antal
2018;rf;14801021;Majorna-Linné, Sandarne;Män;Svenska medborgare;65-;51
2018;rf;14801021;Majorna-Linné, Sandarne;Kvinnor;Svenska medborgare;65-;65
2018;rf;14801021;Majorna-Linné, Sandarne;Män;Ej svenska medborgare;65-;5
2018;rf;14801021;Majorna-Linné, Sandarne;Kvinnor;Ej svenska medborgare;65-;3
2018;rf;14801022;Majorna-Linné, Silverkällan;Män;Svenska medborgare;18-29 förstagångsväljare;18
2018;rf;14801022;Majorna-Linné, Silverkällan;Kvinnor;Svenska medborgare;18-29 förstagångsväljare;16
2018;rf;14801022;Majorna-Linné, Silverkällan;Män;Ej svenska medborgare;18-29 förstagångsväljare;1
2018;rf;14801022;Majorna-Linné, Silverkällan;Kvinnor;Ej svenska medborgare;18-29 förstagångsväljare;0
2018;rf;14801022;Majorna-Linné, Silverkällan;Män;Svenska medborgare;18-29 ej förstagångsväljare;81
2018;rf;14801022;Majorna-Linné, Silverkällan;Kvinnor;Svenska medborgare;18-29 ej förstagångsväljare;105
2018;rf;14801022;Majorna-Linné, Silverkällan;Män;Ej svenska medborgare;18-29 ej förstagångsväljare;4
2018;rf;14801022;Majorna-Linné, Silverkällan;Kvinnor;Ej svenska medborgare;18-29 ej förstagångsväljare;6
2018;rf;14801022;Majorna-Linné, Silverkällan;Män;Svenska medborgare;30-49;215
2018;rf;14801022;Majorna-Linné, Silverkällan;Kvinnor;Svenska medborgare;30-49;237
2018;rf;14801022;Majorna-Linné, Silverkällan;Män;Ej svenska medborgare;30-49;9
2018;rf;14801022;Majorna-Linné, Silverkällan;Kvinnor;Ej svenska medborgare;30-49;13
2018;rf;14801022;Majorna-Linné, Silverkällan;Män;Svenska medborgare;50-64;130
2018;rf;14801022;Majorna-Linné, Silverkällan;Kvinnor;Svenska medborgare;50-64;142
2018;rf;14801022;Majorna-Linné, Silverkällan;Män;Ej svenska medborgare;50-64;7
2018;rf;14801022;Majorna-Linné, Silverkällan;Kvinnor;Ej svenska medborgare;50-64;6
2018;rf;14801022;Majorna-Linné, Silverkällan;Män;Svenska medborgare;65-;50
2018;rf;14801022;Majorna-Linné, Silverkällan;Kvinnor;Svenska medborgare;65-;59
2018;rf;14801022;Majorna-Linné, Silverkällan;Män;Ej svenska medborgare;65-;2
2018;rf;14801022;Majorna-Linné, Silverkällan;Kvinnor;Ej svenska medborgare;65-;3
2018;rf;14801031;Majorna-Linné, Chapmans Torg;Män;Svenska medborgare;18-29 förstagångsväljare;20
2018;rf;14801031;Majorna-Linné, Chapmans Torg;Kvinnor;Svenska medborgare;18-29 förstagångsväljare;15
2018;rf;14801031;Majorna-Linné, Chapmans Torg;Män;Ej svenska medborgare;18-29 förstagångsväljare;2
2018;rf;14801031;Majorna-Linné, Chapmans Torg;Kvinnor;Ej svenska medborgare;18-29 förstagångsväljare;0
2018;rf;14801031;Majorna-Linné, Chapmans Torg;Män;Svenska medborgare;18-29 ej förstagångsväljare;86
