ar;val;kod;namn;summa_kategorier;rostberattigade_resultatfil;diff;kalla_fil
2010;rd;14801142;Älvsborg, Ekebäck;1448;1448;0;slutligt_valresultat_valdistrikt_R.xls
2010;rd;14801211;Frölunda, Tofta;1063;1063;0;slutligt_valresultat_valdistrikt_R.xls
2010;rd;14801212;Frölunda, Spinetten;860;860;0;slutligt_valresultat_valdistrikt_R.xls
2010;rd;14801221;Frölunda, Ruddalen;1872;1872;0;slutligt_valresultat_valdistrikt_R.xls
2010;rd;14801231;Frölunda, Västra Järnbrott;1372;1372;0;slutligt_valresultat_valdistrikt_R.xls
2010;rd;14801232;Frölunda, Östra Järnbrott;1344;1344;0;slutligt_valresultat_valdistrikt_R.xls
2010;rd;14801241;Frölunda, Frölunda torg;1123;1123;0;slutligt_valresultat_valdistrikt_R.xls
2010;rd;14801242;Frölunda, Gånglåten m fl;1722;1722;0;slutligt_valresultat_valdistrikt_R.xls
2010;rd;14801243;Frölunda, Frölunda;980;980;0;slutligt_valresultat_valdistrikt_R.xls
2010;rd;14801311;Askim, Hult;1351;1351;0;slutligt_valresultat_valdistrikt_R.xls
2010;rd;14801312;Askim, Pilegården;1183;1183;0;slutligt_valresultat_valdistrikt_R.xls
2010;rd;14801313;Askim, Askim;1056;1056;0;slutligt_valresultat_valdistrikt_R.xls
2010;rd;14801314;Askim, Norra Sisjön;1495;1495;0;slutligt_valresultat_valdistrikt_R.xls
2010;rd;14801315;Askim, Södra Sisjön;1456;1456;0;slutligt_valresultat_valdistrikt_R.xls
2010;rd;14801316;Askim, Norra Hovås;1079;1079;0;slutligt_valresultat_valdistrikt_R.xls
2010;rd;14801321;Askim, Södra Hovås;1006;1006;0;slutligt_valresultat_valdistrikt_R.xls
2010;rd;14801322;Askim, Trollåsen;1294;1294;0;slutligt_valresultat_valdistrikt_R.xls
2010;rd;14801331;Askim, Billdal;1816;1816;0;slutligt_valresultat_valdistrikt_R.xls
2010;rd;14801332;Askim, Nygård;1216;1216;0;slutligt_valresultat_valdistrikt_R.xls
2010;rd;14801333;Askim, Skintebo;1192;1192;0;slutligt_valresultat_valdistrikt_R.xls
2010;rd;14801334;Askim, Brottkärr;833;833;0;slutligt_valresultat_valdistrikt_R.xls
2010;rd;14801335;Askim, Lyckhem;1184;1184;0;slutligt_valresultat_valdistrikt_R.xls
2010;rd;14801336;Askim, Lindås;1200;1200;0;slutligt_valresultat_valdistrikt_R.xls
2010;rd;14801411;Tynnered, Bratthammar;1902;1902;0;slutligt_valresultat_valdistrikt_R.xls
2010;rd;14801421;Tynnered, Beryllgatan-Guldringen;1793;1793;0;slutligt_valresultat_valdistrikt_R.xls
2010;rd;14801431;Tynnered, Tynnered;1963;1963;0;slutligt_valresultat_valdistrikt_R.xls
2010;rd;14801441;Tynnered, Korsåsen;1290;1290;0;slutligt_valresultat_valdistrikt_R.xls
2010;rd;14801442;Tynnered, Ängås;1280;1280;0;slutligt_valresultat_valdistrikt_R.xls
2010;rd;14801451;Tynnered, Västra Önnered;1339;1339;0;slutligt_valresultat_valdistrikt_R.xls
2010;rd;14801452;Tynnered, Östra Önnered;1492;1492;0;slutligt_valresultat_valdistrikt_R.xls
2010;rd;14801461;Tynnered, Grevegården;1194;1194;0;slutligt_valresultat_valdistrikt_R.xls
2010;rd;14801462;Tynnered, Skattegården;1542;1542;0;slutligt_valresultat_valdistrikt_R.xls
2010;rd;14801471;Tynnered, Södra Näset;1355;1355;0;slutligt_valresultat_valdistrikt_R.xls
2010;rd;14801472;Tynnered, Norra Näset;1652;1652;0;slutligt_valresultat_valdistrikt_R.xls
2010;rd;14801473;Tynnered, Åkered;1467;1467;0;slutligt_valresultat_valdistrikt_R.xls
2010;rd;14801481;Tynnered, Södra Opaltorget;926;926;0;slutligt_valresultat_valdistrikt_R.xls
2010;rd;14801482;Tynnered, Norra Opaltorget;1326;1326;0;slutligt_valresultat_valdistrikt_R.xls
2010;rd;14801511;Södra Skärgården, Donsö-Vrångö;1367;1367;0;slutligt_valresultat_valdistrikt_R.xls
2010;rd;14801512;Södra Skärgården, Styrsö-Köpstadsö;1149;1149;0;slutligt_valresultat_valdistrikt_R.xls
2010;rd;14801513;Södra Skärgården, Brännö-Asperö;938;938;0;slutligt_valresultat_valdistrikt_R.xls
2010;rd;14801611;Torslanda, Hjuvik;1512;1512;0;slutligt_valresultat_valdistrikt_R.xls
2010;rd;14801612;Torslanda, Hällsvik;1438;1438;0;slutligt_valresultat_valdistrikt_R.xls
2010;rd;14801613;Torslanda, Andalen;1666;1666;0;slutligt_valresultat_valdistrikt_R.xls
2010;rd;14801621;Torslanda, Tumlehed;1512;1512;0;slutligt_valresultat_valdistrikt_R.xls
2010;rd;14801622;Torslanda, Domarringen m fl;1461;1461;0;slutligt_valresultat_valdistrikt_R.xls
2010;rd;14801623;Torslanda, Torslanda;1789;1789;0;slutligt_valresultat_valdistrikt_R.xls
2010;rd;14801624;Torslanda, Nolered;1438;1438;0;slutligt_valresultat_valdistrikt_R.xls
2010;rd;14801625;Torslanda, Amhult-Arendal;1425;1425;0;slutligt_valresultat_valdistrikt_R.xls
2010;rd;14801631;Torslanda, Lilleby;2048;2048;0;slutligt_valresultat_valdistrikt_R.xls
2010;rd;14801632;Torslanda, Björlanda;1541;1541;0;slutligt_valresultat_valdistrikt_R.xls
2010;rd;14801633;Torslanda, Kvisljungeby;1408;1408;0;slutligt_valresultat_valdistrikt_R.xls
2010;rd;14801711;Biskopsgården, Svarte Mosse;1408;1408;0;slutligt_valresultat_valdistrikt_R.xls
2010;rd;14801712;Biskopsgården, Norra Biskopsgården;1144;1144;0;slutligt_valresultat_valdistrikt_R.xls
2010;rd;14801721;Biskopsgården, Södra Länsmansgården;893;893;0;slutligt_valresultat_valdistrikt_R.xls
2010;rd;14801722;Biskopsgården, Länsmansgårdens Centr;1122;1122;0;slutligt_valresultat_valdistrikt_R.xls
2010;rd;14801723;Biskopsgården, Norra Länsmansgården;1048;1048;0;slutligt_valresultat_valdistrikt_R.xls
2010;rd;14801731;Biskopsgården, Stackmolnsgatan m fl;1443;1443;0;slutligt_valresultat_valdistrikt_R.xls
2010;rd;14801732;Biskopsgården, Badvädersgatan m fl;1193;1193;0;slutligt_valresultat_valdistrikt_R.xls
2010;rd;14801741;Biskopsgården, Södra Biskopsgården;1083;1083;0;slutligt_valresultat_valdistrikt_R.xls
2010;rd;14801742;Biskopsgården, Väderlekstorget;1009;1009;0;slutligt_valresultat_valdistrikt_R.xls
2010;rd;14801743;Biskopsgården, Treröset;1420;1420;0;slutligt_valresultat_valdistrikt_R.xls
2010;rd;14801744;Biskopsgården, Vårväderstorget;1594;1594;0;slutligt_valresultat_valdistrikt_R.xls
2010;rd;14801751;Biskopsgården, Jättesten;1636;1636;0;slutligt_valresultat_valdistrikt_R.xls
2010;rd;14801752;Biskopsgården, Svartedalen;1427;1427;0;slutligt_valresultat_valdistrikt_R.xls
2010;rd;14801753;Biskopsgården, Kärrsmossen;1658;1658;0;slutligt_valresultat_valdistrikt_R.xls
2010;rd;14801811;Lundby, Lindholmen;2045;2045;0;slutligt_valresultat_valdistrikt_R.xls
2010;rd;14801812;Lundby, Västra Rambergsstaden;1681;1681;0;slutligt_valresultat_valdistrikt_R.xls
2010;rd;14801813;Lundby, Östra Rambergsstaden;1715;1715;0;slutligt_valresultat_valdistrikt_R.xls
2010;rd;14801814;Lundby, Västra Brämaregården;1508;1508;0;slutligt_valresultat_valdistrikt_R.xls
2010;rd;14801815;Lundby, Östra Brämaregården;1433;1433;0;slutligt_valresultat_valdistrikt_R.xls
