ar;val;valkrets;parti;fasta;utjamning;totalt;kalla
2006;kf;Göteborg 2;KD;1;0;1;dl2006/slutresultat_1480K.xml KRETS_KOMMUN 148002 GILTIGA MANDAT
2006;kf;Göteborg 3;M;6;0;6;dl2006/slutresultat_1480K.xml KRETS_KOMMUN 148003 GILTIGA MANDAT
2006;kf;Göteborg 3;S;5;0;5;dl2006/slutresultat_1480K.xml KRETS_KOMMUN 148003 GILTIGA MANDAT
2006;kf;Göteborg 3;L;3;0;3;dl2006/slutresultat_1480K.xml KRETS_KOMMUN 148003 GILTIGA MANDAT
2006;kf;Göteborg 3;MP;2;0;2;dl2006/slutresultat_1480K.xml KRETS_KOMMUN 148003 GILTIGA MANDAT
2006;kf;Göteborg 3;V;2;0;2;dl2006/slutresultat_1480K.xml KRETS_KOMMUN 148003 GILTIGA MANDAT
2006;kf;Göteborg 3;C;1;0;1;dl2006/slutresultat_1480K.xml KRETS_KOMMUN 148003 GILTIGA MANDAT
2006;kf;Göteborg 3;KD;1;0;1;dl2006/slutresultat_1480K.xml KRETS_KOMMUN 148003 GILTIGA MANDAT
2006;kf;Göteborg 4;S;7;0;7;dl2006/slutresultat_1480K.xml KRETS_KOMMUN 148004 GILTIGA MANDAT
2006;kf;Göteborg 4;M;6;0;6;dl2006/slutresultat_1480K.xml KRETS_KOMMUN 148004 GILTIGA MANDAT
2006;kf;Göteborg 4;KD;2;0;2;dl2006/slutresultat_1480K.xml KRETS_KOMMUN 148004 GILTIGA MANDAT
2006;kf;Göteborg 4;L;2;0;2;dl2006/slutresultat_1480K.xml KRETS_KOMMUN 148004 GILTIGA MANDAT
2006;kf;Göteborg 4;MP;2;0;2;dl2006/slutresultat_1480K.xml KRETS_KOMMUN 148004 GILTIGA MANDAT
2006;kf;Göteborg 4;V;1;0;1;dl2006/slutresultat_1480K.xml KRETS_KOMMUN 148004 GILTIGA MANDAT
2010;rd;Göteborgs kommun;M;5;0;5;mandatfordelning_per_valkrets_R (1).xls rad LAN 14 VALKRETS 16, kolumner <parti> och <parti> utj
2010;rd;Göteborgs kommun;S;5;0;5;mandatfordelning_per_valkrets_R (1).xls rad LAN 14 VALKRETS 16, kolumner <parti> och <parti> utj
2010;rd;Göteborgs kommun;MP;2;0;2;mandatfordelning_per_valkrets_R (1).xls rad LAN 14 VALKRETS 16, kolumner <parti> och <parti> utj
2010;rd;Göteborgs kommun;V;2;0;2;mandatfordelning_per_valkrets_R (1).xls rad LAN 14 VALKRETS 16, kolumner <parti> och <parti> utj
2010;rd;Göteborgs kommun;C;0;1;1;mandatfordelning_per_valkrets_R (1).xls rad LAN 14 VALKRETS 16, kolumner <parti> och <parti> utj
2010;rd;Göteborgs kommun;KD;1;0;1;mandatfordelning_per_valkrets_R (1).xls rad LAN 14 VALKRETS 16, kolumner <parti> och <parti> utj
2010;rd;Göteborgs kommun;L;1;0;1;mandatfordelning_per_valkrets_R (1).xls rad LAN 14 VALKRETS 16, kolumner <parti> och <parti> utj
2010;rd;Göteborgs kommun;SD;1;0;1;mandatfordelning_per_valkrets_R (1).xls rad LAN 14 VALKRETS 16, kolumner <parti> och <parti> utj
2010;rf;Göteborgs kommun;S;12;2;14;slutresultat__1_/slutresultat_00L.xml KRETS_LANDSTING 1401 GILTIGA MANDAT, VARAV_UTJÄMNING (rostrakningen efter valet 2010-09-19, upphavd genom omvalet 2011-05-15)
2010;rf;Göteborgs kommun;M;12;1;13;slutresultat__1_/slutresultat_00L.xml KRETS_LANDSTING 1401 GILTIGA MANDAT, VARAV_UTJÄMNING (rostrakningen efter valet 2010-09-19, upphavd genom omvalet 2011-05-15)
2010;rf;Göteborgs kommun;MP;5;0;5;slutresultat__1_/slutresultat_00L.xml KRETS_LANDSTING 1401 GILTIGA MANDAT, VARAV_UTJÄMNING (rostrakningen efter valet 2010-09-19, upphavd genom omvalet 2011-05-15)
2010;rf;Göteborgs kommun;L;4;0;4;slutresultat__1_/slutresultat_00L.xml KRETS_LANDSTING 1401 GILTIGA MANDAT, VARAV_UTJÄMNING (rostrakningen efter valet 2010-09-19, upphavd genom omvalet 2011-05-15)
2010;rf;Göteborgs kommun;V;4;0;4;slutresultat__1_/slutresultat_00L.xml KRETS_LANDSTING 1401 GILTIGA MANDAT, VARAV_UTJÄMNING (rostrakningen efter valet 2010-09-19, upphavd genom omvalet 2011-05-15)
2010;rf;Göteborgs kommun;KD;2;0;2;slutresultat__1_/slutresultat_00L.xml KRETS_LANDSTING 1401 GILTIGA MANDAT, VARAV_UTJÄMNING (rostrakningen efter valet 2010-09-19, upphavd genom omvalet 2011-05-15)
2010;rf;Göteborgs kommun;SD;2;0;2;slutresultat__1_/slutresultat_00L.xml KRETS_LANDSTING 1401 GILTIGA MANDAT, VARAV_UTJÄMNING (rostrakningen efter valet 2010-09-19, upphavd genom omvalet 2011-05-15)
2010;rf;Göteborgs kommun;SPVG;2;0;2;slutresultat__1_/slutresultat_00L.xml KRETS_LANDSTING 1401 GILTIGA MANDAT, VARAV_UTJÄMNING (rostrakningen efter valet 2010-09-19, upphavd genom omvalet 2011-05-15)
2010;rf;Göteborgs kommun;C;1;0;1;slutresultat__1_/slutresultat_00L.xml KRETS_LANDSTING 1401 GILTIGA MANDAT, VARAV_UTJÄMNING (rostrakningen efter valet 2010-09-19, upphavd genom omvalet 2011-05-15)
2010;kf;Göteborg;S;25;0;25;slutresultat__1_/slutresultat_1480K.xml KOMMUN 1480 GILTIGA MANDAT (hela kommunen)
2010;kf;Göteborg;M;23;0;23;slutresultat__1_/slutresultat_1480K.xml KOMMUN 1480 GILTIGA MANDAT (hela kommunen)
2010;kf;Göteborg;MP;9;0;9;slutresultat__1_/slutresultat_1480K.xml KOMMUN 1480 GILTIGA MANDAT (hela kommunen)
2010;kf;Göteborg;L;7;0;7;slutresultat__1_/slutresultat_1480K.xml KOMMUN 1480 GILTIGA MANDAT (hela kommunen)
2010;kf;Göteborg;V;7;0;7;slutresultat__1_/slutresultat_1480K.xml KOMMUN 1480 GILTIGA MANDAT (hela kommunen)
2010;kf;Göteborg;VÄGV;5;0;5;slutresultat__1_/slutresultat_1480K.xml KOMMUN 1480 GILTIGA MANDAT (hela kommunen)
2010;kf;Göteborg;SD;3;0;3;slutresultat__1_/slutresultat_1480K.xml KOMMUN 1480 GILTIGA MANDAT (hela kommunen)
2010;kf;Göteborg;KD;2;0;2;slutresultat__1_/slutresultat_1480K.xml KOMMUN 1480 GILTIGA MANDAT (hela kommunen)
2010;kf;Göteborg, Centrum;M;7;0;7;mandatfordelning_per_valkrets_K.xls rad LAN 14 KOM 80 VALKRETS 3, kolumn M
2010;kf;Göteborg, Centrum;S;4;0;4;mandatfordelning_per_valkrets_K.xls rad LAN 14 KOM 80 VALKRETS 3, kolumn S
2010;kf;Göteborg, Centrum;MP;3;0;3;mandatfordelning_per_valkrets_K.xls rad LAN 14 KOM 80 VALKRETS 3, kolumn MP
2010;kf;Göteborg, Centrum;L;2;0;2;mandatfordelning_per_valkrets_K.xls rad LAN 14 KOM 80 VALKRETS 3, kolumn FP
2010;kf;Göteborg, Centrum;V;2;0;2;mandatfordelning_per_valkrets_K.xls rad LAN 14 KOM 80 VALKRETS 3, kolumn V
2010;kf;Göteborg, Centrum;VÄGV;1;0;1;mandatfordelning_per_valkrets_K.xls rad LAN 14 KOM 80 VALKRETS 3, kolumn VägV
2010;kf;Göteborg, Hisingen;S;8;0;8;mandatfordelning_per_valkrets_K.xls rad LAN 14 KOM 80 VALKRETS 1, kolumn S
2010;kf;Göteborg, Hisingen;M;5;0;5;mandatfordelning_per_valkrets_K.xls rad LAN 14 KOM 80 VALKRETS 1, kolumn M
2010;kf;Göteborg, Hisingen;L;2;0;2;mandatfordelning_per_valkrets_K.xls rad LAN 14 KOM 80 VALKRETS 1, kolumn FP
2010;kf;Göteborg, Hisingen;MP;2;0;2;mandatfordelning_per_valkrets_K.xls rad LAN 14 KOM 80 VALKRETS 1, kolumn MP
2010;kf;Göteborg, Hisingen;V;2;0;2;mandatfordelning_per_valkrets_K.xls rad LAN 14 KOM 80 VALKRETS 1, kolumn V
2010;kf;Göteborg, Hisingen;VÄGV;2;0;2;mandatfordelning_per_valkrets_K.xls rad LAN 14 KOM 80 VALKRETS 1, kolumn VägV
