ar;val;niva;parti_kalla;parti;roster;andel;giltiga;rostande;rostberattigade
2018;kf;riket;OR;OR;2835;0.04;6532135;6613451;7861590
2018;kf;riket;PA;PA;208;0.00;6532135;6613451;7861590
2018;kf;riket;PF;PF;1244;0.02;6532135;6613451;7861590
2018;kf;riket;PNF;PNF;225;0.00;6532135;6613451;7861590
2018;kf;riket;PP;PP;3226;0.05;6532135;6613451;7861590
2018;kf;riket;PP(N);PP(N);598;0.01;6532135;6613451;7861590
2018;kf;riket;Prt;PRT;115;0.00;6532135;6613451;7861590
2018;kf;riket;R;R;1067;0.02;6532135;6613451;7861590
2018;kf;riket;rd;RD;388;0.01;6532135;6613451;7861590
2018;kf;riket;REAL;REAL;1641;0.03;6532135;6613451;7861590
2018;kf;riket;RNP;RNP;5;0.00;6532135;6613451;7861590
2018;kf;riket;ROOP;ROOP;1297;0.02;6532135;6613451;7861590
2018;kf;riket;ROP;ROP;618;0.01;6532135;6613451;7861590
2018;kf;riket;RoPa;ROPA;454;0.01;6532135;6613451;7861590
2018;kf;riket;ROSP;ROSP;2739;0.04;6532135;6613451;7861590
2018;kf;riket;RRP;RRP;161;0.00;6532135;6613451;7861590
2018;kf;riket;RS;RS;4177;0.06;6532135;6613451;7861590
2018;kf;riket;Rättv;RÄTTV;200;0.00;6532135;6613451;7861590
2018;kf;riket;SAFE;SAFE;854;0.01;6532135;6613451;7861590
2018;kf;riket;SBÄ;SBÄ;1421;0.02;6532135;6613451;7861590
2018;kf;riket;SDL;SDL;991;0.02;6532135;6613451;7861590
2018;kf;riket;SF;SF;253;0.00;6532135;6613451;7861590
2018;kf;riket;SFS;SFS;1047;0.02;6532135;6613451;7861590
2018;kf;riket;SJP;SJP;601;0.01;6532135;6613451;7861590
2018;kf;riket;SJV;SJV;10185;0.16;6532135;6613451;7861590
2018;kf;riket;SJVB;SJVB;477;0.01;6532135;6613451;7861590
2018;kf;riket;SJVP;SJVP;826;0.01;6532135;6613451;7861590
2018;kf;riket;SjvU;SJVU;331;0.01;6532135;6613451;7861590
2018;kf;riket;SjvV;SJVV;1789;0.03;6532135;6613451;7861590
2018;kf;riket;SKL;SKL;137;0.00;6532135;6613451;7861590
2018;kf;riket;SkolP;SKOLP;1019;0.02;6532135;6613451;7861590
2018;kf;riket;SKP;SKP;300;0.00;6532135;6613451;7861590
2018;kf;riket;SkuP;SKUP;277;0.00;6532135;6613451;7861590
2018;kf;riket;SKÅ;SKÅ;529;0.01;6532135;6613451;7861590
2018;kf;riket;SL;SL;609;0.01;6532135;6613451;7861590
2018;kf;riket;SLP;SLP;473;0.01;6532135;6613451;7861590
2018;kf;riket;SN;SN;1693;0.03;6532135;6613451;7861590
2018;kf;riket;SoL;SOL;429;0.01;6532135;6613451;7861590
2018;kf;riket;SOS;SOS;327;0.01;6532135;6613451;7861590
2018;kf;riket;SPA;SPA;1511;0.02;6532135;6613451;7861590
2018;kf;riket;SPI;SPI;3436;0.05;6532135;6613451;7861590
2018;kf;riket;SPP;SPP;1217;0.02;6532135;6613451;7861590
2018;kf;riket;SSM;SSM;6;0.00;6532135;6613451;7861590
2018;kf;riket;St;ST;928;0.01;6532135;6613451;7861590
2018;kf;riket;StDe;STDE;143;0.00;6532135;6613451;7861590
2018;kf;riket;STRP;STRP;493;0.01;6532135;6613451;7861590
2018;kf;riket;S-V;S-V;1238;0.02;6532135;6613451;7861590
2018;kf;riket;SV;SV;244;0.00;6532135;6613451;7861590
2018;kf;riket;SÖS;SÖS;1970;0.03;6532135;6613451;7861590
2018;kf;riket;ThnF;THNF;1087;0.02;6532135;6613451;7861590
2018;kf;riket;TIA;TIA;359;0.01;6532135;6613451;7861590
2018;kf;riket;TimP;TIMP;1060;0.02;6532135;6613451;7861590
2018;kf;riket;TJP;TJP;187;0.00;6532135;6613451;7861590
2018;kf;riket;TJÖP;TJÖP;1366;0.02;6532135;6613451;7861590
2018;kf;riket;TL;TL;164;0.00;6532135;6613451;7861590
2018;kf;riket;TomP;TOMP;28;0.00;6532135;6613451;7861590
2018;kf;riket;TRP;TRP;2687;0.04;6532135;6613451;7861590
2018;kf;riket;TuP;TUP;5893;0.09;6532135;6613451;7861590
2018;kf;riket;UddP;UDDP;4516;0.07;6532135;6613451;7861590
2018;kf;riket;UtvP;UTVP;3045;0.05;6532135;6613451;7861590
2018;kf;riket;VB;VB;2443;0.04;6532135;6613451;7861590
2018;kf;riket;VDM;VDM;900;0.01;6532135;6613451;7861590
2018;kf;riket;VF;VF;3229;0.05;6532135;6613451;7861590
2018;kf;riket;VFK;VFK;585;0.01;6532135;6613451;7861590
2018;kf;riket;Vfp;VFP;893;0.01;6532135;6613451;7861590
2018;kf;riket;VFÅ;VFÅ;870;0.01;6532135;6613451;7861590
2018;kf;riket;ViS;VIS;1;0.00;6532135;6613451;7861590
2018;kf;riket;ViV;VIV;103;0.00;6532135;6613451;7861590
2018;kf;riket;VOXH;VOXH;309;0.00;6532135;6613451;7861590
2018;kf;riket;VSKB;VSKB;2397;0.04;6532135;6613451;7861590
2018;kf;riket;VTL;VTL;244;0.00;6532135;6613451;7861590
2018;kf;riket;VV;VV;1373;0.02;6532135;6613451;7861590
2018;kf;riket;VägV;VÄGV;6758;0.10;6532135;6613451;7861590
2018;kf;riket;WAX;WAX;1990;0.03;6532135;6613451;7861590
2018;kf;riket;WeP;WEP;1451;0.02;6532135;6613451;7861590
2018;kf;riket;ÅF;ÅF;9;0.00;6532135;6613451;7861590
2018;kf;riket;ÅSP;ÅSP;306;0.00;6532135;6613451;7861590
2018;kf;riket;ÄS;ÄS;683;0.01;6532135;6613451;7861590
2018;kf;riket;Ö;Ö;1695;0.03;6532135;6613451;7861590
2018;kf;riket;ÖFA;ÖFA;90;0.00;6532135;6613451;7861590
2018;kf;riket;ÖHGP;ÖHGP;152;0.00;6532135;6613451;7861590
2018;kf;riket;Öland;ÖLAND;344;0.01;6532135;6613451;7861590
2018;kf;riket;ÖP;ÖP;440;0.01;6532135;6613451;7861590
2018;kf;riket;ÖrP;ÖRP;2982;0.05;6532135;6613451;7861590
2018;kf;riket;ÖstP;ÖSTP;418;0.01;6532135;6613451;7861590
