ar;val;län_id;län_namn;kommun_id;kommun_namn;kommunvalkrets_id;kommunvalkrets_namn;valdistrikt_id;valdistrikt_namn;Män/Svenska medborgare/18-29 förstagångsväljare;Kvinnor/Svenska medborgare/18-29 förstagångsväljare;Män/Ej svenska medborgare/18-29 förstagångsväljare;Kvinnor/Ej svenska medborgare/18-29 förstagångsväljare;Män/Svenska medborgare/18-29 ej förstagångsväljare;Kvinnor/Svenska medborgare/18-29 ej förstagångsväljare;Män/Ej svenska medborgare/18-29 ej förstagångsväljare;Kvinnor/Ej svenska medborgare/18-29 ej förstagångsväljare;Män/Svenska medborgare/30-49;Kvinnor/Svenska medborgare/30-49;Män/Ej svenska medborgare/30-49;Kvinnor/Ej svenska medborgare/30-49;Män/Svenska medborgare/50-64;Kvinnor/Svenska medborgare/50-64;Män/Ej svenska medborgare/50-64;Kvinnor/Ej svenska medborgare/50-64;Män/Svenska medborgare/65-;Kvinnor/Svenska medborgare/65-;Män/Ej svenska medborgare/65-;Kvinnor/Ej svenska medborgare/65-;totalt
2010;kf;14;Västra Götalands län;1480;Göteborg;148003;Göteborg, Centrum;14800815;Linnéstaden, Oscar Fredrik;29;38;0;0;124;126;9;2;262;236;11;18;144;157;6;8;42;78;3;2;1295
2010;kf;14;Västra Götalands län;1480;Göteborg;148003;Göteborg, Centrum;14800816;Linnéstaden, Vegastaden;34;29;2;4;107;109;2;3;237;198;14;15;107;153;7;4;65;109;3;4;1206
2010;kf;14;Västra Götalands län;1480;Göteborg;148003;Göteborg, Centrum;14800817;Linnéstaden, Slottsskogen;27;29;0;1;70;88;5;4;188;172;11;11;103;119;1;4;98;176;3;5;1115
2010;kf;14;Västra Götalands län;1480;Göteborg;148003;Göteborg, Centrum;14800821;Linnéstaden, Änggården;55;48;3;4;67;54;16;8;140;148;34;25;159;166;4;8;113;173;2;1;1228
2010;kf;14;Västra Götalands län;1480;Göteborg;148003;Göteborg, Centrum;14800831;Linnéstaden, Skansberget;46;51;0;3;89;116;12;5;341;362;29;17;170;201;13;7;58;73;0;4;1597
2010;kf;14;Västra Götalands län;1480;Göteborg;148003;Göteborg, Centrum;14800832;Linnéstaden, Haga;47;54;2;1;93;113;4;7;328;338;30;25;211;272;9;10;98;128;4;4;1778
2010;kf;14;Västra Götalands län;1480;Göteborg;148003;Göteborg, Centrum;14800841;Linnéstaden, Annedal;40;33;2;0;170;192;9;5;293;295;17;14;123;199;9;7;105;254;2;4;1773
2010;kf;14;Västra Götalands län;1480;Göteborg;148003;Göteborg, Centrum;14800842;Linnéstaden, Nilssonsberg;33;27;5;2;147;153;6;9;303;251;19;17;189;206;7;6;142;233;6;4;1765
2010;kf;14;Västra Götalands län;1480;Göteborg;148003;Göteborg, Centrum;14800851;Linnéstaden, Linnéplatsen;23;23;1;0;80;94;4;5;182;183;19;12;110;139;3;5;73;90;0;0;1046
2010;kf;14;Västra Götalands län;1480;Göteborg;148003;Göteborg, Centrum;14800852;Linnéstaden, Olivedal;55;41;3;0;118;149;12;10;310;312;23;25;153;211;11;5;95;95;3;4;1635
2010;kf;14;Västra Götalands län;1480;Göteborg;148003;Göteborg, Centrum;14800853;Linnéstaden, Långgatorna;29;30;3;2;205;203;12;7;348;305;29;34;148;142;8;5;63;88;2;2;1665
2010;kf;14;Västra Götalands län;1480;Göteborg;148003;Göteborg, Centrum;14800854;Linnéstaden, Linné;26;24;0;0;125;129;5;4;319;289;31;11;139;173;5;6;90;124;5;2;1507
2010;kf;14;Västra Götalands län;1480;Göteborg;148003;Göteborg, Centrum;14800855;Linnéstaden, Risåsen;21;24;0;1;170;161;9;6;248;216;22;13;100;95;2;4;43;72;0;0;1207
2010;kf;14;Västra Götalands län;1480;Göteborg;148003;Göteborg, Centrum;14800856;Linnéstaden, Kommendantsängen;14;18;1;1;103;116;6;7;279;231;22;11;121;161;6;5;68;78;1;1;1250
2010;kf;14;Västra Götalands län;1480;Göteborg;148003;Göteborg, Centrum;14800857;Linnéstaden, Sveaplan;17;32;0;0;81;85;4;4;204;177;19;13;169;185;3;5;134;208;4;7;1351
2010;kf;14;Västra Götalands län;1480;Göteborg;148004;Göteborg, Väster;14800911;Majorna, Svalebo;29;31;1;0;104;120;4;4;217;171;20;13;134;124;2;0;82;132;3;4;1195
2010;kf;14;Västra Götalands län;1480;Göteborg;148004;Göteborg, Väster;14800912;Majorna, Skytteskogen;57;51;2;1;149;200;14;9;251;249;21;13;206;183;10;8;110;146;6;2;1688
2010;kf;14;Västra Götalands län;1480;Göteborg;148004;Göteborg, Väster;14800913;Majorna, Kungsladugård;42;32;1;0;138;183;11;7;306;322;18;13;109;122;8;7;44;60;0;1;1424
2010;kf;14;Västra Götalands län;1480;Göteborg;148004;Göteborg, Väster;14800914;Majorna, Mariaplan;31;37;0;0;111;137;4;5;292;319;21;10;115;125;8;6;38;39;1;2;1301
2010;kf;14;Västra Götalands län;1480;Göteborg;148004;Göteborg, Väster;14800915;Majorna, Silverkällan;41;53;0;2;115;156;6;5;321;361;24;14;137;136;3;7;42;57;3;3;1486
2010;kf;14;Västra Götalands län;1480;Göteborg;148004;Göteborg, Väster;14800916;Majorna, Klippan;49;46;0;1;168;182;8;10;320;369;26;15;167;200;9;6;76;74;9;4;1739
2010;kf;14;Västra Götalands län;1480;Göteborg;148004;Göteborg, Väster;14800921;Majorna, Sandarne;40;35;1;1;199;241;8;18;331;322;20;11;112;123;5;2;92;152;6;1;1720
2010;kf;14;Västra Götalands län;1480;Göteborg;148004;Göteborg, Väster;14800931;Majorna, Slottsskogsgatan m fl;33;24;0;1;146;209;6;3;292;221;18;17;165;181;5;4;173;237;4;8;1747
2010;kf;14;Västra Götalands län;1480;Göteborg;148004;Göteborg, Väster;14800932;Majorna, Majorna;31;19;0;1;123;148;3;7;196;197;19;10;122;106;8;4;121;204;4;11;1334
2010;kf;14;Västra Götalands län;1480;Göteborg;148004;Göteborg, Väster;14800933;Majorna, Hängmattan;35;27;0;1;70;87;5;3;248;258;17;11;97;120;7;4;58;89;4;4;1145
2010;kf;14;Västra Götalands län;1480;Göteborg;148004;Göteborg, Väster;14800934;Majorna, Gråberget;19;21;2;3;129;157;4;12;307;212;14;15;164;166;8;8;144;246;5;3;1639
2010;kf;14;Västra Götalands län;1480;Göteborg;148004;Göteborg, Väster;14800935;Majorna, Marieberg;65;45;1;0;154;183;7;12;365;366;43;22;179;185;9;4;72;92;8;4;1816
2010;kf;14;Västra Götalands län;1480;Göteborg;148004;Göteborg, Väster;14800936;Majorna, Godhem;33;30;0;1;124;146;6;4;229;259;13;10;119;107;1;4;50;59;7;2;1204
2010;kf;14;Västra Götalands län;1480;Göteborg;148003;Göteborg, Centrum;14800941;Majorna, Söderlingska ängen;46;33;0;1;120;150;4;4;273;306;19;20;105;126;5;3;57;89;6;6;1373
2010;kf;14;Västra Götalands län;1480;Göteborg;148003;Göteborg, Centrum;14800942;Majorna, Karl Johans torg;43;46;2;2;184;203;5;9;356;385;27;16;159;189;13;7;60;53;3;3;1765
2010;kf;14;Västra Götalands län;1480;Göteborg;148003;Göteborg, Centrum;14800943;Majorna, Djurgårdsgatan m fl;43;34;2;1;142;178;5;10;340;363;28;19;149;152;7;6;26;29;3;1;1538
2010;kf;14;Västra Götalands län;1480;Göteborg;148003;Göteborg, Centrum;14800944;Majorna, Gatenhielmska;39;36;0;2;113;121;4;6;258;249;18;14;102;116;6;6;56;93;0;0;1239
2010;kf;14;Västra Götalands län;1480;Göteborg;148004;Göteborg, Väster;14801011;Högsbo, Södra Kaverös;32;31;0;1;160;112;8;5;195;158;13;10;152;160;5;4;206;354;8;7;1621
2010;kf;14;Västra Götalands län;1480;Göteborg;148004;Göteborg, Väster;14801012;Högsbo, Norra Kaverös;67;61;3;1;143;155;12;10;256;268;22;27;168;177;8;9;161;278;2;3;1831
2010;kf;14;Västra Götalands län;1480;Göteborg;148004;Göteborg, Väster;14801021;Högsbo, Östra Flatås;39;38;0;2;105;118;5;2;221;232;25;15;117;97;8;3;91;139;3;5;1265
2010;kf;14;Västra Götalands län;1480;Göteborg;148004;Göteborg, Väster;14801022;Högsbo, Västra Flatås;39;37;3;1;125;107;7;6;218;191;20;24;146;173;5;8;167;254;11;8;1550
2010;kf;14;Västra Götalands län;1480;Göteborg;148004;Göteborg, Väster;14801031;Högsbo, Södra Högsbohöjd;34;38;0;1;126;141;9;12;271;258;36;29;109;106;6;3;107;218;2;7;1513
2010;kf;14;Västra Götalands län;1480;Göteborg;148004;Göteborg, Väster;14801032;Högsbo, Norra Högsbohöjd;74;48;2;4;182;172;25;16;266;249;33;20;117;126;6;2;61;64;3;6;1476
2010;kf;14;Västra Götalands län;1480;Göteborg;148004;Göteborg, Väster;14801041;Högsbo, Högsbo;17;17;2;1;106;125;8;8;189;147;16;12;123;142;3;3;158;269;3;4;1353
2010;kf;14;Västra Götalands län;1480;Göteborg;148004;Göteborg, Väster;14801042;Högsbo, Västra Högsbotorp;22;27;1;0;175;172;10;14;232;213;11;9;118;117;5;7;86;170;5;2;1396
