kod_2010;namn_2010;kod_2006_troligast;namn_2006;typ;belagg
14800134;Gunnared, Södra Gårdsten;14803406;Lövgärdet-Gårdsten 6;delad;ingen FGVAL i källan, det vill säga Valmyndigheten anger distriktet som ändrat (INDELNING=Modifierad), geometri geo_overlap_2006_2010.csv: 14803406 (Lövgärdet-Gårdsten 6) täcker 100.0 procent av det nya distriktet, 43.5 procent av det gamla ligger där, 1 källor över 5 procent
14800141;Gunnared, Angereds Centrum;14803503;Rannebergen-Angered 3;namnbyte;FGVAL kf+rd+rf ger var för sig identisk vektor, kf: M,C,L,KD,S,V,MP,SD = 69,10,49,59,496,102,33,28 (summa 846) mot 2006 14803503, geometri 100.0/100.0 procent, namn olika
14800142;Gunnared, Trädgårdsgärdet;14803504;Rannebergen-Angered 4;namnbyte;FGVAL kf+rd+rf ger var för sig identisk vektor, kf: M,C,L,KD,S,V,MP,SD = 81,6,31,38,395,79,46,16 (summa 692) mot 2006 14803504, geometri 100.0/100.0 procent, namn olika
14800211;Lärjedalen, Agnesberg;14803004;Hammarkullen-Agnesberg 4;namnbyte;FGVAL kf+rd+rf ger var för sig identisk vektor, kf: M,C,L,KD,S,V,MP,SD = 91,7,37,23,250,31,29,13 (summa 481) mot 2006 14803004, geometri 100.0/100.0 procent, namn olika
14800221;Lärjedalen, Västra Hammarkullen;14803001;Hammarkullen-Agnesberg 1;namnbyte;FGVAL kf+rd+rf ger var för sig identisk vektor, kf: M,C,L,KD,S,V,MP,SD = 84,6,26,27,624,66,42,17 (summa 892) mot 2006 14803001, geometri 100.0/100.0 procent, namn olika
14800222;Lärjedalen, Östra Hammarkullen;14803002;Hammarkullen-Agnesberg 2;namnbyte;FGVAL kf+rd+rf ger var för sig identisk vektor, kf: M,C,L,KD,S,V,MP,SD = 50,4,31,56,614,72,61,21 (summa 909) mot 2006 14803002, geometri 100.0/100.0 procent, namn olika
14800223;Lärjedalen, Sandeslätt;14803003;Hammarkullen-Agnesberg 3;namnbyte;FGVAL kf+rd+rf ger var för sig identisk vektor, kf: M,C,L,KD,S,V,MP,SD = 63,9,34,69,435,124,66,20 (summa 820) mot 2006 14803003, geometri 100.0/100.0 procent, namn olika
14800231;Lärjedalen, Gunnilse-Linnarhult;14802703;Bergum-Gunnilse 3;namnbyte;FGVAL kf+rd+rf ger var för sig identisk vektor, kf: M,C,L,KD,S,V,MP,SD = 230,42,78,80,469,55,71,67 (summa 1092) mot 2006 14802703, geometri 100.0/100.0 procent, namn olika
14800251;Lärjedalen, Björsared-Knipared;14802702;Bergum-Gunnilse 2;namnbyte;FGVAL kf+rd+rf ger var för sig identisk vektor, kf: M,C,L,KD,S,V,MP,SD = 172,66,81,57,424,58,49,71 (summa 978) mot 2006 14802702, geometri 100.0/100.0 procent, namn olika
14800252;Lärjedalen, Olofstorp;14802701;Bergum-Gunnilse 1;namnbyte;FGVAL kf+rd+rf ger var för sig identisk vektor, kf: M,C,L,KD,S,V,MP,SD = 214,45,109,80,561,59,53,80 (summa 1201) mot 2006 14802701, geometri 99.8/99.7 procent, namn olika
14800261;Lärjedalen, Södra Hjällbo;14803101;Hjällbo-Eriksbo 1;namnbyte;FGVAL kf+rd+rf ger var för sig identisk vektor, kf: M,C,L,KD,S,V,MP,SD = 43,4,12,8,246,35,46,10 (summa 404) mot 2006 14803101, geometri 100.0/100.0 procent, namn olika
14800262;Lärjedalen, Skolspåret;14803102;Hjällbo-Eriksbo 2;namnbyte;FGVAL kf+rd+rf ger var för sig identisk vektor, kf: M,C,L,KD,S,V,MP,SD = 23,0,23,42,360,49,27,4 (summa 528) mot 2006 14803102, geometri 100.0/100.0 procent, namn olika
