ar;val;kod;namn;kon;medborgarskap;aldersgrupp;antal
2010;kf;14800122;Gunnared, Norra Rannebergen;Kvinnor;Svenska medborgare;18-29 ej förstagångsväljare;78
2010;kf;14800122;Gunnared, Norra Rannebergen;Män;Ej svenska medborgare;18-29 ej förstagångsväljare;8
2010;kf;14800122;Gunnared, Norra Rannebergen;Kvinnor;Ej svenska medborgare;18-29 ej förstagångsväljare;11
2010;kf;14800122;Gunnared, Norra Rannebergen;Män;Svenska medborgare;30-49;242
2010;kf;14800122;Gunnared, Norra Rannebergen;Kvinnor;Svenska medborgare;30-49;230
2010;kf;14800122;Gunnared, Norra Rannebergen;Män;Ej svenska medborgare;30-49;25
2010;kf;14800122;Gunnared, Norra Rannebergen;Kvinnor;Ej svenska medborgare;30-49;28
2010;kf;14800122;Gunnared, Norra Rannebergen;Män;Svenska medborgare;50-64;253
2010;kf;14800122;Gunnared, Norra Rannebergen;Kvinnor;Svenska medborgare;50-64;250
2010;kf;14800122;Gunnared, Norra Rannebergen;Män;Ej svenska medborgare;50-64;31
2010;kf;14800122;Gunnared, Norra Rannebergen;Kvinnor;Ej svenska medborgare;50-64;29
2010;kf;14800122;Gunnared, Norra Rannebergen;Män;Svenska medborgare;65-;114
2010;kf;14800122;Gunnared, Norra Rannebergen;Kvinnor;Svenska medborgare;65-;123
2010;kf;14800122;Gunnared, Norra Rannebergen;Män;Ej svenska medborgare;65-;10
2010;kf;14800122;Gunnared, Norra Rannebergen;Kvinnor;Ej svenska medborgare;65-;15
2010;kf;14800131;Gunnared, Västra Gårdsten;Män;Svenska medborgare;18-29 förstagångsväljare;36
2010;kf;14800131;Gunnared, Västra Gårdsten;Kvinnor;Svenska medborgare;18-29 förstagångsväljare;29
2010;kf;14800131;Gunnared, Västra Gårdsten;Män;Ej svenska medborgare;18-29 förstagångsväljare;12
2010;kf;14800131;Gunnared, Västra Gårdsten;Kvinnor;Ej svenska medborgare;18-29 förstagångsväljare;6
2010;kf;14800131;Gunnared, Västra Gårdsten;Män;Svenska medborgare;18-29 ej förstagångsväljare;60
2010;kf;14800131;Gunnared, Västra Gårdsten;Kvinnor;Svenska medborgare;18-29 ej förstagångsväljare;48
2010;kf;14800131;Gunnared, Västra Gårdsten;Män;Ej svenska medborgare;18-29 ej förstagångsväljare;38
2010;kf;14800131;Gunnared, Västra Gårdsten;Kvinnor;Ej svenska medborgare;18-29 ej förstagångsväljare;28
2010;kf;14800131;Gunnared, Västra Gårdsten;Män;Svenska medborgare;30-49;134
2010;kf;14800131;Gunnared, Västra Gårdsten;Kvinnor;Svenska medborgare;30-49;158
2010;kf;14800131;Gunnared, Västra Gårdsten;Män;Ej svenska medborgare;30-49;86
2010;kf;14800131;Gunnared, Västra Gårdsten;Kvinnor;Ej svenska medborgare;30-49;62
2010;kf;14800131;Gunnared, Västra Gårdsten;Män;Svenska medborgare;50-64;109
2010;kf;14800131;Gunnared, Västra Gårdsten;Kvinnor;Svenska medborgare;50-64;103
2010;kf;14800131;Gunnared, Västra Gårdsten;Män;Ej svenska medborgare;50-64;53
2010;kf;14800131;Gunnared, Västra Gårdsten;Kvinnor;Ej svenska medborgare;50-64;44
2010;kf;14800131;Gunnared, Västra Gårdsten;Män;Svenska medborgare;65-;71
2010;kf;14800131;Gunnared, Västra Gårdsten;Kvinnor;Svenska medborgare;65-;87
2010;kf;14800131;Gunnared, Västra Gårdsten;Män;Ej svenska medborgare;65-;21
2010;kf;14800131;Gunnared, Västra Gårdsten;Kvinnor;Ej svenska medborgare;65-;15
2010;kf;14800132;Gunnared, Norra Gårdsten;Män;Svenska medborgare;18-29 förstagångsväljare;54
2010;kf;14800132;Gunnared, Norra Gårdsten;Kvinnor;Svenska medborgare;18-29 förstagångsväljare;52
2010;kf;14800132;Gunnared, Norra Gårdsten;Män;Ej svenska medborgare;18-29 förstagångsväljare;19
2010;kf;14800132;Gunnared, Norra Gårdsten;Kvinnor;Ej svenska medborgare;18-29 förstagångsväljare;21
2010;kf;14800132;Gunnared, Norra Gårdsten;Män;Svenska medborgare;18-29 ej förstagångsväljare;117
2010;kf;14800132;Gunnared, Norra Gårdsten;Kvinnor;Svenska medborgare;18-29 ej förstagångsväljare;106
2010;kf;14800132;Gunnared, Norra Gårdsten;Män;Ej svenska medborgare;18-29 ej förstagångsväljare;80
2010;kf;14800132;Gunnared, Norra Gårdsten;Kvinnor;Ej svenska medborgare;18-29 ej förstagångsväljare;79
