ar;val;niva;parti;roster;andel;giltiga;rostande;rostberattigade;valdeltagande;antal_distrikt;metod
2002;rf;goteborg;S;87886;32.69;268882;274125;375849;72.93;;"ur aggregat_2002_rf.csv, niva goteborg; rostberattigade ur valkretsar_goteborg.csv (2006 ars XML, RÖSTBERÄTTIGADE_KLARA_VALDISTRIKT_FGVAL)"
2002;rf;goteborg;SD;3992;1.48;268882;274125;375849;72.93;;"ur aggregat_2002_rf.csv, niva goteborg; rostberattigade ur valkretsar_goteborg.csv (2006 ars XML, RÖSTBERÄTTIGADE_KLARA_VALDISTRIKT_FGVAL)"
2002;rf;goteborg;SPI;1438;0.53;268882;274125;375849;72.93;;"ur aggregat_2002_rf.csv, niva goteborg; rostberattigade ur valkretsar_goteborg.csv (2006 ars XML, RÖSTBERÄTTIGADE_KLARA_VALDISTRIKT_FGVAL)"
2002;rf;goteborg;SPVG;4751;1.77;268882;274125;375849;72.93;;"ur aggregat_2002_rf.csv, niva goteborg; rostberattigade ur valkretsar_goteborg.csv (2006 ars XML, RÖSTBERÄTTIGADE_KLARA_VALDISTRIKT_FGVAL)"
2002;rf;goteborg;SUMMA_ÖVRIGA;10371;3.86;268882;274125;375849;72.93;;"ur aggregat_2002_rf.csv, niva goteborg; rostberattigade ur valkretsar_goteborg.csv (2006 ars XML, RÖSTBERÄTTIGADE_KLARA_VALDISTRIKT_FGVAL); residual giltiga minus V+S+MP+SD+M+C+L+KD+D+FI+K"
2002;rf;goteborg;V;31237;11.62;268882;274125;375849;72.93;;"ur aggregat_2002_rf.csv, niva goteborg; rostberattigade ur valkretsar_goteborg.csv (2006 ars XML, RÖSTBERÄTTIGADE_KLARA_VALDISTRIKT_FGVAL)"
2002;rf;goteborg;ÖVR;4182;1.56;268882;274125;375849;72.93;;"ur aggregat_2002_rf.csv, niva goteborg; rostberattigade ur valkretsar_goteborg.csv (2006 ars XML, RÖSTBERÄTTIGADE_KLARA_VALDISTRIKT_FGVAL)"
2002;rf;riket;C;365128;6.98;5227376;5343961;;;;ur aggregat_2002_rf.csv, niva riket
2002;rf;riket;KD;428804;8.2;5227376;5343961;;;;ur aggregat_2002_rf.csv, niva riket
2002;rf;riket;L;629287;12.04;5227376;5343961;;;;ur aggregat_2002_rf.csv, niva riket
2002;rf;riket;M;867804;16.6;5227376;5343961;;;;ur aggregat_2002_rf.csv, niva riket
2002;rf;riket;MP;204169;3.91;5227376;5343961;;;;ur aggregat_2002_rf.csv, niva riket
2002;rf;riket;S;2011334;38.48;5227376;5343961;;;;ur aggregat_2002_rf.csv, niva riket
2002;rf;riket;SUMMA_ÖVRIGA;282714;5.41;5227376;5343961;;;;"ur aggregat_2002_rf.csv, niva riket; residual giltiga minus V+S+MP+SD+M+C+L+KD+D+FI+K"
2002;rf;riket;V;438136;8.38;5227376;5343961;;;;ur aggregat_2002_rf.csv, niva riket
2002;rf;riket;ÖVR;282714;5.41;5227376;5343961;;;;ur aggregat_2002_rf.csv, niva riket
2006;kf;goteborg;0450;58;0.02;291051;295691;387939;76.22;;ur aggregat_2006_kf.csv, niva goteborg
2006;kf;goteborg;C;8261;2.84;291051;295691;387939;76.22;;ur aggregat_2006_kf.csv, niva goteborg
2006;kf;goteborg;FI;4063;1.4;291051;295691;387939;76.22;;ur aggregat_2006_kf.csv, niva goteborg
2006;kf;goteborg;K;3701;1.27;291051;295691;387939;76.22;;ur aggregat_2006_kf.csv, niva goteborg
2006;kf;goteborg;KD;16113;5.54;291051;295691;387939;76.22;;ur aggregat_2006_kf.csv, niva goteborg
2006;kf;goteborg;L;29590;10.17;291051;295691;387939;76.22;;ur aggregat_2006_kf.csv, niva goteborg
2006;kf;goteborg;M;69516;23.88;291051;295691;387939;76.22;;ur aggregat_2006_kf.csv, niva goteborg
2006;kf;goteborg;MP;22946;7.88;291051;295691;387939;76.22;;ur aggregat_2006_kf.csv, niva goteborg
