ar;val;kod;namn;valkrets;giltiga;blanka;ogiltiga_ovriga;ogiltiga;rostande;rostberattigade;valdeltagande;kalla_fil
2018;rd;14801116;Centrum, Johanneberg, Övre;Göteborgs kommun;880;7;1;8;888;1074;82.68;slutresultat_1480R.xml
2018;rd;14801121;Centrum, Landala;Göteborgs kommun;1219;3;1;4;1223;1449;84.40;slutresultat_1480R.xml
2018;rd;14801122;Centrum, Landalabergen m fl;Göteborgs kommun;1212;20;0;20;1232;1491;82.63;slutresultat_1480R.xml
2018;rd;14801123;Centrum, Landalagången m fl;Göteborgs kommun;995;6;2;8;1003;1239;80.95;slutresultat_1480R.xml
2018;rd;14801131;Centrum, Doktor Forselius Backe m fl;Göteborgs kommun;1007;7;0;7;1014;1234;82.17;slutresultat_1480R.xml
2018;rd;14801132;Centrum, Guldheden Vattentornet;Göteborgs kommun;1138;9;2;11;1149;1380;83.26;slutresultat_1480R.xml
2018;rd;14801133;Centrum, Guldheden Östra;Göteborgs kommun;921;9;3;12;933;1084;86.07;slutresultat_1480R.xml
2018;rd;14801134;Centrum, Guldheden, Centrala;Göteborgs kommun;1001;10;0;10;1011;1202;84.11;slutresultat_1480R.xml
2018;rd;14801135;Centrum, Guldheden, Norra;Göteborgs kommun;1001;5;0;5;1006;1128;89.18;slutresultat_1480R.xml
2018;rd;14801136;Centrum, Guldheden, Södra;Göteborgs kommun;1100;9;1;10;1110;1343;82.65;slutresultat_1480R.xml
2018;rd;14801137;Centrum, Landala Egnahem;Göteborgs kommun;1050;3;2;5;1055;1158;91.11;slutresultat_1480R.xml
2018;rd;14801141;Centrum, Lorensberg;Göteborgs kommun;1167;8;1;9;1176;1395;84.30;slutresultat_1480R.xml
2018;rd;14801151;Centrum, Fogelbergsparken;Göteborgs kommun;968;9;3;12;980;1114;87.97;slutresultat_1480R.xml
2018;rd;14801152;Centrum, Valand;Göteborgs kommun;932;6;2;8;940;1221;76.99;slutresultat_1480R.xml
2018;rd;14801153;Centrum, Vasastaden, Norra;Göteborgs kommun;1031;7;0;7;1038;1264;82.12;slutresultat_1480R.xml
2018;rd;14801154;Centrum, Vasastaden, Södra;Göteborgs kommun;1042;5;0;5;1047;1223;85.61;slutresultat_1480R.xml
