ar;val;kod;namn;ogiltiga_ej_anmalda;blanka;ogiltiga_ovriga;kalla_fil
2018;kf;14804052;Norra Hisingen, Gunnestorp;0;13;0;2018_K_per_valdistrikt.xlsx
2018;kf;14804053;Norra Hisingen, Norumshöjd;1;10;2;2018_K_per_valdistrikt.xlsx
2018;kf;14804054;Norra Hisingen, Tuve, Norra;0;8;0;2018_K_per_valdistrikt.xlsx
2018;kf;14804055;Norra Hisingen, Tuve, Södra;0;14;1;2018_K_per_valdistrikt.xlsx
2018;kf;14804056;Norra Hisingen, Tången;0;8;1;2018_K_per_valdistrikt.xlsx
2018;kf;14804061;Norra Hisingen, Säve;0;12;0;2018_K_per_valdistrikt.xlsx
2018;kf;14804071;Norra Hisingen, Gerrebacka-Ingebäck;0;7;1;2018_K_per_valdistrikt.xlsx
2018;kf;14804072;Norra Hisingen, Kärra, Norra;0;8;0;2018_K_per_valdistrikt.xlsx
2018;kf;14804073;Norra Hisingen, Kärra, Södra;0;13;0;2018_K_per_valdistrikt.xlsx
2018;kf;14804074;Norra Hisingen, Kärra, Västra;1;9;1;2018_K_per_valdistrikt.xlsx
2018;kf;14804075;Norra Hisingen, Kärra, Östra;0;13;0;2018_K_per_valdistrikt.xlsx
2018;kf;14804076;Norra Hisingen, Mysterna-Svankälla;0;19;0;2018_K_per_valdistrikt.xlsx
2018;kf;14804081;Norra Hisingen, Rödbo;1;10;1;2018_K_per_valdistrikt.xlsx
2018;kf;14804091;Norra Hisingen, Sankt Jörgen;0;3;0;2018_K_per_valdistrikt.xlsx
2018;kf;14804092;Norra Hisingen, Skogome;0;8;0;2018_K_per_valdistrikt.xlsx
2018;kf;14804101;Norra Hisingen, Aröd;3;4;1;2018_K_per_valdistrikt.xlsx
2018;kf;14804102;Norra Hisingen, Brunnsbo, Norra;0;12;0;2018_K_per_valdistrikt.xlsx
2018;kf;14804103;Norra Hisingen, Brunnsbo, Södra;0;8;0;2018_K_per_valdistrikt.xlsx
2018;kf;14804104;Norra Hisingen, Tingstad;2;5;2;2018_K_per_valdistrikt.xlsx
2018;kf;14804121;Norra Hisingen, Backa Röd;0;12;0;2018_K_per_valdistrikt.xlsx
2018;kf;14804122;Norra Hisingen, Backa, Norra;0;7;1;2018_K_per_valdistrikt.xlsx
2018;kf;14804123;Norra Hisingen, Backa, Södra;1;11;0;2018_K_per_valdistrikt.xlsx
2018;kf;14804124;Norra Hisingen, Bällskär;0;7;0;2018_K_per_valdistrikt.xlsx
2018;kf;14804125;Norra Hisingen, Wadköpingsgatan m fl;1;6;0;2018_K_per_valdistrikt.xlsx
2018;kf;14804131;Norra Hisingen, Backadalen;2;14;0;2018_K_per_valdistrikt.xlsx
2018;kf;14804132;Norra Hisingen, Bäckebol;0;14;0;2018_K_per_valdistrikt.xlsx
2018;kf;14804133;Norra Hisingen, Selma Lagerlöfs torg;0;7;3;2018_K_per_valdistrikt.xlsx
2018;kf;14804134;Norra Hisingen, Skälltorp;0;13;3;2018_K_per_valdistrikt.xlsx
2018;kf;14804135;Norra Hisingen, Åketorp;0;10;0;2018_K_per_valdistrikt.xlsx
2018;kf;14804141;Lundby, Bräcke, Norra;0;9;1;2018_K_per_valdistrikt.xlsx
2018;kf;14804142;Lundby, Bräcke, Södra;0;14;0;2018_K_per_valdistrikt.xlsx
2018;kf;14804143;Lundby, Kyrkbyn;3;15;2;2018_K_per_valdistrikt.xlsx
2018;kf;14804144;Lundby, Lundby, Norra;0;9;1;2018_K_per_valdistrikt.xlsx
2018;kf;14804145;Lundby, Lundby, Södra;2;14;0;2018_K_per_valdistrikt.xlsx
